,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1816,3,-0.619,2.166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1816,4,-1.273,2.909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1816,5,-0.292,1.899,-1.665,0.856,NaN,NaN,NaN,NaN,NaN,NaN
3,1816,6,-1.215,1.357,-1.612,0.876,NaN,NaN,NaN,NaN,NaN,NaN
4,1816,7,-1.902,1.800,-1.650,1.069,NaN,NaN,NaN,NaN,NaN,NaN
5,1816,8,-1.030,1.159,-1.400,1.060,NaN,NaN,NaN,NaN,NaN,NaN
6,1816,9,-2.301,1.487,-1.458,1.155,NaN,NaN,NaN,NaN,NaN,NaN
7,1816,10,-3.158,5.219,-1.363,1.144,NaN,NaN,NaN,NaN,NaN,NaN
8,1816,11,-2.367,6.124,-1.496,1.200,NaN,NaN,NaN,NaN,NaN,NaN
9,1816,12,-1.854,1.805,-1.609,1.189,NaN,NaN,NaN,NaN,NaN,NaN
10,1817,1,-0.393,4.165,-1.594,1.271,NaN,NaN,NaN,NaN,NaN,NaN
11,1817,2,-0.401,2.695,-1.573,1.245,NaN,NaN,NaN,NaN,NaN,NaN
12,1817,3,-1.307,2.398,-1.651,1.289,NaN,NaN,NaN,NaN,NaN,NaN
13,1817,4,-0.142,1.549,-1.578,1.100,NaN,NaN,NaN,NaN,NaN,NaN
14,1817,5,-1.877,1.770,-1.488,0.910,-1.395,0.476,NaN,NaN,NaN,NaN
15,1817,6,-2.574,1.853,-1.516,0.965,-1.466,0.481,NaN,NaN,NaN,NaN
16,1817,7,-1.723,1.544,-1.529,0.920,-1.514,0.472,NaN,NaN,NaN,NaN
17,1817,8,-0.775,1.563,-1.612,1.015,-1.535,0.542,NaN,NaN,NaN,NaN
18,1817,9,-3.239,1.897,-1.553,1.009,-1.519,0.533,NaN,NaN,NaN,NaN
19,1817,10,-2.279,2.572,-1.527,0.873,-1.494,0.543,NaN,NaN,NaN,NaN
20,1817,11,-1.296,2.175,-1.385,0.758,-1.481,0.534,NaN,NaN,NaN,NaN
21,1817,12,-2.189,3.162,-1.231,0.811,-1.452,0.537,NaN,NaN,NaN,NaN
22,1818,1,-0.543,2.763,-1.200,0.866,-1.460,0.554,NaN,NaN,NaN,NaN
23,1818,2,-1.401,1.979,-1.200,0.917,-1.472,0.555,NaN,NaN,NaN,NaN
24,1818,3,-0.593,1.934,-1.166,0.984,-1.476,0.542,NaN,NaN,NaN,NaN
25,1818,4,0.159,5.371,-1.167,0.967,-1.472,0.512,NaN,NaN,NaN,NaN
26,1818,5,-0.170,3.222,-1.184,1.104,-1.463,0.515,NaN,NaN,NaN,NaN
27,1818,6,-0.725,3.770,-1.129,1.232,-1.455,0.512,NaN,NaN,NaN,NaN
28,1818,7,-1.352,2.293,-1.278,1.279,-1.451,0.506,NaN,NaN,NaN,NaN
29,1818,8,-0.777,1.910,-1.309,1.471,-1.380,0.518,-1.114,0.309,NaN,NaN
30,1818,9,-2.825,1.412,-1.381,1.113,-1.372,0.551,-1.130,0.309,NaN,NaN
31,1818,10,-2.298,2.591,-1.575,0.917,-1.355,0.535,-1.134,0.307,NaN,NaN
32,1818,11,-1.498,4.506,-1.659,0.867,-1.353,0.530,-1.152,0.310,NaN,NaN
33,1818,12,-1.530,1.538,-1.724,0.866,-1.343,0.512,-1.149,0.305,NaN,NaN
34,1819,1,-2.331,3.087,-1.715,0.890,-1.324,0.498,-1.140,0.299,NaN,NaN
35,1819,2,-1.763,3.629,-1.767,1.023,-1.320,0.492,-1.133,0.305,NaN,NaN
36,1819,3,-1.467,5.033,-1.671,0.900,-1.321,0.488,-1.112,0.318,NaN,NaN
37,1819,4,-2.158,1.680,-1.599,0.827,-1.295,0.476,-1.100,0.318,NaN,NaN
38,1819,5,-1.184,2.241,-1.576,0.839,-1.268,0.464,-1.084,0.310,NaN,NaN
39,1819,6,-1.500,2.211,-1.639,0.751,-1.248,0.457,-1.079,0.311,NaN,NaN
40,1819,7,-1.244,1.439,-1.741,0.761,-1.224,0.455,-1.064,0.309,NaN,NaN
41,1819,8,-1.402,1.753,-1.780,0.929,-1.190,0.419,-1.063,0.310,NaN,NaN
42,1819,9,-1.678,2.095,-1.727,0.743,-1.133,0.392,-1.055,0.312,NaN,NaN
43,1819,10,-1.437,2.072,-1.562,0.761,-1.144,0.387,-1.055,0.321,NaN,NaN
44,1819,11,-1.216,1.425,-1.481,0.703,-1.113,0.367,-1.065,0.343,NaN,NaN
45,1819,12,-2.293,2.160,-1.438,0.763,-1.082,0.357,-1.079,0.359,NaN,NaN
46,1820,1,-3.545,2.624,-1.397,0.816,-1.060,0.355,-1.072,0.359,NaN,NaN
47,1820,2,-2.235,2.499,-1.377,0.836,-1.059,0.351,-1.068,0.385,NaN,NaN
48,1820,3,-0.828,1.770,-1.344,0.792,-1.034,0.354,-1.058,0.376,NaN,NaN
49,1820,4,-0.178,2.050,-1.376,0.705,-1.025,0.363,-1.042,0.379,NaN,NaN
50,1820,5,-0.218,1.369,-1.401,0.717,-1.032,0.359,-1.035,0.379,NaN,NaN
51,1820,6,-0.988,1.239,-1.377,0.677,-1.029,0.378,-1.016,0.381,NaN,NaN
