,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1873,3,-0.398,0.921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1873,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1873,5,-0.166,0.960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1873,6,0.614,1.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1873,7,0.566,1.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1873,8,0.198,1.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1873,9,-0.055,1.387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1873,10,-0.410,0.918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1873,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1873,12,-0.191,0.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1874,1,0.176,0.887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1874,2,-0.392,0.833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1874,3,-0.807,1.065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1874,4,-0.267,0.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1874,5,-0.389,1.241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1874,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1874,7,-0.034,0.815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1874,8,-0.287,0.878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1874,9,-0.069,0.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1874,10,-0.236,0.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1874,11,-0.776,0.965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1874,12,-0.529,0.934,-0.454,0.388,NaN,NaN,NaN,NaN,NaN,NaN
22,1875,1,-0.999,0.801,-0.425,0.386,NaN,NaN,NaN,NaN,NaN,NaN
23,1875,2,-0.811,0.959,-0.406,0.411,NaN,NaN,NaN,NaN,NaN,NaN
24,1875,3,-0.916,0.805,-0.449,0.429,NaN,NaN,NaN,NaN,NaN,NaN
25,1875,4,-0.600,0.730,-0.503,0.412,NaN,NaN,NaN,NaN,NaN,NaN
26,1875,5,-0.298,0.897,-0.564,0.428,NaN,NaN,NaN,NaN,NaN,NaN
27,1875,6,0.113,0.965,-0.613,0.431,NaN,NaN,NaN,NaN,NaN,NaN
28,1875,7,0.309,1.003,-0.626,0.398,NaN,NaN,NaN,NaN,NaN,NaN
29,1875,8,-0.056,0.958,-0.663,0.356,NaN,NaN,NaN,NaN,NaN,NaN
30,1875,9,-0.592,0.854,-0.691,0.356,NaN,NaN,NaN,NaN,NaN,NaN
31,1875,10,-0.875,0.870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
