,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.582,2.577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-0.997,2.373,-0.653,1.133,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.782,2.351,-0.630,1.168,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.366,1.806,-0.557,1.185,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.559,1.947,-0.741,1.278,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.086,2.017,-0.725,1.294,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.371,3.126,-0.766,1.345,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.451,2.662,-0.957,1.300,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.448,2.600,-1.018,1.302,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.706,1.903,-1.199,1.337,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.714,2.189,-1.146,1.282,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.754,2.883,-1.218,1.302,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-2.071,3.009,-1.151,1.273,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.289,1.723,-1.103,1.284,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.047,1.924,-1.082,1.268,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.807,1.782,-1.113,1.972,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.916,1.746,-1.099,2.250,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.779,2.371,-1.089,0.822,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.173,1.693,-1.036,0.856,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,1.031,2.998,-0.673,0.774,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.201,2.248,-0.740,0.760,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.080,9.283,-0.686,0.776,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.546,4.848,-0.673,0.730,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.637,1.658,-0.468,0.654,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.428,2.040,-0.509,0.901,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.066,1.630,-0.690,0.765,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.241,2.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.162,2.674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.759,1.567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.688,1.440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.672,1.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-1.137,1.623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.272,2.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.642,3.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.513,1.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-1.910,4.466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.471,6.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,0.890,3.710,-0.354,1.405,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.316,5.174,-0.365,1.349,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.202,2.462,-0.476,1.266,NaN,NaN,NaN,NaN,NaN,NaN
