,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1891,1,-1.530,1.439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1891,2,-0.690,1.623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1891,3,-1.282,1.274,-0.633,0.460,NaN,NaN,NaN,NaN,NaN,NaN
3,1891,4,-0.797,0.832,-0.661,0.436,NaN,NaN,NaN,NaN,NaN,NaN
4,1891,5,-0.047,0.815,-0.586,0.406,NaN,NaN,NaN,NaN,NaN,NaN
5,1891,6,-0.119,0.824,-0.573,0.366,NaN,NaN,NaN,NaN,NaN,NaN
6,1891,7,-0.322,0.695,-0.506,0.360,NaN,NaN,NaN,NaN,NaN,NaN
7,1891,8,-0.412,0.623,-0.533,0.353,NaN,NaN,NaN,NaN,NaN,NaN
8,1891,9,-0.044,0.718,-0.510,0.346,NaN,NaN,NaN,NaN,NaN,NaN
9,1891,10,-0.641,1.100,-0.536,0.351,NaN,NaN,NaN,NaN,NaN,NaN
10,1891,11,-0.274,1.097,-0.608,0.337,NaN,NaN,NaN,NaN,NaN,NaN
11,1891,12,-0.716,0.993,-0.633,0.335,NaN,NaN,NaN,NaN,NaN,NaN
12,1892,1,-0.725,0.683,-0.663,0.340,NaN,NaN,NaN,NaN,NaN,NaN
13,1892,2,-1.020,0.832,-0.742,0.355,NaN,NaN,NaN,NaN,NaN,NaN
14,1892,3,-0.998,0.497,-0.771,0.356,-0.831,0.276,NaN,NaN,NaN,NaN
15,1892,4,-1.116,0.563,-0.794,0.371,-0.836,0.276,NaN,NaN,NaN,NaN
16,1892,5,-0.902,0.740,-0.833,0.381,-0.823,0.266,NaN,NaN,NaN,NaN
17,1892,6,-0.422,0.983,-0.824,0.351,-0.821,0.257,NaN,NaN,NaN,NaN
18,1892,7,-0.689,0.624,-0.916,0.389,-0.819,0.249,NaN,NaN,NaN,NaN
19,1892,8,-1.356,0.882,-0.974,0.452,-0.816,0.244,NaN,NaN,NaN,NaN
20,1892,9,-0.395,0.689,-1.006,0.519,-0.806,0.237,NaN,NaN,NaN,NaN
21,1892,10,-0.917,1.383,-0.954,0.467,-0.800,0.231,NaN,NaN,NaN,NaN
22,1892,11,-0.738,0.828,-0.961,0.454,-0.789,0.230,NaN,NaN,NaN,NaN
23,1892,12,-0.609,0.910,-1.011,0.377,-0.769,0.225,NaN,NaN,NaN,NaN
24,1893,1,-1.832,1.407,-1.058,0.356,-0.765,0.226,NaN,NaN,NaN,NaN
25,1893,2,-1.711,0.800,-1.032,0.343,-0.757,0.224,NaN,NaN,NaN,NaN
26,1893,3,-1.387,1.415,-1.041,0.341,-0.737,0.216,NaN,NaN,NaN,NaN
27,1893,4,-0.487,0.746,-1.037,0.343,-0.732,0.207,NaN,NaN,NaN,NaN
28,1893,5,-0.989,0.668,-1.062,0.379,-0.721,0.198,NaN,NaN,NaN,NaN
29,1893,6,-1.028,1.414,-1.095,0.430,-0.712,0.192,NaN,NaN,NaN,NaN
30,1893,7,-1.255,0.858,-1.070,0.342,-0.702,0.191,NaN,NaN,NaN,NaN
31,1893,8,-1.041,0.510,-1.024,0.308,-0.696,0.195,NaN,NaN,NaN,NaN
32,1893,9,-0.496,0.776,-0.995,0.330,-0.685,0.188,NaN,NaN,NaN,NaN
33,1893,10,-0.870,1.688,-1.036,0.325,-0.684,0.188,NaN,NaN,NaN,NaN
34,1893,11,-1.040,0.673,-1.002,0.315,-0.688,0.187,NaN,NaN,NaN,NaN
35,1893,12,-1.009,1.178,-0.944,0.352,-0.693,0.190,NaN,NaN,NaN,NaN
36,1894,1,-1.526,0.710,-0.890,0.420,-0.678,0.189,NaN,NaN,NaN,NaN
37,1894,2,-1.165,0.701,-0.866,0.425,-0.673,0.190,NaN,NaN,NaN,NaN
38,1894,3,-1.035,1.058,-0.828,0.413,-0.674,0.192,NaN,NaN,NaN,NaN
39,1894,4,-0.978,0.621,-0.807,0.372,-0.657,0.192,NaN,NaN,NaN,NaN
40,1894,5,-0.578,0.549,-0.740,0.314,-0.659,0.191,NaN,NaN,NaN,NaN
41,1894,6,-0.337,1.237,-0.713,0.324,-0.651,0.191,NaN,NaN,NaN,NaN
42,1894,7,-0.611,1.079,-0.673,0.345,-0.639,0.197,NaN,NaN,NaN,NaN
43,1894,8,-0.751,0.599,-0.672,0.333,-0.628,0.202,NaN,NaN,NaN,NaN
44,1894,9,-0.041,1.043,-0.671,0.317,-0.616,0.208,NaN,NaN,NaN,NaN
45,1894,10,-0.615,0.987,-0.627,0.306,-0.593,0.208,NaN,NaN,NaN,NaN
46,1894,11,-0.231,1.335,-0.612,0.310,-0.581,0.202,NaN,NaN,NaN,NaN
47,1894,12,-0.682,1.019,-0.543,0.322,-0.570,0.211,NaN,NaN,NaN,NaN
48,1895,1,-1.047,1.111,-0.504,0.321,-0.570,0.206,NaN,NaN,NaN,NaN
49,1895,2,-1.162,0.733,-0.459,0.315,-0.553,0.208,NaN,NaN,NaN,NaN
50,1895,3,-1.011,0.588,-0.411,0.314,-0.548,0.204,NaN,NaN,NaN,NaN
51,1895,4,-0.457,1.027,-0.360,0.372,-0.537,0.204,NaN,NaN,NaN,NaN
52,1895,5,-0.391,0.844,-0.382,0.351,-0.540,0.201,NaN,NaN,NaN,NaN
53,1895,6,0.482,1.043,-0.355,0.349,-0.541,0.196,NaN,NaN,NaN,NaN
54,1895,7,-0.134,1.038,-0.348,0.321,-0.519,0.199,NaN,NaN,NaN,NaN
55,1895,8,-0.217,0.582,-0.278,0.322,-0.509,0.208,NaN,NaN,NaN,NaN
56,1895,9,0.530,0.948,-0.244,0.331,-0.513,0.223,NaN,NaN,NaN,NaN
57,1895,10,0.000,1.054,-0.269,0.368,-0.511,0.223,NaN,NaN,NaN,NaN
58,1895,11,-0.494,0.852,-0.257,0.425,-0.498,0.222,NaN,NaN,NaN,NaN
59,1895,12,-0.363,0.901,-0.335,0.371,-0.484,0.220,NaN,NaN,NaN,NaN
60,1896,1,-0.958,1.436,-0.275,0.444,-0.466,0.223,NaN,NaN,NaN,NaN
61,1896,2,-0.323,0.922,-0.264,0.487,-0.452,0.225,NaN,NaN,NaN,NaN
62,1896,3,-0.603,0.902,-0.319,0.458,-0.451,0.226,NaN,NaN,NaN,NaN
63,1896,4,-0.757,0.986,-0.289,0.422,-0.445,0.234,NaN,NaN,NaN,NaN
64,1896,5,-0.249,0.872,-0.277,0.446,-0.440,0.240,NaN,NaN,NaN,NaN
65,1896,6,-0.452,0.973,-0.266,0.436,-0.434,0.249,NaN,NaN,NaN,NaN
66,1896,7,0.585,1.088,-0.187,0.524,-0.411,0.253,NaN,NaN,NaN,NaN
67,1896,8,-0.080,0.691,-0.191,0.592,-0.404,0.257,NaN,NaN,NaN,NaN
68,1896,9,-0.137,0.576,-0.163,0.644,-0.402,0.261,NaN,NaN,NaN,NaN
69,1896,10,0.367,0.545,-0.079,0.593,-0.383,0.268,NaN,NaN,NaN,NaN
70,1896,11,-0.351,1.073,-0.075,0.507,NaN,NaN,NaN,NaN,NaN,NaN
71,1896,12,-0.232,0.632,-0.016,0.632,NaN,NaN,NaN,NaN,NaN,NaN
72,1897,1,-0.013,1.148,-0.123,0.522,NaN,NaN,NaN,NaN,NaN,NaN
