,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1857,2,-1.623,2.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1857,3,-2.225,1.792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1857,4,-0.884,3.420,-0.824,0.856,NaN,NaN,NaN,NaN,NaN,NaN
3,1857,5,-0.952,2.257,-0.811,0.893,NaN,NaN,NaN,NaN,NaN,NaN
4,1857,6,-0.164,2.198,-0.861,0.886,NaN,NaN,NaN,NaN,NaN,NaN
5,1857,7,-0.407,1.455,-0.669,1.170,NaN,NaN,NaN,NaN,NaN,NaN
6,1857,8,-0.738,1.030,-0.594,1.449,NaN,NaN,NaN,NaN,NaN,NaN
7,1857,9,-0.820,1.103,-0.579,1.384,NaN,NaN,NaN,NaN,NaN,NaN
8,1857,10,0.065,2.553,-0.593,1.090,NaN,NaN,NaN,NaN,NaN,NaN
9,1857,11,-0.676,1.343,-0.502,0.993,NaN,NaN,NaN,NaN,NaN,NaN
10,1857,12,-0.839,0.692,-0.453,0.986,NaN,NaN,NaN,NaN,NaN,NaN
11,1858,1,1.232,3.712,-0.515,0.836,NaN,NaN,NaN,NaN,NaN,NaN
12,1858,2,-0.724,1.765,-0.548,0.711,NaN,NaN,NaN,NaN,NaN,NaN
13,1858,3,-2.037,2.653,-0.449,0.828,NaN,NaN,NaN,NaN,NaN,NaN
14,1858,4,-1.058,0.802,-0.473,0.691,-0.772,0.310,NaN,NaN,NaN,NaN
15,1858,5,0.143,1.168,-0.474,0.699,-0.766,0.313,NaN,NaN,NaN,NaN
16,1858,6,0.427,2.008,-0.471,0.741,-0.768,0.336,NaN,NaN,NaN,NaN
17,1858,7,-1.159,1.171,-0.658,0.562,-0.769,0.342,NaN,NaN,NaN,NaN
18,1858,8,-1.129,1.412,-0.643,0.486,-0.768,0.349,NaN,NaN,NaN,NaN
19,1858,9,0.368,2.449,-0.503,0.584,-0.780,0.359,NaN,NaN,NaN,NaN
20,1858,10,-0.224,0.830,-0.469,0.535,-0.777,0.363,NaN,NaN,NaN,NaN
21,1858,11,-0.689,1.176,-0.519,0.452,-0.784,0.364,NaN,NaN,NaN,NaN
22,1858,12,-0.799,0.942,-0.613,0.411,-0.788,0.350,NaN,NaN,NaN,NaN
23,1859,1,-1.022,1.141,-0.551,0.467,-0.781,0.351,NaN,NaN,NaN,NaN
24,1859,2,-0.544,1.030,-0.501,0.473,-0.782,0.353,NaN,NaN,NaN,NaN
25,1859,3,-0.356,0.771,-0.604,0.458,-0.777,0.355,NaN,NaN,NaN,NaN
26,1859,4,-0.643,1.379,-0.619,0.555,-0.774,0.354,NaN,NaN,NaN,NaN
27,1859,5,-0.456,1.527,-0.695,0.668,-0.767,0.352,NaN,NaN,NaN,NaN
28,1859,6,-0.706,1.229,-0.731,0.612,-0.772,0.350,NaN,NaN,NaN,NaN
29,1859,7,-0.413,0.954,-0.744,0.619,-0.779,0.363,NaN,NaN,NaN,NaN
30,1859,8,-0.530,0.847,-0.803,0.630,-0.768,0.386,NaN,NaN,NaN,NaN
31,1859,9,-0.870,0.896,-0.983,0.639,-0.745,0.418,NaN,NaN,NaN,NaN
