,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1812,5,-2.490,2.630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1812,6,-0.744,2.180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1812,7,1.523,2.526,-2.026,1.120,NaN,NaN,NaN,NaN,NaN,NaN
3,1812,8,2.192,2.262,-1.966,1.221,NaN,NaN,NaN,NaN,NaN,NaN
4,1812,9,-2.233,4.427,-2.069,1.316,NaN,NaN,NaN,NaN,NaN,NaN
5,1812,10,-0.705,2.154,-2.011,1.440,NaN,NaN,NaN,NaN,NaN,NaN
6,1812,11,-1.176,3.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1812,12,-5.622,5.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1813,1,-7.009,4.234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1813,2,-2.914,3.850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1813,3,-3.815,2.933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1813,4,-1.137,3.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1813,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1813,6,-0.541,2.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1813,7,-1.252,3.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1813,8,-1.182,2.374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1813,9,-0.051,3.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1813,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1813,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1813,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1814,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1814,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1814,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1814,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1814,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1814,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1814,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1814,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1814,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1814,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1814,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1814,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1815,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1815,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1815,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1815,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1815,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1815,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1815,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1815,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1815,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1815,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1815,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1815,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1816,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1816,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1816,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1816,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1816,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1816,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1816,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1816,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1816,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1816,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1816,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1816,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1817,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1817,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1817,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1817,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1817,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1817,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
