,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-0.677,2.860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,2.032,3.111,0.114,1.287,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.710,2.036,0.151,1.324,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.589,1.269,0.122,1.326,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-0.427,1.953,-0.093,1.439,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.131,1.948,-0.185,1.439,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,1.081,3.689,-0.225,1.508,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.280,2.537,-0.643,1.445,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.028,2.307,-0.756,1.474,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-2.022,1.698,-0.915,1.538,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.935,2.106,-0.931,1.476,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-1.950,3.187,-0.970,1.517,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.165,3.506,-1.012,1.474,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.978,1.706,-0.980,1.479,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.349,2.027,-1.033,1.451,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.319,1.603,-0.976,2.273,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.614,1.706,-0.876,2.605,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.336,2.959,-0.833,0.928,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.570,1.541,-0.775,0.945,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.664,3.509,-0.480,0.796,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.662,2.257,-0.564,0.770,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.340,10.695,-0.509,0.811,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.735,5.580,-0.529,0.755,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-1.428,1.422,-0.381,0.616,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-0.475,1.838,-0.375,0.908,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,0.559,1.192,-0.455,0.705,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.350,2.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-0.662,2.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.854,1.439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
