,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1832,1,-2.137,3.270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1832,2,-0.426,3.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1832,3,-0.919,3.069,-1.017,1.129,NaN,NaN,NaN,NaN,NaN,NaN
3,1832,4,-2.382,2.790,-0.845,1.099,NaN,NaN,NaN,NaN,NaN,NaN
4,1832,5,-0.287,2.768,-1.019,1.064,NaN,NaN,NaN,NaN,NaN,NaN
5,1832,6,-0.735,2.822,-1.291,1.130,NaN,NaN,NaN,NaN,NaN,NaN
6,1832,7,1.058,3.162,-1.179,1.148,NaN,NaN,NaN,NaN,NaN,NaN
7,1832,8,-1.019,2.968,-1.150,1.194,NaN,NaN,NaN,NaN,NaN,NaN
8,1832,9,-0.784,2.764,-1.178,1.236,NaN,NaN,NaN,NaN,NaN,NaN
9,1832,10,-0.484,2.844,-1.149,1.313,NaN,NaN,NaN,NaN,NaN,NaN
10,1832,11,-3.205,3.097,-1.297,1.271,NaN,NaN,NaN,NaN,NaN,NaN
11,1832,12,-4.174,3.315,-1.221,1.262,NaN,NaN,NaN,NaN,NaN,NaN
12,1833,1,-0.792,2.893,-1.320,1.245,NaN,NaN,NaN,NaN,NaN,NaN
13,1833,2,-0.073,2.980,-1.256,1.222,NaN,NaN,NaN,NaN,NaN,NaN
14,1833,3,-1.262,3.132,-1.353,1.250,-0.848,0.648,NaN,NaN,NaN,NaN
15,1833,4,-2.025,2.726,-1.412,1.316,-0.851,0.643,NaN,NaN,NaN,NaN
16,1833,5,-2.073,2.611,-0.966,1.228,-0.908,0.653,NaN,NaN,NaN,NaN
17,1833,6,0.186,2.810,-0.664,1.132,-0.973,0.656,NaN,NaN,NaN,NaN
18,1833,7,-0.140,2.995,-0.870,1.139,-0.963,0.666,NaN,NaN,NaN,NaN
19,1833,8,-0.250,2.642,-0.995,1.131,-0.969,0.682,NaN,NaN,NaN,NaN
20,1833,9,-1.945,2.928,-0.724,1.091,-0.930,0.681,NaN,NaN,NaN,NaN
21,1833,10,-1.187,2.725,-0.778,1.089,-0.929,0.691,NaN,NaN,NaN,NaN
22,1833,11,2.142,3.042,-0.691,1.107,-0.952,0.692,NaN,NaN,NaN,NaN
23,1833,12,-0.550,3.396,-0.773,1.092,-0.945,0.689,NaN,NaN,NaN,NaN
24,1834,1,-3.259,3.014,-0.842,1.098,-0.950,0.687,NaN,NaN,NaN,NaN
25,1834,2,-1.578,2.841,-0.855,1.093,-0.948,0.691,NaN,NaN,NaN,NaN
26,1834,3,1.990,2.666,-0.742,1.105,-0.937,0.679,NaN,NaN,NaN,NaN
27,1834,4,-2.677,2.857,-0.612,1.108,-0.902,0.671,NaN,NaN,NaN,NaN
28,1834,5,-1.020,2.735,-0.641,1.078,-0.921,0.655,NaN,NaN,NaN,NaN
29,1834,6,-0.797,2.641,-0.567,1.040,-0.913,0.670,-0.991,0.571,NaN,NaN
30,1834,7,-0.973,2.783,-0.227,1.061,-0.874,0.676,-0.986,0.573,NaN,NaN
31,1834,8,-0.409,2.602,0.040,1.077,-0.885,0.686,-0.982,0.573,NaN,NaN
32,1834,9,-0.591,2.891,-0.135,1.080,-0.869,0.704,-0.983,0.575,NaN,NaN
33,1834,10,0.377,2.653,0.003,1.099,-0.897,0.724,-0.995,0.575,NaN,NaN
34,1834,11,1.789,2.754,-0.061,1.131,-0.910,0.739,-1.017,0.583,NaN,NaN
35,1834,12,0.339,2.846,-0.214,1.170,-0.908,0.737,-1.060,0.599,NaN,NaN
36,1835,1,0.826,3.360,-0.277,1.188,-0.947,0.731,-1.065,0.591,NaN,NaN
37,1835,2,1.628,3.150,-0.386,1.192,-0.943,0.735,-1.105,0.587,NaN,NaN
38,1835,3,-0.111,3.231,-0.557,1.179,-0.953,0.735,-1.116,0.593,NaN,NaN
39,1835,4,-1.019,2.891,-0.672,1.161,-0.986,0.750,-1.117,0.591,NaN,NaN
40,1835,5,-1.788,3.058,-0.992,1.191,-0.963,0.739,-1.106,0.585,NaN,NaN
41,1835,6,-2.634,3.263,-1.232,1.239,-0.938,0.727,-1.101,0.577,NaN,NaN
42,1835,7,-1.729,3.128,-1.219,1.245,-1.019,0.721,-1.096,0.568,NaN,NaN
43,1835,8,-1.715,2.788,-1.371,1.243,-1.025,0.727,-1.094,0.577,NaN,NaN
44,1835,9,-2.646,2.650,-1.186,1.248,-1.072,0.727,-1.103,0.573,NaN,NaN
45,1835,10,-1.001,2.710,-1.246,1.299,-1.090,0.707,-1.119,0.568,NaN,NaN
46,1835,11,-2.055,3.257,-1.250,1.317,-1.072,0.708,-1.152,0.566,NaN,NaN
47,1835,12,-2.539,4.107,-1.097,1.340,-1.104,0.704,-1.186,0.564,NaN,NaN
48,1836,1,0.985,3.085,-1.097,1.331,-1.117,0.695,-1.208,0.580,NaN,NaN
49,1836,2,-0.197,3.050,-1.098,1.391,-1.122,0.691,-1.211,0.599,NaN,NaN
50,1836,3,2.105,2.775,-1.015,1.368,-1.142,0.669,-1.238,0.609,NaN,NaN
51,1836,4,-1.744,3.182,-0.969,1.355,-1.127,0.659,-1.258,0.607,NaN,NaN
52,1836,5,-1.833,3.223,-0.985,1.266,-1.158,0.670,-1.260,0.602,NaN,NaN
53,1836,6,-0.791,3.258,-0.813,1.210,-1.165,0.689,-1.255,0.598,NaN,NaN
54,1836,7,-1.729,2.793,-0.873,1.207,-1.098,0.690,-1.240,0.595,NaN,NaN
55,1836,8,-1.730,3.479,-0.948,1.247,-1.035,0.711,-1.223,0.591,NaN,NaN
56,1836,9,-1.652,2.862,-1.122,1.266,-1.136,0.716,-1.217,0.591,NaN,NaN
57,1836,10,-0.447,3.111,-1.316,1.246,-1.139,0.725,-1.191,0.596,NaN,NaN
58,1836,11,-2.247,3.426,-1.252,1.238,-1.154,0.726,-1.200,0.589,NaN,NaN
59,1836,12,-0.476,3.158,-1.237,1.282,-1.157,0.733,-1.220,0.583,-0.898,0.475
60,1837,1,0.260,2.792,-1.201,1.276,-1.135,0.734,-1.205,0.601,-0.909,0.477
61,1837,2,-1.097,3.475,-1.118,1.247,-1.128,0.745,-1.179,0.616,-0.901,0.474
62,1837,3,0.024,3.008,-1.097,1.273,-1.145,0.744,-1.164,0.623,-0.917,0.473
63,1837,4,-4.072,2.622,-1.266,1.322,-1.182,0.745,-1.152,0.636,-0.918,0.477
64,1837,5,-1.071,3.692,-1.232,1.346,-1.263,0.769,-1.164,0.629,-0.924,0.478
65,1837,6,-0.613,2.711,-1.412,1.392,-1.393,0.797,-1.170,0.626,-0.931,0.477
66,1837,7,-1.287,2.787,-1.908,1.392,-1.405,0.785,-1.186,0.618,-0.931,0.477
67,1837,8,-0.735,2.979,-1.849,1.425,-1.484,0.763,-1.188,0.609,-0.931,0.479
68,1837,9,-1.408,2.670,-2.193,1.438,-1.521,0.764,-1.200,0.606,-0.928,0.477
69,1837,10,-2.466,2.782,-2.110,1.387,-1.522,0.759,-1.205,0.611,-0.924,0.477
70,1837,11,-1.846,2.727,-2.106,1.265,-1.494,0.730,-1.180,0.603,-0.926,0.480
71,1837,12,-2.636,2.888,-2.202,1.218,-1.442,0.712,-1.145,0.598,-0.945,0.484
72,1838,1,-5.685,2.637,-2.171,1.159,-1.401,0.699,-1.128,0.599,-0.961,0.479
73,1838,2,-0.395,2.688,-2.153,1.064,-1.365,0.716,-1.087,0.595,-0.950,0.475
74,1838,3,-4.099,3.079,-2.296,1.047,-1.359,0.721,-1.068,0.591,-0.959,0.474
75,1838,4,-3.084,2.526,-2.118,0.975,-1.386,0.723,-1.062,0.594,-0.960,0.473
76,1838,5,-1.017,2.321,-1.940,0.921,-1.396,0.701,-1.051,0.599,-0.965,0.472
77,1838,6,-1.762,2.203,-1.803,0.902,-1.399,0.692,-1.051,0.598,-0.967,0.471
78,1838,7,-0.924,2.308,-1.265,0.886,-1.454,0.706,-1.052,0.588,-0.962,0.470
79,1838,8,-0.516,2.320,-1.047,0.940,-1.454,0.725,-1.061,0.590,-0.961,0.471
80,1838,9,-3.121,2.353,-1.043,0.925,-1.546,0.743,-1.044,0.589,-0.957,0.470
81,1838,10,-0.335,2.487,-1.027,0.955,-1.587,0.723,-1.017,0.586,-0.958,0.467
82,1838,11,0.296,2.866,-1.103,0.931,-1.568,0.703,-1.045,0.583,-0.961,0.463
83,1838,12,-0.995,2.683,-1.035,0.949,-1.565,0.707,-1.044,0.588,-0.961,0.462
84,1839,1,0.771,2.587,-0.931,0.960,-1.530,0.706,-1.000,0.595,-0.947,0.462
85,1839,2,2.219,3.392,-0.887,0.998,-1.497,0.681,-0.985,0.601,-0.941,0.459
86,1839,3,-4.048,2.737,-0.757,1.039,-1.498,0.688,-0.996,0.600,-0.935,0.461
87,1839,4,-2.888,2.339,-0.884,1.093,-1.479,0.699,-1.006,0.603,-0.938,0.458
88,1839,5,-1.932,2.371,-1.164,1.228,-1.479,0.701,-1.011,0.604,-0.948,0.454
89,1839,6,-0.950,2.468,-1.705,1.377,-1.527,0.674,-1.003,0.607,-0.947,0.451
90,1839,7,0.327,2.427,-1.760,1.317,-1.536,0.707,-0.994,0.606,-0.942,0.452
91,1839,8,0.009,2.473,-2.205,1.155,-1.474,0.730,-1.001,0.608,-0.940,0.453
92,1839,9,-1.562,2.481,-2.062,1.162,-1.459,0.716,-1.011,0.600,-0.944,0.450
93,1839,10,-1.849,2.574,-1.908,1.184,-1.406,0.715,-1.020,0.591,-0.939,0.451
94,1839,11,-3.073,3.257,-1.760,1.150,-1.417,0.676,-1.063,0.592,-0.944,0.450
95,1839,12,-7.485,3.365,-1.638,1.110,-1.432,0.669,-1.104,0.603,-0.946,0.446
96,1840,1,0.117,2.291,-1.606,1.047,-1.425,0.665,-1.111,0.611,-0.975,0.439
97,1840,2,-3.122,2.809,-1.569,1.059,-1.433,0.645,-1.145,0.611,-0.978,0.438
98,1840,3,-2.337,3.283,-1.630,1.018,-1.446,0.641,-1.148,0.611,-0.968,0.438
99,1840,4,-1.044,2.311,-1.695,1.005,-1.424,0.636,-1.148,0.607,-0.973,0.437
100,1840,5,-0.146,2.761,-1.659,0.971,-1.397,0.636,-1.141,0.601,-0.976,0.436
101,1840,6,0.508,2.259,-1.264,0.955,-1.352,0.638,-1.121,0.598,-0.980,0.434
102,1840,7,0.714,2.368,-1.465,1.056,-1.236,0.639,-1.111,0.591,-0.980,0.433
103,1840,8,0.456,2.660,-1.221,1.136,-1.150,0.629,-1.097,0.596,-0.982,0.437
104,1840,9,-2.296,2.299,-1.310,1.168,-1.064,0.625,-1.083,0.598,-0.979,0.436
105,1840,10,-2.628,2.425,-1.571,1.183,-1.033,0.646,-1.080,0.605,-0.990,0.431
106,1840,11,-2.646,2.741,-1.621,1.222,-1.029,0.657,-1.072,0.592,-0.998,0.429
107,1840,12,-2.742,2.632,-1.712,1.273,-0.997,0.665,-1.084,0.578,-1.003,0.428
108,1841,1,-2.291,3.418,-1.741,1.295,-0.987,0.653,-1.107,0.569,-1.009,0.427
109,1841,2,-0.198,3.494,-1.757,1.287,-1.000,0.667,-1.064,0.570,-1.008,0.428
110,1841,3,-3.406,3.219,-1.710,1.298,-0.947,0.687,-1.074,0.565,-1.016,0.426
111,1841,4,-4.179,2.460,-1.434,1.293,-0.906,0.697,-1.094,0.546,-1.026,0.418
112,1841,5,-0.747,2.222,-1.402,1.301,-0.932,0.679,-1.082,0.539,-1.024,0.412
113,1841,6,-0.585,2.293,-1.449,1.178,-0.922,0.667,-1.071,0.532,-1.015,0.408
114,1841,7,0.374,2.322,-1.282,1.169,-0.902,0.684,-1.059,0.527,-1.013,0.407
115,1841,8,0.262,2.260,-1.048,1.185,-0.936,0.690,-1.055,0.513,-1.004,0.404
116,1841,9,-1.732,2.404,-0.686,1.111,-0.856,0.690,-1.048,0.517,-0.993,0.402
117,1841,10,0.681,2.335,-0.414,1.117,-0.872,0.689,-1.069,0.513,-0.984,0.400
118,1841,11,-2.257,2.470,-0.496,1.107,-0.868,0.688,-1.062,0.518,-0.984,0.395
119,1841,12,-3.309,3.162,-0.571,1.121,-0.848,0.685,-1.045,0.516,-0.973,0.398
120,1842,1,-0.294,3.379,-0.678,1.116,-0.853,0.689,-1.059,0.516,-0.968,0.394
121,1842,2,2.611,3.048,-0.798,1.101,-0.874,0.691,-1.022,0.516,-0.974,0.391
122,1842,3,0.938,2.381,-0.838,1.059,-0.877,0.685,-1.044,0.511,-0.977,0.390
123,1842,4,-0.912,2.489,-0.989,1.054,-0.859,0.678,-1.014,0.511,-0.972,0.391
124,1842,5,-1.727,2.382,-0.821,1.053,-0.863,0.673,-1.014,0.493,-0.968,0.388
125,1842,6,-1.492,2.499,-0.539,1.153,-0.816,0.678,-1.022,0.487,-0.971,0.386
126,1842,7,-0.906,2.254,-0.408,1.091,-0.817,0.701,-1.010,0.482,-0.978,0.385
127,1842,8,-1.181,2.295,-0.230,1.060,-0.807,0.711,-1.005,0.476,-0.975,0.382
128,1842,9,-2.209,2.227,-0.218,1.039,-0.774,0.712,-0.994,0.470,-0.973,0.380
129,1842,10,-1.135,2.491,-0.247,1.045,-0.775,0.702,-0.975,0.465,-0.972,0.381
130,1842,11,-0.238,2.366,-0.167,1.092,-0.789,0.705,-0.957,0.473,-0.970,0.374
131,1842,12,0.077,2.539,-0.026,1.089,-0.799,0.715,-0.981,0.473,-0.949,0.374
132,1843,1,1.281,2.548,0.021,1.079,-0.821,0.711,-0.988,0.465,-0.954,0.371
133,1843,2,4.738,2.737,0.009,1.118,-0.830,0.701,-0.985,0.462,-0.963,0.361
134,1843,3,1.083,2.874,0.198,1.136,-0.806,0.699,-0.963,0.462,-0.960,0.360
135,1843,4,-1.252,2.585,0.473,1.117,-0.774,0.705,-0.944,0.468,-0.966,0.352
136,1843,5,-0.774,2.756,0.385,1.090,-0.747,0.705,-0.946,0.466,-0.958,0.351
137,1843,6,0.199,2.398,0.347,1.034,-0.769,0.690,-0.934,0.468,-0.963,0.350
138,1843,7,-0.335,2.340,0.403,1.052,-0.759,0.664,-0.918,0.466,-0.963,0.351
139,1843,8,-1.326,2.535,0.025,1.038,-0.673,0.653,-0.913,0.469,-0.955,0.351
140,1843,9,0.057,2.458,-0.002,1.059,-0.601,0.639,-0.898,0.474,-0.950,0.350
141,1843,10,2.163,2.434,-0.220,1.002,-0.601,0.615,-0.904,0.471,-0.947,0.347
142,1843,11,-1.285,2.686,-0.297,0.947,-0.595,0.613,-0.917,0.462,-0.969,0.346
143,1843,12,-0.387,2.600,-0.292,0.935,-0.578,0.615,-0.938,0.460,-0.975,0.348
144,1844,1,1.958,2.739,-0.260,0.947,-0.589,0.613,-0.932,0.470,-0.975,0.345
145,1844,2,0.205,3.044,-0.254,0.929,-0.612,0.612,-0.944,0.471,-0.964,0.346
146,1844,3,0.749,2.789,-0.405,0.901,-0.597,0.604,-0.898,0.483,-0.975,0.347
147,1844,4,-3.866,2.445,-0.651,0.903,-0.659,0.594,-0.899,0.475,-0.975,0.350
148,1844,5,-1.700,2.266,-0.821,0.924,-0.645,0.591,-0.905,0.473,-0.972,0.350
149,1844,6,0.259,2.170,-1.173,0.956,-0.563,0.597,-0.903,0.467,-0.975,0.349
150,1844,7,0.052,2.206,-1.335,0.982,-0.582,0.598,-0.898,0.468,-0.970,0.346
151,1844,8,-1.256,2.409,-1.560,1.031,-0.571,0.590,-0.897,0.475,-0.967,0.347
152,1844,9,-1.746,2.371,-1.654,1.004,-0.628,0.578,-0.904,0.470,-0.962,0.344
