,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1892,1,-1.844,2.389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1892,2,-0.476,0.636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1892,3,-0.105,1.374,-0.267,0.381,NaN,NaN,NaN,NaN,NaN,NaN
3,1892,4,0.205,1.093,-0.273,0.335,NaN,NaN,NaN,NaN,NaN,NaN
4,1892,5,0.291,1.128,-0.259,0.357,NaN,NaN,NaN,NaN,NaN,NaN
5,1892,6,0.498,1.157,-0.308,0.352,NaN,NaN,NaN,NaN,NaN,NaN
6,1892,7,-0.126,0.635,-0.234,0.563,NaN,NaN,NaN,NaN,NaN,NaN
7,1892,8,-0.446,0.739,-0.242,0.639,NaN,NaN,NaN,NaN,NaN,NaN
8,1892,9,-0.528,0.497,-0.244,0.554,NaN,NaN,NaN,NaN,NaN,NaN
9,1892,10,-0.419,0.789,-0.266,0.510,NaN,NaN,NaN,NaN,NaN,NaN
10,1892,11,-0.329,0.874,-0.361,0.465,NaN,NaN,NaN,NaN,NaN,NaN
11,1892,12,-0.414,0.673,-0.463,0.447,NaN,NaN,NaN,NaN,NaN,NaN
12,1893,1,-0.962,1.069,-0.487,0.459,NaN,NaN,NaN,NaN,NaN,NaN
13,1893,2,-0.564,1.038,-0.504,0.451,NaN,NaN,NaN,NaN,NaN,NaN
14,1893,3,-0.130,0.511,-0.470,0.469,-0.285,0.195,NaN,NaN,NaN,NaN
15,1893,4,-0.065,0.583,-0.433,0.529,-0.282,0.192,NaN,NaN,NaN,NaN
16,1893,5,-0.851,0.873,-0.443,0.502,-0.271,0.192,NaN,NaN,NaN,NaN
17,1893,6,-0.718,1.260,-0.395,0.470,-0.264,0.190,NaN,NaN,NaN,NaN
18,1893,7,-0.424,0.821,-0.351,0.458,-0.250,0.188,NaN,NaN,NaN,NaN
19,1893,8,-0.639,0.560,-0.300,0.368,-0.236,0.188,NaN,NaN,NaN,NaN
20,1893,9,-0.130,0.502,-0.321,0.366,-0.229,0.189,NaN,NaN,NaN,NaN
21,1893,10,0.029,0.611,-0.382,0.295,-0.216,0.199,NaN,NaN,NaN,NaN
22,1893,11,-0.446,0.493,-0.319,0.246,-0.203,0.205,NaN,NaN,NaN,NaN
23,1893,12,0.156,0.496,-0.309,0.242,-0.188,0.208,NaN,NaN,NaN,NaN
24,1894,1,-0.434,1.000,-0.308,0.247,-0.177,0.208,NaN,NaN,NaN,NaN
25,1894,2,0.046,0.961,-0.255,0.259,-0.175,0.211,NaN,NaN,NaN,NaN
26,1894,3,-0.371,0.538,-0.200,0.270,-0.177,0.209,NaN,NaN,NaN,NaN
27,1894,4,-0.798,0.993,-0.173,0.277,-0.177,0.199,NaN,NaN,NaN,NaN
28,1894,5,-0.106,0.683,-0.132,0.307,-0.180,0.194,NaN,NaN,NaN,NaN
29,1894,6,-0.590,0.545,-0.144,0.321,-0.199,0.182,-0.239,0.138,NaN,NaN
30,1894,7,-0.417,0.535,-0.139,0.349,-0.177,0.207,-0.241,0.136,NaN,NaN
31,1894,8,-0.002,0.608,-0.222,0.332,-0.167,0.218,-0.237,0.134,NaN,NaN
32,1894,9,0.530,0.547,-0.174,0.340,-0.167,0.213,-0.232,0.134,NaN,NaN
33,1894,10,0.350,0.667,-0.118,0.323,-0.171,0.205,-0.225,0.135,NaN,NaN
34,1894,11,0.049,0.547,-0.098,0.304,-0.178,0.188,-0.214,0.138,NaN,NaN
35,1894,12,0.020,0.669,-0.055,0.298,-0.194,0.170,-0.206,0.138,NaN,NaN
36,1895,1,-0.377,0.545,-0.002,0.308,-0.199,0.160,-0.202,0.138,NaN,NaN
37,1895,2,-0.949,0.916,0.001,0.301,-0.192,0.154,-0.195,0.138,NaN,NaN
38,1895,3,0.207,0.499,-0.041,0.288,-0.182,0.150,-0.193,0.139,NaN,NaN
39,1895,4,-0.129,0.938,-0.059,0.283,-0.183,0.143,-0.187,0.140,NaN,NaN
40,1895,5,0.133,0.528,-0.063,0.291,-0.173,0.134,-0.177,0.140,NaN,NaN
41,1895,6,-0.077,0.406,-0.076,0.279,-0.163,0.142,-0.168,0.140,NaN,NaN
42,1895,7,0.217,0.759,-0.042,0.284,-0.142,0.128,-0.163,0.139,NaN,NaN
43,1895,8,0.035,0.648,0.039,0.293,-0.139,0.123,-0.156,0.140,NaN,NaN
44,1895,9,0.024,0.362,0.018,0.269,-0.143,0.124,-0.149,0.141,NaN,NaN
45,1895,10,0.142,0.915,0.052,0.257,-0.144,0.129,-0.145,0.142,NaN,NaN
46,1895,11,-0.006,0.654,0.058,0.256,-0.115,0.137,-0.136,0.142,NaN,NaN
47,1895,12,-0.132,0.497,0.107,0.270,-0.098,0.146,-0.128,0.144,NaN,NaN
48,1896,1,0.027,0.689,0.111,0.286,-0.094,0.150,-0.116,0.149,NaN,NaN
49,1896,2,0.034,0.711,0.098,0.333,-0.090,0.151,-0.114,0.155,NaN,NaN
50,1896,3,-0.054,0.556,0.092,0.330,-0.093,0.153,-0.111,0.156,NaN,NaN
51,1896,4,0.283,1.458,0.052,0.328,-0.101,0.155,-0.109,0.156,NaN,NaN
52,1896,5,0.202,1.084,-0.004,0.335,-0.098,0.160,-0.103,0.158,NaN,NaN
53,1896,6,0.510,0.622,-0.071,0.306,-0.097,0.161,-0.101,0.161,NaN,NaN
54,1896,7,0.270,0.514,-0.116,0.303,-0.094,0.165,-0.092,0.163,NaN,NaN
55,1896,8,-0.122,0.849,-0.112,0.334,-0.098,0.158,-0.084,0.163,NaN,NaN
56,1896,9,-0.051,0.564,-0.116,0.359,-0.096,0.161,-0.076,0.170,NaN,NaN
57,1896,10,-0.333,0.768,-0.139,0.301,-0.077,0.160,-0.068,0.174,NaN,NaN
58,1896,11,-0.687,0.864,-0.171,0.258,-0.087,0.161,-0.057,0.182,NaN,NaN
59,1896,12,-0.935,1.091,-0.249,0.240,-0.078,0.165,-0.054,0.184,-0.160,0.122
60,1897,1,-0.509,0.561,-0.310,0.250,-0.076,0.167,-0.040,0.198,-0.157,0.123
61,1897,2,0.079,0.781,-0.302,0.256,-0.077,0.163,-0.038,0.201,-0.158,0.123
62,1897,3,-0.101,1.154,-0.289,0.255,-0.075,0.160,-0.038,0.197,-0.158,0.124
63,1897,4,0.008,0.565,-0.303,0.280,-0.076,0.163,-0.039,0.195,-0.157,0.125
64,1897,5,-0.182,0.569,-0.221,0.286,-0.065,0.168,-0.041,0.191,-0.158,0.125
65,1897,6,-0.421,1.003,-0.130,0.263,-0.060,0.167,-0.042,0.189,-0.159,0.124
66,1897,7,-0.467,1.107,-0.062,0.259,-0.052,0.166,-0.038,0.187,-0.160,0.123
67,1897,8,-0.026,0.507,-0.099,0.275,-0.028,0.159,-0.028,0.183,-0.158,0.122
68,1897,9,0.101,0.741,-0.121,0.341,-0.041,0.158,-0.019,0.184,-0.157,0.122
69,1897,10,-0.500,1.340,-0.134,0.445,-0.029,0.153,-0.015,0.186,-0.153,0.122
70,1897,11,0.302,0.938,-0.044,0.414,-0.024,0.159,-0.012,0.184,-0.151,0.122
71,1897,12,0.157,1.252,0.018,0.417,-0.015,0.164,-0.009,0.182,-0.150,0.123
72,1898,1,0.308,1.210,0.038,0.422,-0.019,0.171,-0.001,0.177,-0.147,0.124
73,1898,2,-0.367,0.719,0.009,0.419,-0.023,0.169,0.002,0.172,-0.145,0.124
74,1898,3,-0.366,0.694,-0.027,0.384,-0.013,0.170,0.003,0.172,-0.142,0.123
75,1898,4,-0.153,1.648,-0.024,0.346,-0.008,0.178,0.004,0.171,-0.141,0.124
76,1898,5,0.902,0.932,-0.071,0.332,-0.002,0.182,0.010,0.173,-0.140,0.123
77,1898,6,0.324,0.567,-0.065,0.333,0.007,0.186,0.016,0.175,-0.138,0.123
78,1898,7,-0.231,0.816,-0.109,0.338,0.018,0.196,0.019,0.175,-0.139,0.123
79,1898,8,-0.370,0.908,-0.096,0.356,0.008,0.207,0.026,0.175,-0.138,0.123
80,1898,9,-0.331,0.906,-0.086,0.372,0.006,0.208,0.029,0.176,-0.138,0.123
81,1898,10,-0.464,0.606,-0.045,0.421,-0.003,0.206,0.029,0.173,-0.136,0.123
82,1898,11,-0.259,0.530,-0.181,0.427,-0.003,0.207,0.032,0.174,-0.138,0.124
83,1898,12,0.221,0.708,-0.213,0.412,-0.013,0.211,0.030,0.175,-0.141,0.125
84,1899,1,-0.209,0.662,-0.216,0.372,-0.008,0.216,0.028,0.171,-0.142,0.127
85,1899,2,-0.215,0.785,-0.190,0.350,0.007,0.217,0.020,0.173,-0.149,0.127
86,1899,3,-0.250,0.541,-0.111,0.322,0.025,0.223,0.019,0.170,-0.150,0.128
87,1899,4,0.345,0.543,-0.045,0.327,0.041,0.234,0.018,0.169,-0.154,0.131
88,1899,5,-0.737,0.530,0.033,0.332,0.067,0.246,0.017,0.169,-0.154,0.131
89,1899,6,-0.058,0.529,0.044,0.349,0.090,0.255,0.023,0.169,-0.156,0.132
90,1899,7,-0.262,0.603,0.068,0.350,0.097,0.255,0.028,0.171,-0.158,0.132
91,1899,8,-0.058,0.710,0.128,0.331,0.090,0.252,0.030,0.165,-0.159,0.131
92,1899,9,0.612,0.745,0.103,0.322,0.092,0.251,0.027,0.160,-0.160,0.133
93,1899,10,0.333,0.675,0.120,0.318,0.093,0.252,0.020,0.154,-0.158,0.134
94,1899,11,0.679,0.730,0.220,0.330,0.096,0.258,0.016,0.152,-0.156,0.135
95,1899,12,0.345,1.683,0.262,0.340,0.110,0.267,0.012,0.150,-0.155,0.136
96,1900,1,0.088,0.673,0.280,0.356,0.124,0.273,0.014,0.150,-0.157,0.138
97,1900,2,0.504,0.948,0.268,0.359,0.137,0.272,0.018,0.144,-0.159,0.137
98,1900,3,-0.560,2.419,0.270,0.375,0.145,0.275,0.011,0.147,-0.157,0.137
99,1900,4,0.557,0.675,0.281,0.360,0.153,0.284,0.008,0.146,-0.157,0.140
100,1900,5,0.466,0.553,0.253,0.356,0.149,0.286,0.003,0.148,-0.152,0.138
101,1900,6,0.435,0.715,0.259,0.352,0.144,0.273,0.003,0.150,-0.151,0.136
102,1900,7,-0.038,0.668,0.306,0.352,0.140,0.281,0.000,0.153,-0.149,0.134
103,1900,8,-0.210,0.603,0.221,0.336,0.143,0.286,-0.001,0.152,-0.147,0.134
104,1900,9,0.636,0.922,0.253,0.399,0.149,0.289,-0.001,0.153,-0.147,0.134
105,1900,10,0.465,0.590,0.182,0.394,0.152,0.299,-0.002,0.157,-0.145,0.135
106,1900,11,0.346,0.531,0.163,0.404,0.134,0.300,-0.001,0.156,-0.142,0.137
107,1900,12,0.415,0.586,0.118,0.419,0.129,0.301,-0.000,0.157,-0.142,0.136
108,1901,1,0.656,1.102,0.170,0.450,0.133,0.294,-0.005,0.160,-0.140,0.136
109,1901,2,-0.521,1.729,0.251,0.480,0.141,0.289,-0.003,0.162,-0.138,0.138
110,1901,3,-0.177,0.437,0.285,0.584,0.150,0.281,-0.009,0.160,-0.137,0.138
111,1901,4,-0.293,0.908,0.298,0.643,0.159,0.271,-0.015,0.154,-0.136,0.139
112,1901,5,0.243,0.673,0.339,0.729,0.162,0.267,-0.017,0.150,-0.133,0.138
113,1901,6,-0.110,0.773,0.344,0.729,0.157,0.260,-0.022,0.149,-0.133,0.138
114,1901,7,0.594,0.788,0.283,0.665,0.149,0.253,-0.031,0.148,-0.134,0.139
115,1901,8,0.763,0.875,0.298,0.580,0.138,0.250,-0.035,0.146,-0.136,0.137
116,1901,9,1.037,1.193,0.312,0.620,0.134,0.240,-0.038,0.147,-0.138,0.138
117,1901,10,0.621,1.167,0.345,0.665,0.113,0.236,-0.037,0.149,-0.136,0.136
118,1901,11,0.838,1.464,0.319,0.668,0.121,0.235,-0.036,0.152,-0.135,0.136
119,1901,12,0.475,0.998,0.365,0.635,0.124,0.232,-0.032,0.158,-0.136,0.136
120,1902,1,-0.071,0.781,0.348,0.647,0.132,0.233,-0.031,0.157,-0.129,0.142
121,1902,2,-0.343,0.842,0.347,0.602,0.136,0.230,-0.039,0.153,-0.131,0.142
122,1902,3,-0.011,0.930,0.307,0.533,0.129,0.224,-0.043,0.152,-0.135,0.138
123,1902,4,0.100,0.925,0.253,0.471,0.115,0.215,-0.045,0.150,-0.138,0.135
124,1902,5,-0.059,1.060,0.189,0.412,0.098,0.208,-0.048,0.152,-0.136,0.131
125,1902,6,0.432,0.427,0.142,0.360,0.083,0.220,-0.051,0.153,-0.139,0.130
126,1902,7,0.398,0.902,0.149,0.329,0.081,0.224,-0.052,0.156,-0.141,0.129
127,1902,8,0.751,0.458,0.166,0.316,0.064,0.212,-0.057,0.153,-0.144,0.127
128,1902,9,0.557,0.392,0.163,0.264,0.063,0.203,-0.056,0.153,-0.142,0.128
129,1902,10,-0.025,0.287,0.159,0.219,0.044,0.210,-0.050,0.160,-0.139,0.131
130,1902,11,0.068,0.578,0.148,0.213,0.030,0.210,-0.052,0.162,-0.140,0.130
131,1902,12,-0.097,0.383,0.113,0.217,0.022,0.217,-0.056,0.157,-0.141,0.129
132,1903,1,0.014,0.309,0.083,0.201,0.019,0.222,-0.056,0.162,-0.140,0.126
133,1903,2,-0.137,0.469,0.030,0.213,0.022,0.224,-0.055,0.163,-0.140,0.124
134,1903,3,-0.045,0.535,0.001,0.225,0.010,0.227,-0.052,0.163,-0.143,0.124
135,1903,4,0.048,0.474,0.008,0.239,0.004,0.232,-0.049,0.172,-0.145,0.124
136,1903,5,-0.184,0.625,-0.002,0.255,0.000,0.231,-0.057,0.169,-0.141,0.125
137,1903,6,0.006,0.597,-0.005,0.256,-0.007,0.231,-0.060,0.170,-0.139,0.127
138,1903,7,0.036,0.264,-0.061,0.255,-0.027,0.228,-0.058,0.167,-0.139,0.128
139,1903,8,0.117,0.365,-0.122,0.269,-0.013,0.219,-0.054,0.165,-0.137,0.130
140,1903,9,0.213,0.314,-0.158,0.311,-0.023,0.217,-0.052,0.160,-0.133,0.133
141,1903,10,0.055,0.611,-0.238,0.306,-0.026,0.221,-0.046,0.157,-0.132,0.133
142,1903,11,-0.056,0.649,-0.247,0.297,-0.031,0.216,-0.048,0.157,-0.131,0.134
143,1903,12,-0.125,0.367,-0.234,0.291,-0.031,0.211,-0.056,0.156,-0.133,0.133
144,1904,1,-0.659,0.438,-0.224,0.287,-0.054,0.215,-0.060,0.156,-0.132,0.132
145,1904,2,-0.867,0.649,-0.217,0.308,-0.078,0.215,-0.066,0.156,-0.132,0.132
146,1904,3,-0.481,0.987,-0.216,0.361,-0.102,0.212,-0.066,0.157,-0.133,0.132
147,1904,4,-0.911,0.456,-0.265,0.365,-0.115,0.209,-0.075,0.166,-0.129,0.133
148,1904,5,-0.294,0.536,-0.287,0.358,-0.139,0.209,-0.069,0.168,-0.127,0.132
149,1904,6,0.161,0.476,-0.324,0.360,-0.154,0.202,-0.073,0.170,-0.123,0.133
150,1904,7,0.163,0.731,-0.273,0.350,-0.159,0.197,-0.074,0.173,-0.122,0.137
151,1904,8,0.198,0.668,-0.243,0.356,-0.168,0.189,-0.080,0.172,-0.122,0.136
152,1904,9,0.221,0.921,-0.254,0.296,-0.178,0.187,-0.088,0.176,-0.124,0.136
153,1904,10,-0.530,0.619,-0.226,0.286,-0.183,0.174,-0.090,0.176,-0.123,0.135
154,1904,11,-0.323,0.530,-0.236,0.267,-0.192,0.158,-0.099,0.174,-0.123,0.136
155,1904,12,-0.569,0.404,-0.252,0.271,-0.211,0.148,-0.105,0.183,-0.122,0.135
