,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1861,1,-1.564,2.512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1861,2,-2.859,1.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1861,3,-1.436,2.215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1861,4,-0.830,1.791,-1.110,0.820,NaN,NaN,NaN,NaN,NaN,NaN
4,1861,5,-1.128,1.678,-1.074,0.826,NaN,NaN,NaN,NaN,NaN,NaN
5,1861,6,NaN,NaN,-1.066,0.796,NaN,NaN,NaN,NaN,NaN,NaN
6,1861,7,-0.111,1.770,-1.100,0.771,NaN,NaN,NaN,NaN,NaN,NaN
7,1861,8,-0.604,1.630,-1.014,0.753,NaN,NaN,NaN,NaN,NaN,NaN
8,1861,9,-1.179,1.631,-0.993,0.748,NaN,NaN,NaN,NaN,NaN,NaN
9,1861,10,-1.207,1.646,-0.978,0.751,NaN,NaN,NaN,NaN,NaN,NaN
10,1861,11,-0.217,1.646,-0.892,0.740,NaN,NaN,NaN,NaN,NaN,NaN
11,1861,12,-0.791,1.904,-0.771,0.760,NaN,NaN,NaN,NaN,NaN,NaN
12,1862,1,-1.966,2.136,-0.759,0.760,NaN,NaN,NaN,NaN,NaN,NaN
13,1862,2,-1.836,1.808,-0.824,0.765,NaN,NaN,NaN,NaN,NaN,NaN
14,1862,3,-1.181,1.826,-0.929,0.752,NaN,NaN,NaN,NaN,NaN,NaN
15,1862,4,-0.647,1.982,-1.080,0.758,NaN,NaN,NaN,NaN,NaN,NaN
16,1862,5,-0.092,1.703,-1.213,0.768,NaN,NaN,NaN,NaN,NaN,NaN
17,1862,6,0.577,1.716,-1.335,0.842,NaN,NaN,NaN,NaN,NaN,NaN
18,1862,7,0.029,1.742,-1.354,0.821,-0.786,0.517,NaN,NaN,NaN,NaN
19,1862,8,-1.374,1.657,-1.447,0.821,-0.762,0.526,NaN,NaN,NaN,NaN
20,1862,9,-2.444,1.806,-1.421,0.832,-0.710,0.533,NaN,NaN,NaN,NaN
21,1862,10,-3.019,1.566,-1.441,0.794,-0.733,0.526,NaN,NaN,NaN,NaN
22,1862,11,-1.814,1.860,-1.437,0.762,-0.755,0.532,NaN,NaN,NaN,NaN
23,1862,12,-2.252,2.491,-1.502,0.766,-0.766,0.538,NaN,NaN,NaN,NaN
24,1863,1,-2.192,1.993,-1.492,0.795,-0.779,0.525,NaN,NaN,NaN,NaN
25,1863,2,-2.952,1.810,-1.505,0.809,-0.780,0.525,NaN,NaN,NaN,NaN
26,1863,3,-0.874,2.028,-1.412,0.855,-0.796,0.528,NaN,NaN,NaN,NaN
27,1863,4,-0.887,1.561,-1.263,0.861,-0.774,0.526,NaN,NaN,NaN,NaN
28,1863,5,-0.042,2.525,-1.189,0.834,-0.762,0.533,NaN,NaN,NaN,NaN
29,1863,6,-0.203,1.717,-1.053,0.829,-0.779,0.527,NaN,NaN,NaN,NaN
30,1863,7,NaN,NaN,-1.019,0.808,-0.766,0.513,NaN,NaN,NaN,NaN
31,1863,8,NaN,NaN,-0.918,0.835,-0.735,0.523,NaN,NaN,NaN,NaN
32,1863,9,NaN,NaN,-0.896,0.796,-0.733,0.516,NaN,NaN,NaN,NaN
33,1863,10,-1.231,1.628,-0.821,0.796,-0.742,0.514,-0.540,0.422,NaN,NaN
34,1863,11,-0.921,1.662,-0.826,0.841,-0.726,0.510,-0.559,0.420,NaN,NaN
35,1863,12,-0.620,1.989,-0.780,0.806,-0.727,0.511,-0.559,0.420,NaN,NaN
36,1864,1,-1.787,2.058,-0.791,0.756,-0.713,0.510,-0.540,0.422,NaN,NaN
37,1864,2,-1.738,1.854,-0.706,0.748,-0.690,0.514,-0.534,0.424,NaN,NaN
38,1864,3,-0.611,1.920,-0.611,0.735,-0.683,0.512,-0.531,0.424,NaN,NaN
39,1864,4,0.005,1.683,-0.426,0.735,-0.670,0.518,-0.545,0.420,NaN,NaN
40,1864,5,-0.101,1.615,-0.304,0.766,-0.683,0.515,-0.549,0.423,NaN,NaN
41,1864,6,0.348,1.681,-0.284,0.724,-0.663,0.519,-0.537,0.433,NaN,NaN
42,1864,7,0.019,1.724,-0.072,0.717,-0.646,0.523,-0.530,0.432,NaN,NaN
43,1864,8,-0.506,1.603,0.125,0.723,-0.646,0.528,-0.518,0.432,NaN,NaN
44,1864,9,-0.188,1.589,0.212,0.749,-0.623,0.532,-0.522,0.430,NaN,NaN
