,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1819,1,-2.103,2.763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1819,2,-0.549,3.713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1819,3,-0.585,4.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1819,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1819,5,-1.114,2.292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1819,6,-2.066,2.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1819,7,-1.973,1.611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1819,8,-1.641,1.843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1819,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1819,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1819,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1819,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1820,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1820,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1820,3,-0.044,1.898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1820,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1820,5,-0.337,2.100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1820,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1820,7,-0.748,1.840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1820,8,-1.402,2.554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1820,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1820,10,-3.350,2.881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1820,11,-0.808,1.988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1820,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1821,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1821,2,0.400,2.991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1821,3,1.045,2.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1821,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1821,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1821,6,-2.226,2.600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1821,7,-2.119,2.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1821,8,-1.905,1.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
