,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1819,1,-2.860,2.944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1819,2,-1.690,3.576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1819,3,-1.270,5.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1819,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1819,5,-0.172,2.040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1819,6,-0.930,2.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1819,7,-0.777,1.724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1819,8,-0.687,1.933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1819,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1819,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1819,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1819,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1820,1,-0.880,3.572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1820,2,-0.144,1.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1820,3,-1.397,2.106,-0.190,1.041,NaN,NaN,NaN,NaN,NaN,NaN
15,1820,4,0.112,1.827,-0.345,0.975,NaN,NaN,NaN,NaN,NaN,NaN
16,1820,5,1.221,2.146,-0.524,0.913,NaN,NaN,NaN,NaN,NaN,NaN
17,1820,6,-0.062,1.680,-0.556,0.877,NaN,NaN,NaN,NaN,NaN,NaN
18,1820,7,0.301,1.750,-0.438,0.614,NaN,NaN,NaN,NaN,NaN,NaN
19,1820,8,-1.151,1.929,-0.544,0.549,NaN,NaN,NaN,NaN,NaN,NaN
20,1820,9,0.364,2.505,-0.415,0.566,NaN,NaN,NaN,NaN,NaN,NaN
21,1820,10,-1.505,1.799,-0.471,0.582,NaN,NaN,NaN,NaN,NaN,NaN
22,1820,11,-1.756,1.611,-0.463,0.606,NaN,NaN,NaN,NaN,NaN,NaN
23,1820,12,NaN,NaN,-0.564,0.607,NaN,NaN,NaN,NaN,NaN,NaN
24,1821,1,0.540,2.327,-0.693,0.665,NaN,NaN,NaN,NaN,NaN,NaN
25,1821,2,-1.419,4.874,-0.737,0.674,NaN,NaN,NaN,NaN,NaN,NaN
26,1821,3,0.150,2.119,-0.919,0.690,NaN,NaN,NaN,NaN,NaN,NaN
27,1821,4,-0.561,1.774,-0.929,0.778,NaN,NaN,NaN,NaN,NaN,NaN
28,1821,5,1.321,2.451,-1.012,0.847,NaN,NaN,NaN,NaN,NaN,NaN
29,1821,6,-1.275,2.608,-0.970,0.880,NaN,NaN,NaN,NaN,NaN,NaN
30,1821,7,-1.249,1.744,-1.104,0.820,NaN,NaN,NaN,NaN,NaN,NaN
31,1821,8,-1.677,1.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1821,9,-1.830,2.055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1821,10,-1.619,1.994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1821,11,-2.758,2.808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1821,12,-1.264,1.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1822,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1822,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1822,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1822,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1822,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1822,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1822,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1822,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1822,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1822,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1822,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1822,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1823,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1823,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1823,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1823,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1823,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1823,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1823,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1823,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1823,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1823,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1823,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1823,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1824,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1824,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1824,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1824,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1824,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1824,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1824,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1824,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1824,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1824,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1824,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1824,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1825,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1825,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1825,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1825,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1825,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1825,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1825,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1825,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1825,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1825,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1825,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1825,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1826,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1826,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1826,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1826,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1826,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1826,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1826,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1826,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1826,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1826,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,1826,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,1826,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,1827,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,1827,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,1827,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,1827,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,1827,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,1827,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,1827,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,1827,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,1827,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,1827,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,1827,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,1827,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,1828,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,1828,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,1828,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111,1828,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112,1828,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,1828,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114,1828,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115,1828,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116,1828,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,1828,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118,1828,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119,1828,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120,1829,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121,1829,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122,1829,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123,1829,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
124,1829,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125,1829,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,1829,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127,1829,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128,1829,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1829,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,1829,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131,1829,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132,1830,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133,1830,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134,1830,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135,1830,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136,1830,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137,1830,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138,1830,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139,1830,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140,1830,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
141,1830,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142,1830,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
143,1830,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144,1831,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145,1831,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146,1831,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147,1831,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148,1831,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
149,1831,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,1831,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151,1831,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
152,1831,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153,1831,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154,1831,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155,1831,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156,1832,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
157,1832,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158,1832,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
