,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.825,2.756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,0.089,2.538,-0.411,1.192,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.145,2.214,-0.365,1.225,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.485,1.501,-0.299,1.217,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.047,1.808,-0.445,1.312,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.375,1.937,-0.451,1.314,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.444,3.193,-0.447,1.371,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.363,2.606,-0.697,1.293,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.246,2.488,-0.791,1.299,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.918,1.661,-0.967,1.352,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.132,1.923,-0.948,1.281,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.146,3.019,-1.008,1.318,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.778,3.229,-0.988,1.271,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.911,1.418,-0.933,1.274,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.020,1.707,-0.948,1.243,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.627,1.509,-0.960,2.076,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.815,1.535,-0.960,2.425,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.346,2.337,-0.963,0.792,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.674,1.480,-0.882,0.816,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,1.034,3.108,-0.562,0.699,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.430,2.127,-0.643,0.686,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.066,10.225,-0.586,0.704,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.134,5.386,-0.585,0.643,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.184,1.615,-0.387,0.529,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-0.798,1.902,-0.423,0.889,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,0.929,1.367,-0.587,0.717,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.044,2.242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-0.947,2.645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.795,1.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,2.031,0.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.239,1.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.931,1.320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.367,2.374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.313,3.232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.027,1.376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-2.682,5.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-0.838,6.646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,0.919,4.207,-0.207,1.377,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.424,5.622,-0.205,1.300,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.323,2.422,-0.334,1.174,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,1.755,4.000,-0.313,0.897,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.621,1.569,-0.205,0.727,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-0.928,4.336,-0.338,0.720,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.368,1.241,-0.730,0.775,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.344,3.484,-0.785,0.836,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.866,3.712,-0.723,0.950,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-0.775,8.450,-0.797,0.817,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-1.378,5.733,-0.912,0.952,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-2.439,7.318,-0.792,1.010,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-3.780,3.400,-0.813,1.135,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,-0.243,2.855,-0.722,1.261,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,1.073,7.928,-0.502,1.547,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,0.861,6.496,-0.469,1.247,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,-0.756,2.671,-0.759,1.276,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,0.511,2.240,-0.904,1.190,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-0.619,2.880,-0.669,1.153,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,0.745,2.134,-0.310,1.693,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,0.772,2.943,-0.396,1.368,NaN,NaN,NaN,NaN,NaN,NaN
59,1754,12,-0.378,2.212,-0.260,1.490,NaN,NaN,NaN,NaN,NaN,NaN
60,1755,1,-4.856,4.898,-0.210,1.607,NaN,NaN,NaN,NaN,NaN,NaN
61,1755,2,-4.177,5.295,-0.381,1.660,NaN,NaN,NaN,NaN,NaN,NaN
62,1755,3,-0.956,3.452,-0.470,1.877,-0.387,1.396,NaN,NaN,NaN,NaN
63,1755,4,4.064,4.121,-0.603,2.144,-0.446,1.440,NaN,NaN,NaN,NaN
64,1755,5,0.038,4.393,-0.776,2.426,-0.458,1.404,NaN,NaN,NaN,NaN
65,1755,6,2.491,8.767,-0.740,1.999,-0.470,1.490,NaN,NaN,NaN,NaN
66,1755,7,-0.160,3.665,-0.267,1.736,-0.493,1.371,NaN,NaN,NaN,NaN
67,1755,8,-1.532,2.648,0.169,2.537,-0.508,1.386,NaN,NaN,NaN,NaN
68,1755,9,-1.695,2.943,0.262,2.554,-0.526,1.368,NaN,NaN,NaN,NaN
69,1755,10,-0.843,5.437,-0.175,2.307,-0.543,1.349,NaN,NaN,NaN,NaN
70,1755,11,-1.305,3.952,-0.198,1.972,-0.539,1.340,NaN,NaN,NaN,NaN
71,1755,12,0.046,6.809,-0.257,1.789,-0.550,1.342,NaN,NaN,NaN,NaN
72,1756,1,0.823,3.177,-0.249,1.707,-0.603,1.390,NaN,NaN,NaN,NaN
73,1756,2,1.058,6.319,-0.123,1.986,-0.599,1.345,NaN,NaN,NaN,NaN
74,1756,3,0.158,8.714,0.019,1.831,-0.632,1.365,NaN,NaN,NaN,NaN
75,1756,4,-1.185,1.866,-0.005,1.979,-0.669,1.341,NaN,NaN,NaN,NaN
76,1756,5,-0.229,5.661,-0.139,2.054,-0.648,1.319,NaN,NaN,NaN,NaN
77,1756,6,1.783,6.211,-0.338,2.177,-0.632,1.453,NaN,NaN,NaN,NaN
78,1756,7,-0.069,1.589,-0.637,2.110,-0.588,1.529,NaN,NaN,NaN,NaN
79,1756,8,-0.019,4.309,-0.758,2.088,-0.524,1.649,NaN,NaN,NaN,NaN
80,1756,9,0.009,1.950,-0.841,1.786,-0.459,1.681,NaN,NaN,NaN,NaN
81,1756,10,-1.133,3.413,-0.679,2.122,-0.448,1.670,NaN,NaN,NaN,NaN
82,1756,11,-2.912,1.665,-0.596,2.546,-0.470,1.676,NaN,NaN,NaN,NaN
