,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1780,1,-0.376,8.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1780,2,-1.153,6.512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1780,3,0.684,2.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1780,4,2.008,3.951,0.393,0.855,NaN,NaN,NaN,NaN,NaN,NaN
4,1780,5,2.662,2.958,0.370,0.949,NaN,NaN,NaN,NaN,NaN,NaN
5,1780,6,0.680,4.803,0.140,1.307,NaN,NaN,NaN,NaN,NaN,NaN
6,1780,7,0.573,2.457,0.107,1.223,NaN,NaN,NaN,NaN,NaN,NaN
7,1780,8,-1.156,4.109,0.138,1.561,NaN,NaN,NaN,NaN,NaN,NaN
8,1780,9,-2.018,1.676,0.078,1.617,NaN,NaN,NaN,NaN,NaN,NaN
9,1780,10,1.666,1.792,-0.080,2.162,NaN,NaN,NaN,NaN,NaN,NaN
10,1780,11,-0.171,2.131,-0.261,1.774,NaN,NaN,NaN,NaN,NaN,NaN
11,1780,12,-1.717,5.314,-0.430,1.704,NaN,NaN,NaN,NaN,NaN,NaN
12,1781,1,-0.774,5.604,-0.436,1.709,NaN,NaN,NaN,NaN,NaN,NaN
13,1781,2,-0.780,7.515,-0.290,1.763,NaN,NaN,NaN,NaN,NaN,NaN
14,1781,3,-0.036,1.896,-0.181,1.809,NaN,NaN,NaN,NaN,NaN,NaN
15,1781,4,0.116,3.497,-0.405,1.783,NaN,NaN,NaN,NaN,NaN,NaN
16,1781,5,0.483,2.466,-0.299,1.486,-0.169,0.497,NaN,NaN,NaN,NaN
17,1781,6,-1.351,3.148,-0.131,1.316,-0.172,0.453,NaN,NaN,NaN,NaN
18,1781,7,0.509,2.494,-0.207,0.965,-0.146,0.427,NaN,NaN,NaN,NaN
19,1781,8,0.593,1.679,-0.395,0.677,-0.206,0.420,NaN,NaN,NaN,NaN
20,1781,9,-0.710,4.487,-0.507,0.852,-0.214,0.406,NaN,NaN,NaN,NaN
21,1781,10,-1.015,1.611,-0.549,0.973,-0.259,0.384,NaN,NaN,NaN,NaN
22,1781,11,1.096,3.627,-0.617,0.940,-0.284,0.375,NaN,NaN,NaN,NaN
23,1781,12,0.292,4.654,-0.433,0.983,-0.235,0.378,NaN,NaN,NaN,NaN
24,1782,1,-1.686,2.936,-0.371,1.101,-0.198,0.378,NaN,NaN,NaN,NaN
25,1782,2,-3.028,3.553,-0.257,1.297,-0.170,0.383,NaN,NaN,NaN,NaN
26,1782,3,-1.389,5.994,-0.200,1.483,-0.183,0.367,NaN,NaN,NaN,NaN
27,1782,4,-0.378,1.985,-0.188,1.217,-0.232,0.390,NaN,NaN,NaN,NaN
