,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1787,1,0.605,4.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1787,2,0.456,2.709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1787,3,0.298,6.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1787,4,-0.501,2.690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1787,5,-0.331,1.745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1787,6,0.621,2.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1787,7,-1.720,2.534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1787,8,-0.870,1.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1787,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1787,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1787,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1787,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1788,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1788,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1788,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1788,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1788,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1788,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1788,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1788,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1788,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1788,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1788,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1788,12,-2.134,2.413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1789,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1789,2,-0.347,2.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1789,3,-0.967,5.664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1789,4,-0.810,2.378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1789,5,-0.287,3.858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1789,6,-0.182,1.632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1789,7,-0.473,2.035,-0.503,0.875,NaN,NaN,NaN,NaN,NaN,NaN
31,1789,8,-0.767,1.474,-0.462,0.794,NaN,NaN,NaN,NaN,NaN,NaN
32,1789,9,-0.314,1.591,-0.361,0.720,NaN,NaN,NaN,NaN,NaN,NaN
33,1789,10,-1.103,2.575,-0.338,0.747,NaN,NaN,NaN,NaN,NaN,NaN
34,1789,11,-0.966,3.449,-0.435,0.671,NaN,NaN,NaN,NaN,NaN,NaN
35,1789,12,-0.000,2.830,-0.381,0.623,NaN,NaN,NaN,NaN,NaN,NaN
36,1790,1,0.176,1.801,-0.396,0.666,NaN,NaN,NaN,NaN,NaN,NaN
37,1790,2,0.151,3.642,-0.363,0.679,NaN,NaN,NaN,NaN,NaN,NaN
38,1790,3,0.239,2.830,-0.367,0.693,NaN,NaN,NaN,NaN,NaN,NaN
39,1790,4,-0.530,1.686,-0.304,0.649,NaN,NaN,NaN,NaN,NaN,NaN
40,1790,5,-1.446,3.927,-0.274,0.600,NaN,NaN,NaN,NaN,NaN,NaN
41,1790,6,0.461,1.856,-0.233,0.752,NaN,NaN,NaN,NaN,NaN,NaN
42,1790,7,-0.648,1.536,-0.188,0.908,NaN,NaN,NaN,NaN,NaN,NaN
43,1790,8,-0.379,1.561,-0.251,0.895,NaN,NaN,NaN,NaN,NaN,NaN
44,1790,9,-0.356,1.609,-0.218,0.844,NaN,NaN,NaN,NaN,NaN,NaN
45,1790,10,-0.354,1.825,-0.092,0.862,NaN,NaN,NaN,NaN,NaN,NaN
46,1790,11,-0.605,1.748,-0.081,0.942,NaN,NaN,NaN,NaN,NaN,NaN
47,1790,12,0.494,4.330,-0.177,0.901,NaN,NaN,NaN,NaN,NaN,NaN
48,1791,1,0.714,4.067,-0.172,0.880,NaN,NaN,NaN,NaN,NaN,NaN
49,1791,2,-0.599,3.895,-0.118,0.917,NaN,NaN,NaN,NaN,NaN,NaN
50,1791,3,0.635,2.425,-0.069,0.928,NaN,NaN,NaN,NaN,NaN,NaN
51,1791,4,0.974,1.947,-0.099,1.067,NaN,NaN,NaN,NaN,NaN,NaN
52,1791,5,-1.304,2.710,-0.059,1.257,NaN,NaN,NaN,NaN,NaN,NaN
53,1791,6,-0.699,1.907,-0.087,1.082,NaN,NaN,NaN,NaN,NaN,NaN
54,1791,7,-0.579,1.569,-0.242,1.294,NaN,NaN,NaN,NaN,NaN,NaN
55,1791,8,0.266,1.924,-0.133,1.245,NaN,NaN,NaN,NaN,NaN,NaN
56,1791,9,0.233,2.160,-0.197,1.168,NaN,NaN,NaN,NaN,NaN,NaN
57,1791,10,-0.722,2.311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1791,11,-0.119,2.897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1791,12,0.161,2.528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1792,1,-1.145,5.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1792,2,0.709,3.618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1792,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1792,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1792,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1792,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1792,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1792,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1792,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1792,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1792,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1792,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1793,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1793,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1793,3,0.041,2.153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1793,4,0.480,2.922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1793,5,-0.031,2.010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1793,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1793,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1793,8,-0.303,3.636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1793,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1793,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1793,11,-0.167,5.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1793,12,-0.272,2.262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1794,1,0.213,3.682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1794,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1794,3,1.123,1.623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1794,4,1.132,3.160,-0.173,1.452,NaN,NaN,NaN,NaN,NaN,NaN
88,1794,5,0.330,2.274,-0.151,1.054,NaN,NaN,NaN,NaN,NaN,NaN
89,1794,6,-1.640,1.627,-0.136,0.953,NaN,NaN,NaN,NaN,NaN,NaN
90,1794,7,-1.809,2.058,-0.038,0.888,NaN,NaN,NaN,NaN,NaN,NaN
91,1794,8,-0.756,2.040,0.086,0.812,NaN,NaN,NaN,NaN,NaN,NaN
92,1794,9,-0.369,3.697,0.055,0.889,NaN,NaN,NaN,NaN,NaN,NaN
93,1794,10,0.295,1.538,0.051,0.891,NaN,NaN,NaN,NaN,NaN,NaN
94,1794,11,0.103,1.669,0.113,0.872,NaN,NaN,NaN,NaN,NaN,NaN
95,1794,12,-0.090,2.140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,1795,1,1.380,2.775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,1795,2,1.331,3.130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,1795,3,0.756,2.242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,1795,4,1.081,2.145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,1795,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,1795,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,1795,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,1795,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,1795,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,1795,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
