,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1867,1,-0.516,0.991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1867,2,-0.713,1.157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1867,3,-0.693,0.875,-0.451,0.436,NaN,NaN,NaN,NaN,NaN,NaN
3,1867,4,-0.273,1.084,-0.359,0.423,NaN,NaN,NaN,NaN,NaN,NaN
4,1867,5,-0.092,1.436,-0.385,0.466,NaN,NaN,NaN,NaN,NaN,NaN
5,1867,6,-0.938,0.931,-0.479,0.542,NaN,NaN,NaN,NaN,NaN,NaN
6,1867,7,-0.393,1.201,-0.515,0.571,NaN,NaN,NaN,NaN,NaN,NaN
7,1867,8,-0.577,0.776,-0.592,0.600,NaN,NaN,NaN,NaN,NaN,NaN
8,1867,9,-0.672,0.861,-0.619,0.629,NaN,NaN,NaN,NaN,NaN,NaN
9,1867,10,0.293,1.061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1867,11,-0.540,2.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1867,12,-0.633,2.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1868,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1868,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1868,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1868,7,-0.100,0.838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1868,8,-0.790,1.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1868,9,-1.543,1.518,-0.822,0.699,NaN,NaN,NaN,NaN,NaN,NaN
21,1868,10,-0.583,1.122,-0.855,0.711,NaN,NaN,NaN,NaN,NaN,NaN
22,1868,11,-1.403,1.302,-0.834,0.701,NaN,NaN,NaN,NaN,NaN,NaN
23,1868,12,-0.911,0.816,-0.825,0.691,NaN,NaN,NaN,NaN,NaN,NaN
24,1869,1,-1.333,1.496,-0.826,0.686,NaN,NaN,NaN,NaN,NaN,NaN
25,1869,2,-0.446,2.436,-0.764,0.638,NaN,NaN,NaN,NaN,NaN,NaN
26,1869,3,-1.347,0.837,-0.674,0.591,NaN,NaN,NaN,NaN,NaN,NaN
27,1869,4,-0.900,1.232,-0.669,0.542,NaN,NaN,NaN,NaN,NaN,NaN
28,1869,5,0.077,0.900,-0.608,0.544,-0.559,0.335,NaN,NaN,NaN,NaN
29,1869,6,-0.615,1.578,-0.634,0.522,-0.576,0.330,NaN,NaN,NaN,NaN
30,1869,7,NaN,NaN,-0.604,0.522,-0.585,0.331,NaN,NaN,NaN,NaN
31,1869,8,NaN,NaN,-0.666,0.552,-0.588,0.337,NaN,NaN,NaN,NaN
32,1869,9,-0.465,1.083,-0.607,0.582,-0.577,0.335,NaN,NaN,NaN,NaN
33,1869,10,-0.525,1.096,NaN,NaN,-0.586,0.329,NaN,NaN,NaN,NaN
34,1869,11,-0.673,0.809,NaN,NaN,-0.584,0.329,NaN,NaN,NaN,NaN
35,1869,12,-1.212,0.745,NaN,NaN,-0.583,0.333,NaN,NaN,NaN,NaN
36,1870,1,-0.980,1.047,NaN,NaN,-0.579,0.326,NaN,NaN,NaN,NaN
