,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,2.331,3.612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,2.643,3.427,0.337,1.719,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.604,3.436,0.302,1.757,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,1.107,2.752,0.125,1.766,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.147,2.551,-0.388,1.799,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.622,2.399,-0.552,1.809,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.546,3.003,-0.772,1.820,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.662,2.873,-1.269,1.787,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.588,3.076,-1.312,1.788,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-3.844,2.858,-1.414,1.803,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-5.970,3.006,-1.424,1.756,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-3.348,3.540,-1.515,1.764,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.308,3.732,-1.534,1.756,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.318,2.894,-1.622,1.761,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.090,2.821,-1.677,1.749,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-0.126,2.669,-1.509,2.295,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.263,2.482,-1.177,2.538,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-1.713,2.427,-0.949,1.175,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.319,2.534,-1.069,1.224,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,-0.398,2.891,-0.649,1.194,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.241,2.821,-0.658,1.184,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.828,8.414,-0.680,1.176,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-1.997,5.117,-0.634,1.148,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-0.610,2.490,-0.487,1.123,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.749,2.781,-0.365,1.119,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.729,2.613,-0.288,1.066,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.975,2.694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-0.384,3.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.712,2.559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,0.055,2.189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,1.774,2.227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,0.526,2.151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.819,3.220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,0.919,3.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,0.093,2.479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,0.207,5.158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,0.179,5.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.638,3.678,-0.068,1.733,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.274,4.534,0.014,1.702,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,-0.654,2.282,-0.151,1.617,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,-1.173,4.177,-0.636,1.345,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,-0.616,2.590,-0.638,1.234,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-0.853,4.333,-0.736,1.231,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.008,2.692,-1.012,1.250,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,0.166,4.518,-0.883,1.228,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.066,3.520,-0.778,1.290,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-5.721,8.660,-0.698,1.308,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,0.178,5.833,-0.719,1.436,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-0.999,6.501,-0.782,1.461,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-1.672,3.296,-0.903,1.578,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,1.825,3.514,-0.950,1.640,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.599,5.758,-0.913,1.757,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,-0.211,5.449,-0.437,1.682,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,-0.868,2.846,-0.552,1.791,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,-1.603,2.894,-0.669,1.678,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-1.460,3.531,-0.701,1.632,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,-0.406,2.375,-0.804,1.577,NaN,NaN,NaN,NaN,NaN,NaN
