,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-0.502,2.833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-0.660,2.720,-0.595,1.197,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,NaN,NaN,-0.607,1.224,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.202,2.307,-0.600,1.240,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.638,2.433,-0.883,1.313,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.179,2.416,-0.901,1.326,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.408,3.269,-1.011,1.370,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.439,2.913,-1.240,1.350,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,NaN,NaN,-1.274,1.356,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-1.527,2.474,-1.428,1.387,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-4.794,2.666,-1.365,1.348,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-3.408,3.074,-1.433,1.368,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.813,3.229,-1.356,1.351,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.417,2.391,-1.346,1.361,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.150,2.469,-1.325,1.348,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.652,2.341,-1.340,1.860,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.880,2.369,-1.244,2.054,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.993,2.747,-1.171,0.959,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.329,2.263,-1.188,0.971,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.558,3.231,-0.787,0.914,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.451,2.665,-0.825,0.904,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.710,7.877,-0.787,0.916,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.636,4.341,-0.761,0.887,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.537,2.132,-0.592,0.825,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-2.015,2.342,-0.607,0.933,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.389,2.164,-0.729,0.837,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.696,2.449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.191,2.932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.567,2.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.028,2.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,1.149,2.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.902,2.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.538,2.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.571,3.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.479,2.154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-1.123,4.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.513,5.382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.269,3.385,-0.430,1.404,NaN,NaN,NaN,NaN,NaN,NaN
