,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1892,1,-1.524,1.867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1892,2,-0.660,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1892,3,-0.432,1.045,-0.341,0.354,NaN,NaN,NaN,NaN,NaN,NaN
3,1892,4,-0.145,0.765,-0.328,0.335,NaN,NaN,NaN,NaN,NaN,NaN
4,1892,5,-0.065,0.926,-0.313,0.342,NaN,NaN,NaN,NaN,NaN,NaN
5,1892,6,0.464,1.101,-0.356,0.345,NaN,NaN,NaN,NaN,NaN,NaN
6,1892,7,0.014,0.650,-0.353,0.461,NaN,NaN,NaN,NaN,NaN,NaN
7,1892,8,-0.267,0.671,-0.393,0.512,NaN,NaN,NaN,NaN,NaN,NaN
8,1892,9,-0.208,0.639,-0.398,0.444,NaN,NaN,NaN,NaN,NaN,NaN
9,1892,10,-0.312,0.783,-0.391,0.446,NaN,NaN,NaN,NaN,NaN,NaN
10,1892,11,-0.626,0.968,-0.511,0.443,NaN,NaN,NaN,NaN,NaN,NaN
11,1892,12,-0.504,0.694,-0.640,0.512,NaN,NaN,NaN,NaN,NaN,NaN
12,1893,1,-1.493,0.797,-0.687,0.603,NaN,NaN,NaN,NaN,NaN,NaN
13,1893,2,-1.141,0.858,-0.733,0.684,NaN,NaN,NaN,NaN,NaN,NaN
14,1893,3,-0.496,0.643,-0.754,0.749,-0.406,0.199,NaN,NaN,NaN,NaN
15,1893,4,-0.060,0.727,-0.737,0.787,-0.400,0.197,NaN,NaN,NaN,NaN
16,1893,5,-1.498,2.129,-0.727,0.768,-0.384,0.198,NaN,NaN,NaN,NaN
17,1893,6,-1.093,2.529,-0.664,0.670,-0.374,0.196,NaN,NaN,NaN,NaN
18,1893,7,-0.541,1.780,-0.581,0.672,-0.360,0.195,NaN,NaN,NaN,NaN
19,1893,8,-0.829,1.362,-0.466,0.585,-0.348,0.195,NaN,NaN,NaN,NaN
20,1893,9,-0.457,1.084,-0.479,0.640,-0.350,0.194,NaN,NaN,NaN,NaN
21,1893,10,-0.104,0.578,-0.532,0.571,-0.343,0.200,NaN,NaN,NaN,NaN
22,1893,11,-0.503,0.499,-0.416,0.400,-0.336,0.201,NaN,NaN,NaN,NaN
23,1893,12,0.251,1.418,-0.378,0.303,-0.326,0.199,NaN,NaN,NaN,NaN
24,1894,1,-0.503,0.652,-0.354,0.286,-0.318,0.202,NaN,NaN,NaN,NaN
25,1894,2,0.235,1.344,-0.270,0.338,-0.313,0.206,NaN,NaN,NaN,NaN
26,1894,3,-0.644,0.767,-0.215,0.432,-0.314,0.207,NaN,NaN,NaN,NaN
27,1894,4,-0.701,0.931,-0.189,0.456,-0.309,0.200,NaN,NaN,NaN,NaN
28,1894,5,-0.098,0.725,-0.135,0.537,-0.309,0.196,NaN,NaN,NaN,NaN
29,1894,6,-0.644,0.617,-0.140,0.516,-0.316,0.194,-0.314,0.159,NaN,NaN
30,1894,7,-0.248,0.545,-0.103,0.609,-0.295,0.212,-0.312,0.156,NaN,NaN
31,1894,8,0.171,0.913,-0.201,0.574,-0.291,0.220,-0.310,0.155,NaN,NaN
32,1894,9,0.207,0.934,-0.162,0.633,-0.292,0.219,-0.304,0.154,NaN,NaN
33,1894,10,0.211,0.587,-0.133,0.560,-0.296,0.218,-0.297,0.153,NaN,NaN
34,1894,11,0.143,1.219,-0.124,0.494,-0.300,0.210,-0.285,0.154,NaN,NaN
35,1894,12,0.191,1.162,-0.102,0.491,-0.314,0.201,-0.281,0.154,NaN,NaN
36,1895,1,-0.056,1.315,-0.057,0.546,-0.318,0.198,-0.275,0.154,NaN,NaN
37,1895,2,-0.939,0.902,-0.057,0.557,-0.316,0.197,-0.265,0.155,NaN,NaN
38,1895,3,-0.180,0.549,-0.105,0.515,-0.312,0.191,-0.257,0.156,NaN,NaN
39,1895,4,-0.350,0.751,-0.128,0.509,-0.308,0.186,-0.249,0.156,NaN,NaN
40,1895,5,0.006,0.637,-0.149,0.448,-0.287,0.176,-0.240,0.156,NaN,NaN
41,1895,6,-0.383,0.597,-0.185,0.392,-0.281,0.181,-0.235,0.156,NaN,NaN
42,1895,7,0.297,0.713,-0.179,0.335,-0.250,0.173,-0.232,0.157,NaN,NaN
43,1895,8,0.171,1.073,-0.131,0.329,-0.240,0.171,-0.225,0.158,NaN,NaN
44,1895,9,-0.368,0.647,-0.175,0.317,-0.242,0.176,-0.220,0.157,NaN,NaN
45,1895,10,-0.071,1.081,-0.158,0.319,-0.241,0.178,-0.209,0.158,NaN,NaN
46,1895,11,-0.108,0.703,-0.166,0.324,-0.205,0.194,-0.198,0.157,NaN,NaN
47,1895,12,-0.237,0.657,-0.133,0.333,-0.179,0.212,-0.189,0.157,NaN,NaN
48,1896,1,0.013,0.692,-0.142,0.318,-0.174,0.230,-0.175,0.162,NaN,NaN
49,1896,2,-0.368,0.781,-0.163,0.326,-0.173,0.243,-0.167,0.165,NaN,NaN
50,1896,3,-0.703,0.672,-0.155,0.335,-0.174,0.256,-0.162,0.165,NaN,NaN
51,1896,4,-0.150,1.311,-0.164,0.325,-0.174,0.258,-0.158,0.166,NaN,NaN
52,1896,5,-0.093,0.739,-0.221,0.322,-0.172,0.259,-0.154,0.166,NaN,NaN
53,1896,6,0.015,0.670,-0.237,0.318,-0.169,0.241,-0.150,0.168,NaN,NaN
54,1896,7,0.196,0.590,-0.260,0.317,-0.160,0.243,-0.144,0.169,NaN,NaN
55,1896,8,-0.084,0.713,-0.263,0.343,-0.173,0.232,-0.135,0.170,NaN,NaN
