,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1849,1,-0.550,1.765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1849,2,-0.513,1.601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1849,3,-0.087,0.930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1849,4,-0.916,1.602,-0.749,0.699,NaN,NaN,NaN,NaN,NaN,NaN
4,1849,5,-0.990,0.967,-0.723,0.767,NaN,NaN,NaN,NaN,NaN,NaN
5,1849,6,-0.703,1.495,-0.654,0.625,NaN,NaN,NaN,NaN,NaN,NaN
6,1849,7,-0.625,2.040,-0.694,0.608,NaN,NaN,NaN,NaN,NaN,NaN
7,1849,8,-1.070,1.263,-0.671,0.637,NaN,NaN,NaN,NaN,NaN,NaN
8,1849,9,-0.896,0.990,-0.677,0.688,NaN,NaN,NaN,NaN,NaN,NaN
9,1849,10,-0.578,0.957,-0.646,0.783,NaN,NaN,NaN,NaN,NaN,NaN
10,1849,11,-0.525,1.959,-0.639,0.764,NaN,NaN,NaN,NaN,NaN,NaN
11,1849,12,-0.400,2.218,-0.615,0.757,NaN,NaN,NaN,NaN,NaN,NaN
12,1850,1,-1.026,2.396,-0.618,0.703,NaN,NaN,NaN,NaN,NaN,NaN
13,1850,2,-0.236,2.233,-0.595,0.662,NaN,NaN,NaN,NaN,NaN,NaN
14,1850,3,-0.159,1.829,-0.570,0.668,NaN,NaN,NaN,NaN,NaN,NaN
15,1850,4,-0.544,1.090,-0.610,0.609,NaN,NaN,NaN,NaN,NaN,NaN
16,1850,5,-0.913,1.186,-0.646,0.571,NaN,NaN,NaN,NaN,NaN,NaN
17,1850,6,-0.405,0.951,-0.634,0.576,NaN,NaN,NaN,NaN,NaN,NaN
18,1850,7,-0.665,1.641,-0.571,0.531,NaN,NaN,NaN,NaN,NaN,NaN
19,1850,8,-0.800,1.587,-0.607,0.474,NaN,NaN,NaN,NaN,NaN,NaN
20,1850,9,-0.587,0.954,-0.645,0.474,NaN,NaN,NaN,NaN,NaN,NaN
21,1850,10,-1.056,1.252,-0.632,0.494,NaN,NaN,NaN,NaN,NaN,NaN
22,1850,11,-0.957,1.971,-0.588,0.509,NaN,NaN,NaN,NaN,NaN,NaN
23,1850,12,-0.256,1.486,-0.597,0.525,NaN,NaN,NaN,NaN,NaN,NaN
24,1851,1,-0.280,1.023,-0.565,0.506,NaN,NaN,NaN,NaN,NaN,NaN
25,1851,2,-0.663,1.276,-0.557,0.484,NaN,NaN,NaN,NaN,NaN,NaN
26,1851,3,-0.610,1.343,-0.549,0.511,NaN,NaN,NaN,NaN,NaN,NaN
27,1851,4,-0.396,1.087,-0.506,0.555,NaN,NaN,NaN,NaN,NaN,NaN
28,1851,5,-0.378,1.452,-0.507,0.641,NaN,NaN,NaN,NaN,NaN,NaN
29,1851,6,-0.517,1.603,-0.469,0.767,NaN,NaN,NaN,NaN,NaN,NaN
30,1851,7,-0.280,1.343,-0.474,0.823,NaN,NaN,NaN,NaN,NaN,NaN
31,1851,8,-0.702,1.143,-0.488,0.814,NaN,NaN,NaN,NaN,NaN,NaN
32,1851,9,-0.499,1.238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1851,10,-0.532,1.641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1851,11,-0.975,1.416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1851,12,0.203,2.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1853,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1853,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1853,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1853,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1854,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1854,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1854,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
