,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1892,1,-1.035,1.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1892,2,-0.565,0.612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1892,3,-0.678,0.660,-0.363,0.344,NaN,NaN,NaN,NaN,NaN,NaN
3,1892,4,-0.192,0.694,-0.347,0.324,NaN,NaN,NaN,NaN,NaN,NaN
4,1892,5,-0.262,0.721,-0.341,0.321,NaN,NaN,NaN,NaN,NaN,NaN
5,1892,6,0.011,1.004,-0.403,0.331,NaN,NaN,NaN,NaN,NaN,NaN
6,1892,7,-0.115,0.706,-0.427,0.344,NaN,NaN,NaN,NaN,NaN,NaN
7,1892,8,-0.143,0.850,-0.447,0.358,NaN,NaN,NaN,NaN,NaN,NaN
8,1892,9,-0.333,0.596,-0.402,0.331,NaN,NaN,NaN,NaN,NaN,NaN
9,1892,10,-0.091,0.572,-0.408,0.299,NaN,NaN,NaN,NaN,NaN,NaN
10,1892,11,-0.660,0.711,-0.404,0.289,NaN,NaN,NaN,NaN,NaN,NaN
11,1892,12,-0.771,0.633,-0.430,0.281,NaN,NaN,NaN,NaN,NaN,NaN
12,1893,1,-1.327,0.581,-0.433,0.285,NaN,NaN,NaN,NaN,NaN,NaN
13,1893,2,-0.802,0.822,-0.446,0.288,NaN,NaN,NaN,NaN,NaN,NaN
14,1893,3,-0.144,0.564,-0.428,0.313,-0.428,0.137,NaN,NaN,NaN,NaN
15,1893,4,-0.259,0.648,-0.426,0.312,-0.426,0.139,NaN,NaN,NaN,NaN
16,1893,5,-0.218,0.758,-0.428,0.322,-0.413,0.140,NaN,NaN,NaN,NaN
17,1893,6,-0.300,0.712,-0.414,0.315,-0.412,0.142,NaN,NaN,NaN,NaN
18,1893,7,-0.148,0.723,-0.370,0.320,-0.402,0.145,NaN,NaN,NaN,NaN
19,1893,8,-0.293,0.701,-0.354,0.314,-0.402,0.147,NaN,NaN,NaN,NaN
20,1893,9,-0.124,0.655,-0.404,0.313,-0.405,0.144,NaN,NaN,NaN,NaN
21,1893,10,-0.063,0.556,-0.421,0.297,-0.408,0.145,NaN,NaN,NaN,NaN
22,1893,11,-0.680,0.570,-0.449,0.282,-0.397,0.140,NaN,NaN,NaN,NaN
23,1893,12,-0.614,0.731,-0.488,0.276,-0.387,0.137,NaN,NaN,NaN,NaN
24,1894,1,-0.788,0.709,-0.488,0.273,-0.375,0.133,NaN,NaN,NaN,NaN
25,1894,2,-0.619,0.727,-0.458,0.232,-0.364,0.129,NaN,NaN,NaN,NaN
26,1894,3,-0.738,1.007,-0.426,0.206,-0.361,0.130,NaN,NaN,NaN,NaN
27,1894,4,-0.459,0.433,-0.411,0.192,-0.352,0.128,NaN,NaN,NaN,NaN
28,1894,5,-0.556,0.568,-0.384,0.182,-0.341,0.127,NaN,NaN,NaN,NaN
29,1894,6,-0.769,0.535,-0.366,0.167,-0.342,0.129,-0.359,0.161,NaN,NaN
30,1894,7,-0.152,0.385,-0.345,0.165,-0.320,0.141,-0.363,0.162,NaN,NaN
31,1894,8,0.069,0.678,-0.303,0.232,-0.309,0.149,-0.361,0.161,NaN,NaN
32,1894,9,0.261,0.498,-0.297,0.214,-0.298,0.155,-0.361,0.161,NaN,NaN
33,1894,10,0.108,0.404,-0.318,0.138,-0.290,0.158,-0.362,0.160,NaN,NaN
34,1894,11,-0.356,0.385,-0.280,0.153,-0.285,0.156,-0.357,0.157,NaN,NaN
35,1894,12,-0.393,0.404,-0.245,0.155,-0.281,0.160,-0.356,0.155,NaN,NaN
36,1895,1,-0.537,0.761,-0.279,0.157,-0.272,0.162,-0.358,0.156,NaN,NaN
37,1895,2,-0.115,1.833,-0.294,0.178,-0.262,0.161,-0.356,0.158,NaN,NaN
38,1895,3,-0.669,1.032,-0.298,0.183,-0.252,0.167,-0.350,0.158,NaN,NaN
39,1895,4,-0.713,1.289,-0.316,0.231,-0.252,0.174,-0.345,0.159,NaN,NaN
40,1895,5,-0.099,0.491,-0.310,0.277,-0.238,0.194,-0.339,0.159,NaN,NaN
41,1895,6,-0.338,0.437,-0.342,0.327,-0.226,0.201,-0.332,0.158,NaN,NaN
42,1895,7,-0.569,1.103,-0.332,0.402,-0.211,0.198,-0.329,0.156,NaN,NaN
43,1895,8,-0.107,0.413,-0.387,0.585,-0.204,0.200,-0.323,0.155,NaN,NaN
44,1895,9,0.209,0.374,-0.400,0.514,-0.208,0.223,-0.317,0.157,NaN,NaN
45,1895,10,-0.102,0.740,-0.394,0.442,-0.201,0.247,-0.312,0.158,NaN,NaN
46,1895,11,-0.288,0.648,-0.382,0.359,-0.197,0.257,-0.303,0.159,NaN,NaN
