,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1891,1,-0.712,0.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1891,2,-0.949,0.783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1891,3,-0.523,0.650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1891,4,-0.444,0.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1891,5,-0.416,0.839,-0.576,0.370,NaN,NaN,NaN,NaN,NaN,NaN
5,1891,6,-0.385,1.006,-0.566,0.358,NaN,NaN,NaN,NaN,NaN,NaN
6,1891,7,-0.375,0.728,-0.604,0.353,NaN,NaN,NaN,NaN,NaN,NaN
7,1891,8,-0.388,0.784,-0.654,0.337,NaN,NaN,NaN,NaN,NaN,NaN
8,1891,9,-0.699,0.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1891,10,-0.832,0.619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1891,11,-0.698,0.690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1891,12,-0.373,0.813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1892,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1892,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1892,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1892,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1892,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1892,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1892,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1892,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1892,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1892,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1892,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1892,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1893,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1893,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1893,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1893,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1893,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1893,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1893,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1893,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1893,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1893,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1893,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1893,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1894,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1894,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1894,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1894,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1894,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1894,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1894,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1894,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1894,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1894,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1894,11,-1.326,0.810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1894,12,-0.734,0.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1895,1,-0.128,1.052,-0.480,0.272,NaN,NaN,NaN,NaN,NaN,NaN
49,1895,2,-0.117,0.721,-0.460,0.273,NaN,NaN,NaN,NaN,NaN,NaN
50,1895,3,-0.787,0.537,-0.448,0.294,NaN,NaN,NaN,NaN,NaN,NaN
51,1895,4,-0.350,0.743,-0.452,0.333,NaN,NaN,NaN,NaN,NaN,NaN
52,1895,5,-0.202,0.569,-0.407,0.348,NaN,NaN,NaN,NaN,NaN,NaN
53,1895,6,-0.263,0.490,-0.377,0.313,NaN,NaN,NaN,NaN,NaN,NaN
54,1895,7,-0.231,0.564,-0.476,0.273,NaN,NaN,NaN,NaN,NaN,NaN
55,1895,8,-0.265,0.751,-0.492,0.271,NaN,NaN,NaN,NaN,NaN,NaN
56,1895,9,NaN,NaN,-0.498,0.293,NaN,NaN,NaN,NaN,NaN,NaN
57,1895,10,-0.393,0.669,-0.483,0.315,NaN,NaN,NaN,NaN,NaN,NaN
58,1895,11,-0.786,0.613,-0.499,0.332,NaN,NaN,NaN,NaN,NaN,NaN
59,1895,12,-0.378,0.862,-0.519,0.309,NaN,NaN,NaN,NaN,NaN,NaN
60,1896,1,-1.313,0.776,-0.548,0.300,NaN,NaN,NaN,NaN,NaN,NaN
61,1896,2,-0.305,0.715,-0.609,0.334,NaN,NaN,NaN,NaN,NaN,NaN
62,1896,3,-0.868,0.813,-0.622,0.378,NaN,NaN,NaN,NaN,NaN,NaN
63,1896,4,-0.172,1.074,-0.738,0.468,NaN,NaN,NaN,NaN,NaN,NaN
64,1896,5,-0.387,0.820,-0.700,0.459,NaN,NaN,NaN,NaN,NaN,NaN
65,1896,6,-0.507,0.851,-0.713,0.437,NaN,NaN,NaN,NaN,NaN,NaN
66,1896,7,-0.580,0.974,-0.597,0.422,NaN,NaN,NaN,NaN,NaN,NaN
67,1896,8,-0.990,1.232,-0.575,0.448,NaN,NaN,NaN,NaN,NaN,NaN
68,1896,9,-0.782,1.262,-0.530,0.471,NaN,NaN,NaN,NaN,NaN,NaN
69,1896,10,-1.789,1.291,-0.586,0.501,NaN,NaN,NaN,NaN,NaN,NaN
70,1896,11,-0.328,0.999,-0.579,0.550,NaN,NaN,NaN,NaN,NaN,NaN
71,1896,12,-0.537,0.579,-0.512,0.526,NaN,NaN,NaN,NaN,NaN,NaN
72,1897,1,0.079,0.850,-0.457,0.508,NaN,NaN,NaN,NaN,NaN,NaN
73,1897,2,-0.033,0.710,-0.377,0.469,NaN,NaN,NaN,NaN,NaN,NaN
74,1897,3,-0.335,0.602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1897,4,-0.837,0.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1897,5,-0.308,1.031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1897,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1897,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1897,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1897,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1897,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1897,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
