,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.623,2.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.792,2.224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.475,1.481,-0.879,0.686,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.241,1.293,-0.854,0.672,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.652,0.894,-0.772,0.623,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.572,1.880,-0.705,0.823,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.475,1.608,-0.680,0.895,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.183,0.701,-0.649,0.775,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.127,1.972,-0.596,0.646,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.491,1.342,-0.561,0.630,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.698,1.926,-0.501,0.565,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.612,3.975,-0.464,0.687,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.328,2.537,-0.452,0.701,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.422,1.460,-0.412,0.662,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.170,2.375,-0.424,0.716,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.652,1.350,-0.389,0.724,-0.705,0.493,NaN,NaN,NaN,NaN
16,1825,5,0.068,2.091,-0.363,0.807,-0.676,0.496,NaN,NaN,NaN,NaN
17,1825,6,-0.127,1.397,-0.335,0.825,-0.635,0.487,NaN,NaN,NaN,NaN
18,1825,7,-0.332,1.743,-0.303,0.911,-0.642,0.474,NaN,NaN,NaN,NaN
19,1825,8,-0.695,1.620,-0.362,0.938,-0.646,0.465,NaN,NaN,NaN,NaN
20,1825,9,-1.274,1.245,-0.486,0.774,-0.641,0.454,NaN,NaN,NaN,NaN
21,1825,10,-1.077,1.508,-0.575,0.731,-0.628,0.462,NaN,NaN,NaN,NaN
22,1825,11,-0.384,2.864,-0.595,0.742,-0.614,0.465,NaN,NaN,NaN,NaN
