,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1867,1,-0.052,1.140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1867,2,-0.316,1.127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1867,3,-0.293,1.051,-0.189,0.407,NaN,NaN,NaN,NaN,NaN,NaN
3,1867,4,0.181,1.047,-0.087,0.416,NaN,NaN,NaN,NaN,NaN,NaN
4,1867,5,0.622,1.513,-0.168,0.420,NaN,NaN,NaN,NaN,NaN,NaN
5,1867,6,-1.127,0.767,-0.297,0.452,NaN,NaN,NaN,NaN,NaN,NaN
6,1867,7,-0.128,0.742,-0.366,0.418,NaN,NaN,NaN,NaN,NaN,NaN
7,1867,8,-0.436,0.822,-0.462,0.472,NaN,NaN,NaN,NaN,NaN,NaN
8,1867,9,-0.518,0.821,-0.499,0.532,NaN,NaN,NaN,NaN,NaN,NaN
9,1867,10,0.573,1.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1867,11,-1.040,3.385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1867,12,-1.034,1.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1868,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1868,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1868,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1868,7,0.062,0.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1868,8,-0.946,1.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1868,9,-1.966,1.679,-0.850,0.863,NaN,NaN,NaN,NaN,NaN,NaN
21,1868,10,-1.005,1.236,-0.887,0.861,NaN,NaN,NaN,NaN,NaN,NaN
22,1868,11,-1.352,1.492,-0.852,0.811,NaN,NaN,NaN,NaN,NaN,NaN
23,1868,12,-1.123,1.353,-0.873,0.857,NaN,NaN,NaN,NaN,NaN,NaN
24,1869,1,-1.318,1.741,-0.884,0.826,NaN,NaN,NaN,NaN,NaN,NaN
25,1869,2,-0.687,2.406,-0.813,0.793,NaN,NaN,NaN,NaN,NaN,NaN
26,1869,3,-1.243,1.285,-0.705,0.747,NaN,NaN,NaN,NaN,NaN,NaN
27,1869,4,-0.741,0.766,-0.672,0.691,NaN,NaN,NaN,NaN,NaN,NaN
28,1869,5,0.446,0.782,-0.614,0.665,-0.409,0.235,NaN,NaN,NaN,NaN
29,1869,6,-0.607,1.540,-0.611,0.626,-0.426,0.232,NaN,NaN,NaN,NaN
30,1869,7,NaN,NaN,-0.563,0.568,-0.438,0.216,NaN,NaN,NaN,NaN
31,1869,8,NaN,NaN,-0.572,0.580,-0.439,0.221,NaN,NaN,NaN,NaN
32,1869,9,-0.667,1.209,-0.527,0.570,-0.429,0.221,NaN,NaN,NaN,NaN
33,1869,10,-0.605,0.898,NaN,NaN,-0.436,0.221,NaN,NaN,NaN,NaN
34,1869,11,-0.656,0.968,NaN,NaN,-0.436,0.221,NaN,NaN,NaN,NaN
35,1869,12,-1.087,0.754,NaN,NaN,-0.426,0.222,NaN,NaN,NaN,NaN
36,1870,1,-0.746,0.960,NaN,NaN,-0.421,0.218,NaN,NaN,NaN,NaN
37,1870,2,-0.797,1.118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1870,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1870,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1870,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1870,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1870,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1870,8,NaN,NaN,NaN,NaN,-0.398,0.233,NaN,NaN,NaN,NaN
44,1870,9,0.602,1.253,NaN,NaN,-0.390,0.223,NaN,NaN,NaN,NaN
45,1870,10,-0.285,0.989,NaN,NaN,-0.391,0.230,NaN,NaN,NaN,NaN
46,1870,11,-0.173,1.099,-0.309,0.582,-0.399,0.228,NaN,NaN,NaN,NaN
47,1870,12,-1.577,0.561,-0.343,0.590,-0.409,0.227,NaN,NaN,NaN,NaN
48,1871,1,-0.451,1.463,-0.262,0.673,-0.406,0.224,NaN,NaN,NaN,NaN
49,1871,2,-0.615,1.493,-0.236,0.653,-0.400,0.228,NaN,NaN,NaN,NaN
50,1871,3,-0.526,0.851,-0.256,0.678,-0.376,0.246,NaN,NaN,NaN,NaN
51,1871,4,-1.151,1.397,-0.160,0.740,-0.363,0.258,NaN,NaN,NaN,NaN
52,1871,5,0.414,1.198,-0.140,0.858,-0.347,0.264,NaN,NaN,NaN,NaN
53,1871,6,-0.261,0.803,-0.051,0.921,-0.330,0.276,NaN,NaN,NaN,NaN
54,1871,7,1.258,1.832,-0.077,0.867,-0.308,0.285,NaN,NaN,NaN,NaN
55,1871,8,-0.067,0.616,-0.055,0.783,NaN,NaN,NaN,NaN,NaN,NaN
56,1871,9,0.364,1.643,0.012,0.873,NaN,NaN,NaN,NaN,NaN,NaN
57,1871,10,0.861,1.720,0.088,0.971,NaN,NaN,NaN,NaN,NaN,NaN
58,1871,11,0.068,2.095,0.108,0.946,NaN,NaN,NaN,NaN,NaN,NaN
59,1871,12,-0.506,0.771,0.084,0.910,NaN,NaN,NaN,NaN,NaN,NaN
60,1872,1,-0.758,1.178,-0.005,0.786,NaN,NaN,NaN,NaN,NaN,NaN
61,1872,2,-0.356,0.630,-0.015,0.786,NaN,NaN,NaN,NaN,NaN,NaN
