,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1787,1,-0.243,4.829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1787,2,-0.715,3.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1787,3,-0.263,6.344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1787,4,-0.625,2.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1787,5,-0.927,1.851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1787,6,0.923,2.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1787,7,-0.319,2.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1787,8,0.131,2.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1787,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1787,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1787,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1787,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1788,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1788,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1788,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1788,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1788,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1788,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1788,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1788,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1788,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1788,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1788,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1788,12,-3.041,3.502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1789,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1789,2,-0.577,2.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1789,3,-1.048,6.267,-0.333,0.759,NaN,NaN,NaN,NaN,NaN,NaN
27,1789,4,0.273,2.384,-0.398,0.791,NaN,NaN,NaN,NaN,NaN,NaN
28,1789,5,1.325,4.373,-0.509,0.806,NaN,NaN,NaN,NaN,NaN,NaN
