,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1885,1,-1.293,1.256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1885,2,-0.299,1.202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1885,3,-1.215,1.219,-0.572,0.606,NaN,NaN,NaN,NaN,NaN,NaN
3,1885,4,-1.658,1.327,-0.547,0.606,NaN,NaN,NaN,NaN,NaN,NaN
4,1885,5,-0.645,1.230,-0.523,0.589,NaN,NaN,NaN,NaN,NaN,NaN
5,1885,6,0.134,1.252,-0.503,0.567,NaN,NaN,NaN,NaN,NaN,NaN
6,1885,7,0.186,1.177,-0.457,0.560,NaN,NaN,NaN,NaN,NaN,NaN
7,1885,8,-0.149,1.164,-0.451,0.565,NaN,NaN,NaN,NaN,NaN,NaN
8,1885,9,-0.612,1.090,-0.404,0.602,NaN,NaN,NaN,NaN,NaN,NaN
9,1885,10,-0.616,1.161,-0.310,0.602,NaN,NaN,NaN,NaN,NaN,NaN
10,1885,11,-0.242,1.186,-0.266,0.611,NaN,NaN,NaN,NaN,NaN,NaN
11,1885,12,0.377,1.190,-0.252,0.615,NaN,NaN,NaN,NaN,NaN,NaN
12,1886,1,-0.748,1.314,-0.295,0.612,NaN,NaN,NaN,NaN,NaN,NaN
13,1886,2,-0.225,1.402,-0.338,0.607,NaN,NaN,NaN,NaN,NaN,NaN
14,1886,3,-0.647,1.306,-0.284,0.630,-0.591,0.345,NaN,NaN,NaN,NaN
15,1886,4,-0.533,1.125,-0.278,0.647,-0.580,0.349,NaN,NaN,NaN,NaN
16,1886,5,-0.123,1.772,-0.321,0.646,-0.573,0.346,NaN,NaN,NaN,NaN
17,1886,6,0.301,1.303,-0.387,0.628,-0.571,0.342,NaN,NaN,NaN,NaN
18,1886,7,-0.324,1.170,-0.425,0.627,-0.561,0.347,NaN,NaN,NaN,NaN
19,1886,8,-0.662,1.106,-0.472,0.612,-0.544,0.346,NaN,NaN,NaN,NaN
20,1886,9,0.029,1.264,-0.506,0.581,-0.522,0.342,NaN,NaN,NaN,NaN
21,1886,10,-0.546,1.346,-0.520,0.613,-0.493,0.344,NaN,NaN,NaN,NaN
22,1886,11,-0.750,1.139,-0.578,0.582,-0.467,0.349,NaN,NaN,NaN,NaN
23,1886,12,-0.421,1.230,-0.652,0.541,-0.458,0.342,NaN,NaN,NaN,NaN
