,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1885,11,-0.729,0.900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1885,12,0.093,0.935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1886,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1886,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1886,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1886,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1886,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1886,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1886,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1886,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1886,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1886,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1886,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1886,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1887,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1887,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1887,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1887,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1887,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1887,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1887,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1887,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1887,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1887,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1887,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1887,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1888,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1888,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1888,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1888,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1888,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1888,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1888,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1888,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1888,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1888,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1888,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1888,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1889,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1889,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1889,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1889,4,-0.121,0.974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1889,5,-0.327,1.029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1889,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1889,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1889,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1889,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1889,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1889,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1889,12,-0.512,0.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1890,1,-0.791,1.088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1890,2,-0.826,0.917,-0.731,0.417,NaN,NaN,NaN,NaN,NaN,NaN
52,1890,3,-1.347,0.946,-0.756,0.417,NaN,NaN,NaN,NaN,NaN,NaN
53,1890,4,-0.888,0.896,-0.770,0.397,NaN,NaN,NaN,NaN,NaN,NaN
54,1890,5,-0.964,0.847,-0.803,0.389,NaN,NaN,NaN,NaN,NaN,NaN
55,1890,6,-0.708,1.015,-0.801,0.404,NaN,NaN,NaN,NaN,NaN,NaN
56,1890,7,-0.397,0.957,-0.812,0.404,NaN,NaN,NaN,NaN,NaN,NaN
57,1890,8,-0.725,0.918,-0.833,0.397,NaN,NaN,NaN,NaN,NaN,NaN
58,1890,9,-0.677,0.847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1890,10,-0.648,0.997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1890,11,-1.155,1.030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1890,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1891,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1891,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1891,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1891,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1891,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1891,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1891,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1891,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1891,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1891,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1891,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1891,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1892,1,-0.649,0.800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1892,2,-0.526,0.800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1892,3,-0.642,0.783,-0.384,0.446,-0.570,0.224,NaN,NaN,NaN,NaN
77,1892,4,-0.227,0.841,-0.383,0.440,-0.565,0.226,NaN,NaN,NaN,NaN
78,1892,5,-0.533,0.827,-0.388,0.434,-0.555,0.233,NaN,NaN,NaN,NaN
79,1892,6,-0.099,0.949,-0.437,0.412,-0.544,0.239,NaN,NaN,NaN,NaN
80,1892,7,-0.351,0.876,-0.492,0.413,-0.541,0.243,NaN,NaN,NaN,NaN
81,1892,8,-0.163,0.913,-0.564,0.410,-0.540,0.244,NaN,NaN,NaN,NaN
82,1892,9,-0.395,1.036,-0.570,0.400,-0.528,0.248,NaN,NaN,NaN,NaN
83,1892,10,-0.380,0.850,-0.604,0.401,-0.517,0.246,NaN,NaN,NaN,NaN
84,1892,11,-0.790,0.883,-0.648,0.379,-0.502,0.247,NaN,NaN,NaN,NaN
85,1892,12,-0.488,0.851,-0.708,0.363,-0.494,0.250,NaN,NaN,NaN,NaN
86,1893,1,-1.313,0.819,-0.700,0.360,-0.491,0.259,NaN,NaN,NaN,NaN
87,1893,2,-1.387,0.908,-0.709,0.364,-0.483,0.266,NaN,NaN,NaN,NaN
88,1893,3,-0.713,0.882,-0.721,0.366,-0.479,0.270,NaN,NaN,NaN,NaN
89,1893,4,-0.636,0.827,-0.727,0.374,-0.470,0.274,-0.465,0.221,NaN,NaN
90,1893,5,-1.060,1.017,-0.693,0.372,-0.452,0.278,-0.459,0.220,NaN,NaN
91,1893,6,-0.816,0.982,-0.681,0.370,-0.444,0.272,-0.448,0.210,NaN,NaN
92,1893,7,-0.263,0.803,-0.625,0.377,-0.431,0.274,-0.448,0.208,NaN,NaN
93,1893,8,-0.273,0.875,-0.533,0.384,-0.423,0.272,-0.449,0.206,NaN,NaN
94,1893,9,-0.529,0.809,-0.498,0.388,-0.434,0.272,-0.451,0.204,NaN,NaN
95,1893,10,-0.462,0.822,-0.484,0.383,-0.436,0.277,-0.448,0.198,NaN,NaN
96,1893,11,-0.375,0.754,-0.428,0.396,-0.432,0.278,-0.446,0.190,NaN,NaN
97,1893,12,-0.345,0.974,-0.398,0.419,-0.434,0.274,-0.446,0.186,NaN,NaN
98,1894,1,-0.642,0.810,-0.394,0.442,-0.435,0.275,-0.434,0.179,NaN,NaN
99,1894,2,-0.279,0.875,-0.364,0.454,-0.437,0.277,-0.437,0.179,NaN,NaN
100,1894,3,-0.296,0.838,-0.337,0.472,-0.447,0.278,-0.434,0.175,NaN,NaN
101,1894,4,-0.466,0.964,-0.311,0.471,-0.445,0.277,-0.427,0.170,NaN,NaN
102,1894,5,-0.390,0.847,-0.294,0.491,-0.437,0.272,-0.427,0.169,NaN,NaN
103,1894,6,-0.459,0.821,-0.255,0.494,-0.449,0.272,-0.430,0.168,NaN,NaN
104,1894,7,-0.209,0.801,-0.251,0.518,-0.438,0.270,-0.426,0.166,NaN,NaN
105,1894,8,0.082,0.875,-0.292,0.524,-0.441,0.270,-0.417,0.162,NaN,NaN
106,1894,9,-0.202,0.911,-0.319,0.535,-0.445,0.271,-0.410,0.160,NaN,NaN
107,1894,10,-0.152,0.814,-0.300,0.503,-0.444,0.270,-0.404,0.160,NaN,NaN
108,1894,11,-0.170,0.906,-0.273,0.494,-0.437,0.267,-0.392,0.160,NaN,NaN
109,1894,12,0.128,1.012,-0.256,0.483,-0.440,0.263,-0.391,0.159,NaN,NaN
110,1895,1,-0.592,0.941,-0.253,0.501,-0.447,0.268,-0.392,0.159,NaN,NaN
111,1895,2,-0.772,0.863,-0.283,0.498,-0.450,0.270,-0.377,0.159,NaN,NaN
112,1895,3,-0.618,0.860,-0.300,0.492,-0.452,0.276,-0.360,0.158,NaN,NaN
113,1895,4,-0.241,0.921,-0.297,0.498,-0.455,0.290,-0.354,0.158,NaN,NaN
114,1895,5,-0.064,0.783,-0.289,0.506,-0.432,0.269,-0.341,0.157,NaN,NaN
115,1895,6,-0.264,0.782,-0.300,0.495,-0.431,0.284,-0.342,0.157,NaN,NaN
116,1895,7,-0.172,1.002,-0.265,0.498,-0.416,0.292,-0.342,0.158,NaN,NaN
117,1895,8,-0.273,0.896,-0.251,0.475,-0.408,0.303,-0.335,0.158,NaN,NaN
118,1895,9,-0.413,0.893,-0.310,0.443,-0.412,0.317,-0.332,0.158,NaN,NaN
119,1895,10,-0.112,1.042,-0.355,0.444,-0.412,0.336,-0.324,0.157,-0.373,0.140
120,1895,11,-0.080,1.058,-0.374,0.428,-0.393,0.344,-0.316,0.156,-0.371,0.139
121,1895,12,-0.004,0.978,-0.410,0.438,-0.366,0.327,-0.311,0.151,-0.373,0.137
122,1896,1,-0.168,0.998,-0.432,0.428,-0.366,0.326,-0.302,0.149,-0.370,0.138
123,1896,2,-0.607,0.902,-0.456,0.443,-0.371,0.325,-0.294,0.149,-0.369,0.138
124,1896,3,-1.324,1.093,-0.492,0.500,-0.375,0.321,-0.287,0.153,-0.370,0.139
125,1896,4,-0.779,1.138,-0.507,0.566,-0.365,0.307,-0.279,0.155,-0.374,0.140
126,1896,5,-0.299,0.660,-0.521,0.564,-0.359,0.289,-0.273,0.159,-0.375,0.140
127,1896,6,-0.688,1.138,-0.571,0.667,-0.353,0.273,-0.267,0.157,-0.379,0.141
128,1896,7,-0.441,0.997,-0.559,0.698,-0.327,0.244,-0.259,0.159,-0.383,0.142
129,1896,8,-0.555,0.898,-0.565,0.711,-0.325,0.240,-0.249,0.161,-0.384,0.143
130,1896,9,-0.846,1.533,-0.527,0.675,-0.313,0.227,-0.241,0.163,-0.387,0.144
131,1896,10,-0.290,1.131,-0.478,0.605,-0.293,0.206,-0.233,0.167,-0.388,0.144
132,1896,11,-0.256,0.713,-0.463,0.554,-0.292,0.208,-0.225,0.168,-0.388,0.144
