,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1873,3,-0.372,0.897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1873,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1873,5,-0.068,1.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1873,6,0.825,1.891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1873,7,0.764,1.408,-0.059,0.639,NaN,NaN,NaN,NaN,NaN,NaN
5,1873,8,0.409,1.108,-0.075,0.602,NaN,NaN,NaN,NaN,NaN,NaN
6,1873,9,0.103,1.726,-0.101,0.640,NaN,NaN,NaN,NaN,NaN,NaN
7,1873,10,-0.572,0.992,-0.060,0.583,NaN,NaN,NaN,NaN,NaN,NaN
8,1873,11,NaN,NaN,-0.105,0.484,NaN,NaN,NaN,NaN,NaN,NaN
9,1873,12,-0.360,0.879,-0.180,0.402,NaN,NaN,NaN,NaN,NaN,NaN
10,1874,1,0.247,0.834,-0.245,0.389,NaN,NaN,NaN,NaN,NaN,NaN
11,1874,2,-0.417,0.726,-0.306,0.386,NaN,NaN,NaN,NaN,NaN,NaN
12,1874,3,-0.688,1.190,-0.328,0.442,NaN,NaN,NaN,NaN,NaN,NaN
13,1874,4,-0.395,0.740,-0.308,0.434,NaN,NaN,NaN,NaN,NaN,NaN
14,1874,5,-0.615,1.485,-0.337,0.459,NaN,NaN,NaN,NaN,NaN,NaN
15,1874,6,NaN,NaN,-0.362,0.442,NaN,NaN,NaN,NaN,NaN,NaN
16,1874,7,-0.015,0.702,-0.467,0.465,NaN,NaN,NaN,NaN,NaN,NaN
17,1874,8,-0.320,0.885,-0.497,0.449,NaN,NaN,NaN,NaN,NaN,NaN
18,1874,9,-0.166,0.603,-0.517,0.482,NaN,NaN,NaN,NaN,NaN,NaN
19,1874,10,-0.333,0.710,-0.535,0.443,NaN,NaN,NaN,NaN,NaN,NaN
20,1874,11,-0.911,0.922,-0.500,0.350,NaN,NaN,NaN,NaN,NaN,NaN
21,1874,12,-0.662,0.858,-0.477,0.325,-0.428,0.272,NaN,NaN,NaN,NaN
22,1875,1,-1.011,0.639,-0.441,0.327,-0.425,0.270,NaN,NaN,NaN,NaN
23,1875,2,-0.774,0.883,-0.401,0.392,-0.415,0.275,NaN,NaN,NaN,NaN
24,1875,3,-0.930,0.668,-0.436,0.439,-0.411,0.277,NaN,NaN,NaN,NaN
25,1875,4,-0.610,0.571,-0.491,0.406,-0.406,0.280,NaN,NaN,NaN,NaN
26,1875,5,-0.201,0.956,-0.545,0.443,-0.389,0.280,NaN,NaN,NaN,NaN
27,1875,6,0.213,1.040,-0.603,0.434,-0.371,0.290,NaN,NaN,NaN,NaN
28,1875,7,0.415,1.111,-0.634,0.357,-0.364,0.298,NaN,NaN,NaN,NaN
29,1875,8,0.161,1.121,-0.692,0.286,-0.358,0.296,NaN,NaN,NaN,NaN
30,1875,9,-0.589,0.865,-0.746,0.292,-0.340,0.289,NaN,NaN,NaN,NaN
31,1875,10,-0.995,0.873,-0.705,0.309,-0.321,0.284,NaN,NaN,NaN,NaN
32,1875,11,-1.560,0.623,-0.757,0.356,-0.328,0.274,NaN,NaN,NaN,NaN
33,1875,12,-1.363,0.843,-0.799,0.403,-0.343,0.260,NaN,NaN,NaN,NaN
34,1876,1,-1.377,1.641,-0.827,0.460,-0.361,0.257,NaN,NaN,NaN,NaN
35,1876,2,-1.475,1.632,-0.871,0.536,-0.379,0.262,NaN,NaN,NaN,NaN
36,1876,3,-1.574,1.962,NaN,NaN,-0.390,0.274,-0.492,0.277,NaN,NaN
37,1876,4,NaN,NaN,NaN,NaN,-0.386,0.272,-0.495,0.279,NaN,NaN
38,1876,5,-0.826,0.878,NaN,NaN,-0.386,0.280,-0.494,0.282,NaN,NaN
39,1876,6,-0.294,0.592,NaN,NaN,-0.395,0.281,-0.503,0.284,NaN,NaN
40,1876,7,NaN,NaN,NaN,NaN,-0.418,0.295,-0.507,0.285,NaN,NaN
41,1876,8,NaN,NaN,NaN,NaN,-0.424,0.290,-0.513,0.283,NaN,NaN
42,1876,9,NaN,NaN,NaN,NaN,-0.434,0.306,-0.513,0.281,NaN,NaN
