,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.883,2.831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,0.218,2.342,-0.481,1.140,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.749,2.195,-0.436,1.170,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.195,1.933,-0.411,1.178,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-0.860,1.917,-0.557,1.244,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.038,2.072,-0.570,1.270,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.463,2.938,-0.521,1.300,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.099,2.594,-0.768,1.261,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.238,2.425,-0.853,1.274,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-1.425,1.981,-0.981,1.308,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-2.897,2.163,-0.992,1.256,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.226,2.924,-1.026,1.273,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.290,3.062,-1.029,1.255,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.749,1.839,-1.006,1.256,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.730,1.896,-1.071,1.242,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.336,1.927,-1.087,1.958,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.995,1.788,-1.087,2.272,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.443,2.116,-1.075,0.795,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.425,1.812,-1.053,0.821,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.377,2.676,-0.743,0.765,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.027,2.189,-0.802,0.762,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.611,9.251,-0.784,0.770,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.902,5.108,-0.759,0.734,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.077,1.748,-0.586,0.678,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.028,2.051,-0.616,0.893,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,0.978,1.817,-0.720,0.792,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.020,2.354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.120,2.654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
