,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.656,2.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.775,2.232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.507,1.499,-0.879,0.692,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.239,1.361,-0.857,0.683,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.654,0.903,-0.780,0.637,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.534,1.853,-0.711,0.840,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.477,1.586,-0.685,0.916,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.190,0.729,-0.660,0.801,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.110,1.950,-0.604,0.673,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.524,1.339,-0.563,0.653,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.754,1.999,-0.506,0.594,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.586,3.968,-0.467,0.715,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.343,2.541,-0.457,0.724,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.484,1.372,-0.411,0.670,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.172,2.279,-0.424,0.720,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.724,1.319,-0.388,0.721,-0.705,0.504,NaN,NaN,NaN,NaN
16,1825,5,0.039,2.118,-0.358,0.801,-0.675,0.506,NaN,NaN,NaN,NaN
17,1825,6,-0.071,1.389,-0.329,0.810,-0.634,0.496,NaN,NaN,NaN,NaN
18,1825,7,-0.357,1.743,-0.293,0.896,-0.642,0.482,NaN,NaN,NaN,NaN
19,1825,8,-0.636,1.743,-0.354,0.919,-0.647,0.473,NaN,NaN,NaN,NaN
20,1825,9,-1.273,1.259,-0.487,0.763,-0.642,0.463,NaN,NaN,NaN,NaN
21,1825,10,-1.088,1.463,-0.584,0.720,-0.629,0.470,NaN,NaN,NaN,NaN
22,1825,11,-0.397,2.850,-0.599,0.739,-0.614,0.473,NaN,NaN,NaN,NaN
23,1825,12,-0.237,1.879,-0.635,0.717,-0.614,0.486,NaN,NaN,NaN,NaN
24,1826,1,0.098,1.647,-0.655,0.604,-0.619,0.489,NaN,NaN,NaN,NaN
25,1826,2,-1.225,1.680,-0.703,0.575,-0.610,0.478,NaN,NaN,NaN,NaN
26,1826,3,-1.422,1.998,-0.724,0.617,-0.607,0.449,NaN,NaN,NaN,NaN
27,1826,4,-0.441,1.539,-0.729,0.588,-0.589,0.446,NaN,NaN,NaN,NaN
28,1826,5,-0.136,1.277,-0.702,0.673,-0.563,0.436,NaN,NaN,NaN,NaN
29,1826,6,-0.506,1.282,-0.644,0.730,-0.553,0.414,NaN,NaN,NaN,NaN
30,1826,7,-0.597,0.991,-0.655,0.875,-0.558,0.394,NaN,NaN,NaN,NaN
31,1826,8,-1.214,0.912,-0.585,0.959,-0.562,0.383,NaN,NaN,NaN,NaN
32,1826,9,-1.521,1.317,-0.462,0.835,-0.558,0.357,NaN,NaN,NaN,NaN
33,1826,10,-1.145,1.526,-0.388,0.884,-0.563,0.346,NaN,NaN,NaN,NaN
34,1826,11,-0.082,1.774,-0.392,0.859,-0.554,0.351,NaN,NaN,NaN,NaN
35,1826,12,0.460,2.058,-0.364,0.857,-0.557,0.352,NaN,NaN,NaN,NaN
36,1827,1,-0.031,2.895,-0.353,0.871,-0.558,0.357,NaN,NaN,NaN,NaN
37,1827,2,-0.384,1.964,-0.358,0.965,-0.555,0.362,NaN,NaN,NaN,NaN
38,1827,3,0.056,1.824,-0.347,0.967,-0.558,0.344,NaN,NaN,NaN,NaN
39,1827,4,0.440,2.013,-0.361,1.011,-0.545,0.348,NaN,NaN,NaN,NaN
40,1827,5,-0.179,1.328,-0.363,0.957,-0.543,0.350,NaN,NaN,NaN,NaN
41,1827,6,NaN,NaN,-0.437,0.845,-0.544,0.346,NaN,NaN,NaN,NaN
42,1827,7,-0.469,1.665,-0.540,0.589,-0.528,0.349,NaN,NaN,NaN,NaN
43,1827,8,-1.277,1.518,-0.623,0.505,-0.505,0.336,NaN,NaN,NaN,NaN
44,1827,9,-1.387,0.926,-0.665,0.655,-0.526,0.330,NaN,NaN,NaN,NaN
45,1827,10,-1.315,1.503,-0.709,0.649,-0.535,0.327,NaN,NaN,NaN,NaN
46,1827,11,-0.106,1.372,-0.707,0.674,-0.560,0.355,NaN,NaN,NaN,NaN
47,1827,12,-0.424,1.824,-0.707,0.827,-0.574,0.362,NaN,NaN,NaN,NaN
48,1828,1,-1.272,2.097,-0.707,0.859,-0.566,0.362,NaN,NaN,NaN,NaN
49,1828,2,-1.374,1.331,-0.647,0.802,-0.568,0.363,NaN,NaN,NaN,NaN
50,1828,3,-0.445,1.624,-0.659,0.731,-0.576,0.368,NaN,NaN,NaN,NaN
51,1828,4,-0.093,2.014,-0.609,0.738,-0.578,0.367,NaN,NaN,NaN,NaN
52,1828,5,-0.154,1.974,-0.610,0.710,-0.552,0.382,NaN,NaN,NaN,NaN
53,1828,6,-0.172,1.799,-0.645,0.664,-0.534,0.382,NaN,NaN,NaN,NaN
54,1828,7,-0.466,1.317,-0.617,0.622,NaN,NaN,NaN,NaN,NaN,NaN
55,1828,8,-0.559,0.800,-0.590,0.618,NaN,NaN,NaN,NaN,NaN,NaN
56,1828,9,-1.532,1.725,-0.572,0.646,NaN,NaN,NaN,NaN,NaN,NaN
57,1828,10,NaN,NaN,-0.571,0.742,NaN,NaN,NaN,NaN,NaN,NaN
58,1828,11,-0.113,1.335,-0.567,0.780,NaN,NaN,NaN,NaN,NaN,NaN
59,1828,12,-0.846,2.840,-0.610,0.812,NaN,NaN,NaN,NaN,NaN,NaN
60,1829,1,-0.933,1.381,-0.618,0.751,NaN,NaN,NaN,NaN,NaN,NaN
61,1829,2,-1.045,1.323,-0.655,0.679,NaN,NaN,NaN,NaN,NaN,NaN
62,1829,3,-0.229,1.106,-0.634,0.645,NaN,NaN,NaN,NaN,NaN,NaN
63,1829,4,-0.085,1.729,-0.639,0.637,NaN,NaN,NaN,NaN,NaN,NaN
64,1829,5,-0.102,1.344,-0.680,0.575,NaN,NaN,NaN,NaN,NaN,NaN
65,1829,6,-0.692,0.943,-0.665,0.560,NaN,NaN,NaN,NaN,NaN,NaN
66,1829,7,-0.558,1.060,-0.536,0.524,NaN,NaN,NaN,NaN,NaN,NaN
67,1829,8,-1.003,0.996,-0.375,0.524,NaN,NaN,NaN,NaN,NaN,NaN
68,1829,9,-1.284,0.899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1829,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1829,11,-0.616,1.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1829,12,-0.655,2.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1830,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1830,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1830,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1830,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1830,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1830,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1830,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1830,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1830,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1830,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1830,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1830,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1831,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1831,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1831,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1831,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1831,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1831,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1831,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1831,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1831,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1831,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,1831,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,1831,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,1832,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,1832,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,1832,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,1832,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,1832,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,1832,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,1832,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,1832,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,1832,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,1832,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,1832,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,1832,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,1833,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,1833,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,1833,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111,1833,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112,1833,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113,1833,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114,1833,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115,1833,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116,1833,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,1833,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118,1833,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119,1833,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120,1834,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121,1834,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122,1834,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123,1834,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
124,1834,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125,1834,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126,1834,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127,1834,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128,1834,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1834,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,1834,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131,1834,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132,1835,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133,1835,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134,1835,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135,1835,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136,1835,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137,1835,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138,1835,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139,1835,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140,1835,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
141,1835,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142,1835,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
143,1835,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144,1836,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145,1836,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146,1836,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147,1836,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
