,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-2.301,2.577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-0.697,2.169,-0.716,1.065,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.654,2.039,-0.672,1.095,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.149,1.792,-0.597,1.105,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.351,1.758,-0.729,1.182,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.160,1.939,-0.704,1.205,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.146,2.828,-0.671,1.244,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.353,2.533,-0.847,1.195,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.302,2.297,-0.920,1.200,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.841,1.755,-1.076,1.233,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-2.831,1.963,-1.053,1.176,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.582,2.785,-1.107,1.193,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.908,2.878,-1.067,1.166,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.816,1.571,-1.024,1.170,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.785,1.702,-1.047,1.155,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.722,1.742,-1.088,1.890,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.083,1.554,-1.120,2.204,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.481,1.973,-1.131,0.736,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.623,1.611,-1.085,0.771,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.871,2.618,-0.751,0.705,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.578,2.042,-0.817,0.698,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.337,9.220,-0.784,0.706,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.214,4.958,-0.760,0.664,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.713,1.589,-0.557,0.602,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.359,1.966,-0.607,0.867,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.199,1.594,-0.770,0.749,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,-0.005,2.270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.331,2.527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.797,1.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.957,1.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.027,1.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-1.092,1.497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.650,2.407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.381,3.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.540,1.439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-3.323,5.143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.652,6.844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,0.522,4.092,-0.362,1.251,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,-0.206,5.445,-0.350,1.170,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,-0.068,2.287,-0.493,1.069,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,2.690,4.338,-0.432,0.867,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,1.049,2.012,-0.373,0.821,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-0.798,4.091,-0.561,0.845,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,0.008,1.750,-0.925,0.850,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.498,3.305,-0.943,0.899,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-2.102,3.661,-0.898,1.042,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-0.806,8.081,-1.041,0.972,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-2.611,6.203,-1.189,1.127,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-3.915,7.808,-1.064,1.232,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-3.847,3.319,-1.107,1.404,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,-0.421,2.919,-0.991,1.508,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.471,7.486,-0.722,1.749,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,0.975,5.977,-0.717,1.441,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,-0.724,2.534,-0.991,1.499,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,0.704,2.165,-1.001,1.364,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-0.506,2.862,-0.725,1.309,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,0.888,2.176,-0.331,1.695,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,1.124,2.775,-0.383,1.359,NaN,NaN,NaN,NaN,NaN,NaN
59,1754,12,-0.738,2.050,-0.232,1.452,NaN,NaN,NaN,NaN,NaN,NaN
60,1755,1,-5.899,5.561,-0.257,1.580,NaN,NaN,NaN,NaN,NaN,NaN
61,1755,2,-4.033,5.284,-0.436,1.608,NaN,NaN,NaN,NaN,NaN,NaN
62,1755,3,-0.538,3.437,-0.495,1.789,-0.592,1.081,NaN,NaN,NaN,NaN
63,1755,4,4.301,3.992,-0.667,2.078,-0.633,1.104,NaN,NaN,NaN,NaN
64,1755,5,-0.150,4.063,-0.887,2.313,-0.667,1.086,NaN,NaN,NaN,NaN
65,1755,6,2.784,8.327,-0.883,1.913,-0.684,1.311,NaN,NaN,NaN,NaN
66,1755,7,-1.026,4.014,-0.426,1.604,-0.693,1.188,NaN,NaN,NaN,NaN
