,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-0.872,3.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,2.658,2.686,0.194,1.283,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.680,2.126,0.248,1.322,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.484,1.545,0.177,1.334,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-0.054,1.864,-0.022,1.427,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.037,1.936,-0.141,1.449,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,1.256,3.398,-0.106,1.504,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,-0.179,2.509,-0.570,1.467,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,0.202,2.322,-0.698,1.499,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-2.498,1.899,-0.806,1.555,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.665,2.233,-0.880,1.492,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-1.664,3.113,-0.902,1.519,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.448,3.411,-1.005,1.494,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.922,1.769,-1.003,1.495,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.152,1.829,-1.128,1.474,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-0.811,1.717,-1.051,2.296,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.949,1.668,-0.960,2.640,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.293,2.388,-0.897,0.838,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.013,1.716,-0.867,0.873,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,-0.157,2.881,-0.605,0.773,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.293,2.095,-0.673,0.766,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.575,10.612,-0.655,0.792,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.578,5.735,-0.653,0.758,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-0.902,1.388,-0.522,0.662,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-0.089,1.899,-0.493,0.881,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,0.225,1.414,-0.499,0.745,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.327,2.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-0.594,2.779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.925,1.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.287,1.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.361,1.276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.234,1.215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.744,2.697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,0.188,3.530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,0.196,1.230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-2.679,5.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-0.091,6.923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.349,4.177,-0.132,1.566,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.433,5.476,-0.087,1.496,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.036,2.168,-0.259,1.365,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,0.978,5.137,-0.386,0.995,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.085,1.720,-0.207,0.868,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-1.268,4.300,-0.311,0.866,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.065,2.053,-0.694,0.957,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.200,3.804,-0.787,0.979,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.886,3.500,-0.701,1.088,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-1.323,9.365,-0.803,1.039,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-0.530,6.343,-0.916,1.199,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-1.338,7.812,-0.835,1.278,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-3.251,3.349,-0.906,1.455,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,-0.679,4.146,-0.878,1.620,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,1.064,7.658,-0.738,1.911,NaN,NaN,NaN,NaN,NaN,NaN
