,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.260,1.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.784,1.939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.292,1.609,-0.760,0.667,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.205,1.113,-0.729,0.646,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.356,0.753,-0.642,0.605,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.470,1.617,-0.556,0.724,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.290,1.496,-0.544,0.778,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.121,0.681,-0.495,0.679,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.035,1.949,-0.470,0.572,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.388,1.269,-0.451,0.587,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.512,1.662,-0.422,0.518,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.374,3.374,-0.406,0.616,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.106,2.221,-0.418,0.619,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.206,1.683,-0.399,0.598,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.013,2.216,-0.412,0.632,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.436,1.402,-0.392,0.650,-0.633,0.492,NaN,NaN,NaN,NaN
16,1825,5,-0.006,1.735,-0.377,0.726,-0.609,0.494,NaN,NaN,NaN,NaN
17,1825,6,-0.283,1.308,-0.386,0.729,-0.572,0.486,NaN,NaN,NaN,NaN
18,1825,7,-0.436,1.340,-0.399,0.760,-0.579,0.479,NaN,NaN,NaN,NaN
19,1825,8,-0.892,1.104,-0.464,0.779,-0.577,0.472,NaN,NaN,NaN,NaN
20,1825,9,-1.185,1.184,-0.551,0.685,-0.572,0.459,NaN,NaN,NaN,NaN
21,1825,10,-1.151,1.432,-0.610,0.666,-0.559,0.465,NaN,NaN,NaN,NaN
22,1825,11,-0.336,2.649,-0.629,0.698,-0.547,0.470,NaN,NaN,NaN,NaN
23,1825,12,-0.480,1.419,-0.664,0.663,-0.546,0.479,NaN,NaN,NaN,NaN
24,1826,1,-0.265,1.235,-0.663,0.571,-0.549,0.480,NaN,NaN,NaN,NaN
25,1826,2,-0.977,2.050,-0.682,0.563,-0.536,0.468,NaN,NaN,NaN,NaN
26,1826,3,-1.031,2.480,-0.676,0.630,-0.532,0.441,NaN,NaN,NaN,NaN
27,1826,4,-0.283,1.500,-0.665,0.603,-0.515,0.437,NaN,NaN,NaN,NaN
28,1826,5,-0.234,1.289,-0.654,0.726,-0.493,0.434,NaN,NaN,NaN,NaN
29,1826,6,-0.698,1.295,-0.568,0.770,-0.481,0.418,NaN,NaN,NaN,NaN
30,1826,7,-0.428,0.976,-0.545,0.848,-0.494,0.402,NaN,NaN,NaN,NaN
31,1826,8,-1.118,0.799,-0.471,0.826,-0.497,0.396,NaN,NaN,NaN,NaN
32,1826,9,-1.110,1.409,-0.370,0.664,-0.499,0.372,NaN,NaN,NaN,NaN
33,1826,10,-1.013,1.416,-0.313,0.719,-0.505,0.365,NaN,NaN,NaN,NaN
34,1826,11,-0.211,1.871,-0.283,0.686,-0.503,0.374,NaN,NaN,NaN,NaN
35,1826,12,0.555,1.695,-0.248,0.697,-0.509,0.373,NaN,NaN,NaN,NaN
36,1827,1,0.006,2.379,-0.224,0.685,-0.511,0.375,NaN,NaN,NaN,NaN
37,1827,2,-0.083,1.565,-0.215,0.743,-0.504,0.382,NaN,NaN,NaN,NaN
38,1827,3,0.175,1.575,-0.224,0.739,-0.505,0.364,NaN,NaN,NaN,NaN
39,1827,4,0.407,1.979,-0.225,0.770,-0.495,0.369,NaN,NaN,NaN,NaN
40,1827,5,0.123,1.289,-0.220,0.759,-0.498,0.371,NaN,NaN,NaN,NaN
41,1827,6,NaN,NaN,-0.306,0.691,-0.509,0.373,NaN,NaN,NaN,NaN
42,1827,7,-0.144,1.553,-0.397,0.521,-0.493,0.375,NaN,NaN,NaN,NaN
43,1827,8,-1.003,1.219,-0.477,0.509,-0.474,0.362,NaN,NaN,NaN,NaN
44,1827,9,-1.226,0.812,-0.528,0.642,-0.491,0.352,NaN,NaN,NaN,NaN
45,1827,10,-1.022,1.463,-0.575,0.630,-0.499,0.345,NaN,NaN,NaN,NaN
46,1827,11,-0.154,1.438,-0.601,0.658,-0.518,0.365,NaN,NaN,NaN,NaN
47,1827,12,-0.473,1.575,-0.605,0.790,-0.527,0.367,NaN,NaN,NaN,NaN
48,1828,1,-1.082,1.950,-0.626,0.816,-0.516,0.360,NaN,NaN,NaN,NaN
49,1828,2,-1.049,1.424,-0.577,0.770,-0.513,0.362,NaN,NaN,NaN,NaN
50,1828,3,-0.433,1.476,-0.590,0.703,-0.522,0.369,NaN,NaN,NaN,NaN
51,1828,4,-0.162,1.939,-0.566,0.698,-0.523,0.370,NaN,NaN,NaN,NaN
52,1828,5,-0.184,1.682,-0.570,0.669,-0.497,0.388,NaN,NaN,NaN,NaN
53,1828,6,-0.330,1.683,-0.588,0.671,-0.475,0.389,NaN,NaN,NaN,NaN
54,1828,7,-0.390,1.287,-0.586,0.640,NaN,NaN,NaN,NaN,NaN,NaN
55,1828,8,-0.421,0.909,-0.577,0.622,NaN,NaN,NaN,NaN,NaN,NaN
56,1828,9,-1.385,1.696,-0.578,0.631,NaN,NaN,NaN,NaN,NaN,NaN
57,1828,10,NaN,NaN,-0.577,0.701,NaN,NaN,NaN,NaN,NaN,NaN
58,1828,11,-0.200,1.326,-0.581,0.717,NaN,NaN,NaN,NaN,NaN,NaN
59,1828,12,-0.700,2.634,-0.623,0.731,NaN,NaN,NaN,NaN,NaN,NaN
60,1829,1,-1.050,1.416,-0.621,0.671,NaN,NaN,NaN,NaN,NaN,NaN
61,1829,2,-0.939,1.255,-0.645,0.610,NaN,NaN,NaN,NaN,NaN,NaN
62,1829,3,-0.444,1.043,-0.620,0.592,NaN,NaN,NaN,NaN,NaN,NaN
63,1829,4,-0.160,1.567,-0.629,0.587,NaN,NaN,NaN,NaN,NaN,NaN
64,1829,5,-0.221,1.449,-0.671,0.517,NaN,NaN,NaN,NaN,NaN,NaN
65,1829,6,-0.841,0.882,-0.694,0.486,NaN,NaN,NaN,NaN,NaN,NaN
66,1829,7,-0.368,1.078,-0.539,0.442,NaN,NaN,NaN,NaN,NaN,NaN
67,1829,8,-0.705,1.174,-0.384,0.479,NaN,NaN,NaN,NaN,NaN,NaN
68,1829,9,-1.090,0.930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1829,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1829,11,-0.699,1.327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
