,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-0.518,2.917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,1.765,2.256,-0.181,1.210,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.823,2.177,-0.153,1.241,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.118,1.820,-0.229,1.256,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-0.559,1.715,-0.484,1.303,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.596,1.809,-0.568,1.338,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.671,2.668,-0.568,1.347,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,-0.115,2.328,-0.939,1.326,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.274,2.235,-1.024,1.348,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-2.932,2.007,-1.118,1.375,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.886,2.134,-1.164,1.336,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.308,2.806,-1.189,1.345,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.518,3.001,-1.236,1.346,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.689,1.891,-1.263,1.348,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.800,1.829,-1.371,1.345,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.012,1.808,-1.315,2.013,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.108,1.723,-1.199,2.316,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.892,1.854,-1.112,0.792,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.101,1.704,-1.154,0.822,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,-0.436,2.385,-0.842,0.786,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.573,2.093,-0.882,0.785,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-2.255,8.862,-0.894,0.791,NaN,NaN,NaN,NaN,NaN,NaN
