Regions Not In Countries,Country Not In Region
Antigua and Barb.,Antigua and Barbuda
Bosnia and Herz.,Bosnia and Herzegovina
British Virgin Is.,British Virgin Islands
Cabo Verde,Cape Verde
Cayman Is.,Cayman Islands
Central African Rep.,Central African Republic
Czechia,Czech Republic
Dem. Rep. Congo,Congo (Democratic Republic of the)
Dominican Rep.,Dominican Republic
Eq. Guinea,Equatorial Guinea
Faeroe Is.,Faroe Islands
Falkland Is.,Falkland Islands (Islas Malvinas)
Fr. Polynesia,French Polynesia
Fr. S. Antarctic Lands,French Southern and Antarctic Lands
Heard I. and McDonald Is.,Heard Island and McDonald Islands
Micronesia,Federated States of Micronesia
Macao,Macau
N. Mariana Is.,Northern Mariana Islands
Palestine,Palestina
S. Geo. and the Is,South Georgia and the South Sandwich Isla
Solomon Is.,Solomon Islands
St. Pierre and Miquelon,Saint Pierre and Miquelon
St-Barthélemy,Saint Barthélemy
St. Kitts and Nevis,Saint Kitts and Nevis
St-Martin,Saint Martin
St. Vin. and Gren.,Saint Vincent and the Grenadines
São Tomé and Principe,Sao Tome and Principe
Turks and Caicos Is.,Turks and Caicas Islands
U.S. Virgin Is.,Virgin Islands
W. Sahara,Western Sahara
Netherlands,Netherlands (Europe)
Denmark,Denmark (Europe)
France,France (Europe)
United Kingdom,United Kingdom (Europe)
Myanmar,Burma
eSwatini,Swaziland
United States of America,United States
