,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1840,1,-0.133,1.427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1840,2,-0.665,0.884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1840,3,-0.975,2.237,-0.788,0.651,NaN,NaN,NaN,NaN,NaN,NaN
3,1840,4,-1.163,1.306,-0.819,0.608,NaN,NaN,NaN,NaN,NaN,NaN
4,1840,5,-0.347,1.282,-0.730,0.606,NaN,NaN,NaN,NaN,NaN,NaN
5,1840,6,-0.516,1.168,-0.705,0.566,NaN,NaN,NaN,NaN,NaN,NaN
6,1840,7,-0.040,1.293,-0.743,0.588,NaN,NaN,NaN,NaN,NaN,NaN
7,1840,8,-0.583,1.438,-0.723,0.643,NaN,NaN,NaN,NaN,NaN,NaN
8,1840,9,-0.554,1.163,-0.712,0.635,NaN,NaN,NaN,NaN,NaN,NaN
9,1840,10,-1.278,1.071,-0.669,0.763,NaN,NaN,NaN,NaN,NaN,NaN
10,1840,11,-0.785,1.939,-0.675,0.783,NaN,NaN,NaN,NaN,NaN,NaN
11,1840,12,-1.420,1.218,-0.638,0.877,NaN,NaN,NaN,NaN,NaN,NaN
12,1841,1,-0.589,1.654,-0.601,0.951,NaN,NaN,NaN,NaN,NaN,NaN
13,1841,2,-0.428,1.822,-0.513,0.986,NaN,NaN,NaN,NaN,NaN,NaN
14,1841,3,-0.846,2.679,-0.509,1.012,-0.572,0.440,NaN,NaN,NaN,NaN
15,1841,4,-0.647,2.539,-0.391,1.053,-0.576,0.435,NaN,NaN,NaN,NaN
16,1841,5,-0.410,1.011,-0.365,1.141,-0.577,0.445,NaN,NaN,NaN,NaN
17,1841,6,-0.073,1.156,-0.247,1.276,-0.575,0.434,NaN,NaN,NaN,NaN
18,1841,7,0.400,1.101,-0.190,1.295,-0.591,0.423,NaN,NaN,NaN,NaN
19,1841,8,0.471,1.749,-0.121,1.367,-0.614,0.429,NaN,NaN,NaN,NaN
20,1841,9,-0.501,1.305,-0.062,1.129,-0.572,0.425,NaN,NaN,NaN,NaN
21,1841,10,0.131,1.536,-0.065,0.951,-0.576,0.428,NaN,NaN,NaN,NaN
22,1841,11,-0.469,2.184,-0.101,0.896,-0.574,0.432,NaN,NaN,NaN,NaN
23,1841,12,-0.008,2.414,-0.145,0.907,-0.576,0.431,NaN,NaN,NaN,NaN
24,1842,1,0.096,2.137,-0.246,0.874,-0.588,0.425,NaN,NaN,NaN,NaN
25,1842,2,0.408,1.735,-0.330,0.808,-0.607,0.414,NaN,NaN,NaN,NaN
26,1842,3,-0.148,1.185,-0.356,0.780,-0.613,0.409,NaN,NaN,NaN,NaN
27,1842,4,-0.681,1.301,-0.467,0.691,-0.619,0.402,NaN,NaN,NaN,NaN
28,1842,5,-0.835,0.998,-0.538,0.583,-0.623,0.396,NaN,NaN,NaN,NaN
29,1842,6,-0.604,1.599,-0.559,0.502,-0.616,0.404,NaN,NaN,NaN,NaN
30,1842,7,-0.812,1.172,-0.546,0.524,-0.631,0.392,NaN,NaN,NaN,NaN
31,1842,8,-0.539,1.049,-0.581,0.624,-0.631,0.424,-0.790,0.338,NaN,NaN
32,1842,9,-0.816,1.068,-0.620,0.626,-0.635,0.406,-0.790,0.339,NaN,NaN
33,1842,10,-1.194,0.977,-0.621,0.587,-0.650,0.391,-0.791,0.341,NaN,NaN
34,1842,11,-1.328,1.201,-0.610,0.563,-0.666,0.379,-0.785,0.340,NaN,NaN
35,1842,12,-0.252,1.381,-0.584,0.499,-0.674,0.378,-0.789,0.341,NaN,NaN
36,1843,1,0.244,1.168,-0.555,0.464,-0.678,0.384,-0.783,0.342,NaN,NaN
37,1843,2,-0.001,1.968,-0.544,0.451,-0.686,0.365,-0.768,0.344,NaN,NaN
38,1843,3,-0.616,1.147,-0.540,0.451,-0.691,0.362,-0.760,0.340,NaN,NaN
39,1843,4,-0.703,1.138,-0.508,0.445,-0.705,0.338,-0.760,0.335,NaN,NaN
40,1843,5,-0.694,1.715,-0.465,0.438,-0.724,0.329,-0.755,0.332,NaN,NaN
41,1843,6,-0.293,1.538,-0.503,0.419,-0.726,0.337,-0.754,0.332,NaN,NaN
42,1843,7,-0.470,0.887,-0.616,0.429,-0.712,0.344,-0.754,0.333,NaN,NaN
43,1843,8,-0.411,1.078,-0.704,0.450,-0.716,0.326,-0.758,0.331,NaN,NaN
44,1843,9,-0.758,0.942,-0.656,0.489,-0.702,0.319,-0.760,0.327,NaN,NaN
45,1843,10,-0.813,1.100,-0.680,0.526,-0.705,0.313,-0.762,0.327,NaN,NaN
46,1843,11,-0.807,1.376,-0.684,0.528,-0.707,0.316,-0.765,0.328,NaN,NaN
47,1843,12,-0.718,2.386,-0.718,0.494,-0.712,0.320,-0.771,0.330,NaN,NaN
48,1844,1,-1.108,1.882,-0.748,0.482,-0.723,0.328,-0.777,0.327,NaN,NaN
49,1844,2,-1.055,1.132,-0.821,0.475,-0.737,0.337,-0.788,0.327,NaN,NaN
50,1844,3,-0.046,1.678,-0.874,0.486,-0.744,0.344,-0.768,0.326,NaN,NaN
51,1844,4,-0.982,1.197,-0.910,0.519,-0.767,0.367,-0.773,0.325,NaN,NaN
52,1844,5,-0.750,1.467,-1.017,0.540,-0.789,0.400,-0.776,0.324,NaN,NaN
53,1844,6,-0.702,0.884,-1.065,0.435,-0.803,0.413,-0.776,0.325,NaN,NaN
54,1844,7,-0.827,0.987,-1.060,0.451,-0.817,0.443,-0.776,0.326,NaN,NaN
55,1844,8,-1.281,1.101,-1.029,0.478,-0.834,0.468,-0.779,0.325,NaN,NaN
56,1844,9,-1.397,1.094,-1.124,0.492,-0.855,0.458,-0.778,0.324,NaN,NaN
57,1844,10,-1.243,1.361,-1.214,0.597,-0.866,0.467,-0.775,0.319,NaN,NaN
58,1844,11,-2.093,1.137,-1.260,0.675,-0.874,0.471,-0.763,0.322,NaN,NaN
59,1844,12,-1.291,1.619,-1.287,0.700,-0.878,0.478,-0.765,0.318,NaN,NaN
60,1845,1,-1.052,2.342,-1.239,0.676,-0.871,0.481,-0.776,0.312,NaN,NaN
61,1845,2,-0.680,2.405,-1.223,0.728,-0.878,0.491,-0.775,0.317,NaN,NaN
62,1845,3,-1.196,1.031,-1.177,0.710,-0.882,0.511,-0.773,0.321,NaN,NaN
63,1845,4,-2.059,2.404,-1.249,0.693,-0.888,0.530,-0.772,0.318,NaN,NaN
64,1845,5,-1.294,1.199,-1.235,0.761,-0.882,0.532,NaN,NaN,NaN,NaN
65,1845,6,-1.031,1.149,-1.255,0.783,-0.901,0.507,NaN,NaN,NaN,NaN
66,1845,7,NaN,NaN,-1.147,0.807,-0.938,0.508,NaN,NaN,NaN,NaN
