,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1879,1,-1.178,1.203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1879,2,-0.974,1.490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1879,3,-1.127,1.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1879,4,-1.052,1.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1879,5,-0.109,0.953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1879,6,-0.325,1.072,-0.777,0.666,NaN,NaN,NaN,NaN,NaN,NaN
6,1879,7,-0.785,1.280,-0.848,0.704,NaN,NaN,NaN,NaN,NaN,NaN
7,1879,8,NaN,NaN,-0.928,0.670,NaN,NaN,NaN,NaN,NaN,NaN
8,1879,9,NaN,NaN,-0.977,0.621,NaN,NaN,NaN,NaN,NaN,NaN
9,1879,10,NaN,NaN,-1.034,0.634,NaN,NaN,NaN,NaN,NaN,NaN
10,1879,11,-1.069,1.156,-1.050,0.642,NaN,NaN,NaN,NaN,NaN,NaN
11,1879,12,-1.705,0.986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1880,1,-2.026,1.575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1880,2,-1.935,1.231,-1.020,0.618,NaN,NaN,NaN,NaN,NaN,NaN
14,1880,3,-1.723,1.284,-1.062,0.641,NaN,NaN,NaN,NaN,NaN,NaN
15,1880,4,-1.738,1.317,-1.071,0.603,NaN,NaN,NaN,NaN,NaN,NaN
16,1880,5,-0.294,1.653,-1.007,0.588,NaN,NaN,NaN,NaN,NaN,NaN
17,1880,6,NaN,NaN,-0.935,0.573,NaN,NaN,NaN,NaN,NaN,NaN
18,1880,7,0.019,1.038,-0.839,0.576,-0.585,0.311,NaN,NaN,NaN,NaN
19,1880,8,-0.548,0.991,-0.737,0.573,-0.589,0.288,NaN,NaN,NaN,NaN
20,1880,9,-0.986,0.920,-0.688,0.575,-0.607,0.273,NaN,NaN,NaN,NaN
21,1880,10,-0.344,1.339,-0.666,0.569,-0.619,0.269,NaN,NaN,NaN,NaN
22,1880,11,-0.299,0.945,-0.710,0.527,-0.619,0.265,NaN,NaN,NaN,NaN
23,1880,12,-0.843,0.922,-0.765,0.552,-0.628,0.261,NaN,NaN,NaN,NaN
24,1881,1,-0.869,1.283,-0.900,0.607,-0.637,0.252,NaN,NaN,NaN,NaN
25,1881,2,-0.715,0.895,-0.890,0.634,-0.657,0.247,NaN,NaN,NaN,NaN
26,1881,3,-1.133,1.175,-0.820,0.660,-0.653,0.245,NaN,NaN,NaN,NaN
27,1881,4,-1.477,1.314,-0.779,0.626,-0.647,0.247,NaN,NaN,NaN,NaN
28,1881,5,-0.819,1.084,-0.794,0.583,-0.657,0.245,NaN,NaN,NaN,NaN
29,1881,6,-1.162,1.486,-0.720,0.569,-0.653,0.245,NaN,NaN,NaN,NaN
30,1881,7,-1.603,1.455,-0.609,0.510,-0.645,0.246,NaN,NaN,NaN,NaN
31,1881,8,-0.428,1.395,-0.489,0.478,-0.633,0.244,NaN,NaN,NaN,NaN
32,1881,9,-0.148,1.189,-0.460,0.418,-0.636,0.245,NaN,NaN,NaN,NaN
33,1881,10,0.143,1.278,-0.393,0.397,-0.633,0.243,-0.439,0.203,NaN,NaN
34,1881,11,-0.470,1.340,-0.360,0.373,-0.636,0.244,-0.439,0.202,NaN,NaN
35,1881,12,0.039,2.002,-0.312,0.366,-0.639,0.242,-0.432,0.199,NaN,NaN
36,1882,1,0.466,1.026,-0.231,0.379,-0.650,0.238,-0.438,0.195,NaN,NaN
37,1882,2,0.721,1.479,-0.207,0.372,-0.647,0.237,-0.438,0.190,NaN,NaN
38,1882,3,-0.783,1.493,-0.231,0.358,-0.655,0.232,-0.445,0.186,NaN,NaN
39,1882,4,-0.679,1.165,-0.335,0.352,-0.661,0.237,-0.438,0.192,NaN,NaN
40,1882,5,-0.412,0.970,-0.322,0.382,-0.658,0.238,-0.432,0.197,NaN,NaN
41,1882,6,-0.590,0.778,-0.387,0.494,-0.631,0.234,-0.437,0.197,NaN,NaN
42,1882,7,-0.629,1.020,-0.519,0.573,-0.608,0.246,-0.455,0.185,NaN,NaN
43,1882,8,-0.142,1.139,-0.581,0.664,-0.575,0.248,-0.466,0.181,NaN,NaN
44,1882,9,-0.436,0.773,-0.561,0.614,-0.559,0.247,-0.465,0.177,NaN,NaN
45,1882,10,-1.109,0.791,-0.524,0.564,-0.545,0.248,-0.471,0.177,NaN,NaN
46,1882,11,-0.314,1.197,-0.493,0.548,-0.541,0.234,-0.469,0.172,NaN,NaN
47,1882,12,-0.731,1.212,-0.449,0.525,-0.528,0.235,-0.470,0.169,NaN,NaN
48,1883,1,-1.128,1.194,-0.430,0.508,-0.517,0.242,-0.468,0.166,NaN,NaN
49,1883,2,-0.018,1.277,-0.510,0.495,-0.505,0.246,-0.470,0.162,NaN,NaN
50,1883,3,-0.538,0.990,-0.511,0.460,-0.490,0.257,-0.477,0.159,NaN,NaN
51,1883,4,-0.239,0.820,-0.445,0.443,-0.487,0.251,-0.487,0.158,NaN,NaN
52,1883,5,-0.037,0.761,-0.450,0.409,-0.489,0.249,-0.499,0.151,NaN,NaN
53,1883,6,-0.071,0.778,-0.445,0.365,-0.482,0.244,-0.509,0.147,NaN,NaN
54,1883,7,-0.401,0.854,-0.413,0.350,-0.478,0.242,-0.524,0.145,NaN,NaN
55,1883,8,-1.093,1.032,-0.432,0.333,-0.463,0.246,-0.526,0.146,NaN,NaN
56,1883,9,-0.457,1.089,-0.497,0.322,-0.453,0.257,-0.524,0.149,NaN,NaN
57,1883,10,-0.315,0.826,-0.547,0.329,-0.435,0.265,-0.519,0.150,NaN,NaN
58,1883,11,-0.375,0.833,-0.568,0.336,-0.402,0.261,-0.528,0.150,NaN,NaN
59,1883,12,-0.672,0.984,-0.602,0.333,-0.363,0.262,-0.525,0.151,NaN,NaN
60,1884,1,-0.735,1.090,-0.691,0.325,-0.328,0.265,-0.521,0.151,NaN,NaN
61,1884,2,-0.251,0.844,-0.609,0.328,-0.317,0.266,-0.510,0.155,NaN,NaN
62,1884,3,-1.313,0.777,-0.649,0.353,-0.314,0.263,-0.502,0.160,NaN,NaN
63,1884,4,-0.841,1.059,-0.675,0.368,-0.328,0.267,-0.493,0.162,NaN,NaN
64,1884,5,-0.292,0.926,-0.718,0.354,-0.328,0.270,-0.488,0.163,-0.469,0.142
65,1884,6,-0.486,1.323,-0.667,0.359,-0.343,0.273,-0.481,0.165,-0.469,0.141
66,1884,7,-1.465,1.094,-0.659,0.380,-0.370,0.282,-0.467,0.171,-0.467,0.139
67,1884,8,-0.103,0.887,-0.638,0.385,-0.389,0.294,-0.459,0.172,-0.468,0.140
68,1884,9,-0.944,1.007,-0.592,0.397,-0.392,0.280,-0.457,0.172,-0.471,0.139
69,1884,10,-0.622,0.728,-0.593,0.390,-0.369,0.274,-0.454,0.177,-0.471,0.138
70,1884,11,-0.894,0.874,-0.577,0.443,-0.353,0.280,-0.450,0.181,-0.471,0.139
71,1884,12,-0.053,0.872,-0.513,0.514,-0.349,0.284,-0.442,0.179,-0.474,0.139
72,1885,1,-0.645,1.216,-0.334,0.554,-0.366,0.277,-0.434,0.187,-0.475,0.140
73,1885,2,0.007,0.908,-0.312,0.579,-0.378,0.280,-0.426,0.190,-0.476,0.141
74,1885,3,-0.773,0.894,-0.238,0.568,-0.369,0.284,-0.420,0.193,-0.473,0.142
75,1885,4,-0.845,0.991,-0.200,0.564,-0.357,0.286,-0.413,0.194,-0.473,0.141
76,1885,5,-0.103,1.712,-0.162,0.546,-0.348,0.292,-0.421,0.193,-0.471,0.142
77,1885,6,0.281,1.307,-0.190,0.489,-0.357,0.286,-0.421,0.196,-0.472,0.141
78,1885,7,0.692,1.230,-0.191,0.462,-0.350,0.285,-0.437,0.196,-0.472,0.140
79,1885,8,0.151,0.943,-0.175,0.474,-0.350,0.282,-0.439,0.200,-0.470,0.139
80,1885,9,-0.051,0.963,-0.155,0.500,-0.348,0.289,-0.433,0.200,-0.469,0.137
81,1885,10,-0.173,0.820,-0.118,0.481,-0.355,0.284,-0.438,0.196,-0.466,0.136
82,1885,11,-0.433,0.895,-0.015,0.378,-0.379,0.275,-0.443,0.199,-0.461,0.142
83,1885,12,-0.386,1.260,0.063,0.360,-0.390,0.275,-0.445,0.202,-0.461,0.143
84,1886,1,-0.655,1.149,0.044,0.396,-0.411,0.282,-0.448,0.202,-0.461,0.148
85,1886,2,0.190,1.177,0.054,0.442,-0.396,0.285,-0.454,0.200,-0.459,0.145
86,1886,3,-0.530,0.995,0.057,0.459,-0.395,0.292,-0.451,0.205,-0.455,0.145
87,1886,4,-0.396,1.273,0.014,0.492,-0.391,0.290,-0.430,0.205,-0.457,0.144
88,1886,5,1.135,1.584,0.010,0.489,-0.399,0.285,-0.430,0.208,-0.454,0.140
89,1886,6,1.208,1.267,-0.029,0.465,-0.397,0.286,-0.430,0.210,-0.454,0.138
90,1886,7,0.470,1.938,-0.070,0.476,-0.396,0.283,-0.403,0.210,-0.453,0.137
91,1886,8,0.266,1.268,-0.117,0.492,-0.387,0.283,-0.398,0.208,-0.449,0.137
92,1886,9,-0.007,0.815,-0.154,0.471,-0.368,0.286,-0.404,0.203,-0.446,0.136
93,1886,10,-0.699,0.968,-0.065,0.716,-0.354,0.274,-0.410,0.207,-0.442,0.135
94,1886,11,-0.471,0.866,-0.112,0.758,-0.339,0.265,-0.409,0.210,-0.441,0.136
95,1886,12,-0.861,1.062,-0.241,0.692,-0.323,0.268,-0.420,0.215,-0.434,0.137
96,1887,1,-1.145,1.068,-0.418,0.430,-0.284,0.270,-0.430,0.215,-0.436,0.136
97,1887,2,-0.374,1.127,-0.513,0.396,-0.270,0.272,-0.441,0.214,-0.435,0.134
98,1887,3,-0.971,1.175,-0.502,0.416,-0.259,0.271,-0.441,0.205,-0.438,0.134
99,1887,4,0.674,2.457,-0.480,0.435,-0.247,0.279,-0.445,0.195,-0.435,0.135
100,1887,5,0.567,2.053,-0.420,0.493,-0.242,0.285,-0.449,0.191,-0.432,0.133
101,1887,6,-0.339,0.651,-0.454,0.494,-0.254,0.283,-0.457,0.194,-0.433,0.131
102,1887,7,-1.655,3.036,-0.420,0.490,-0.260,0.279,-0.462,0.198,-0.435,0.131
103,1887,8,-0.873,1.161,-0.387,0.492,-0.276,0.269,-0.470,0.202,-0.435,0.131
104,1887,9,0.122,1.039,-0.343,0.534,-0.280,0.266,-0.472,0.203,-0.438,0.130
105,1887,10,-0.437,0.830,-0.451,0.556,-0.282,0.255,-0.467,0.203,-0.436,0.131
106,1887,11,0.246,1.510,-0.623,0.723,-0.301,0.239,-0.471,0.199,-0.438,0.130
107,1887,12,-1.266,0.801,-0.658,0.798,-0.313,0.230,-0.476,0.195,-0.436,0.129
108,1888,1,-0.731,0.938,-0.654,0.748,-0.357,0.225,-0.481,0.193,-0.437,0.127
109,1888,2,0.016,1.073,-0.600,0.699,-0.373,0.225,-0.488,0.189,-0.444,0.123
110,1888,3,-0.445,1.201,-0.642,0.711,-0.375,0.217,-0.485,0.191,-0.449,0.121
111,1888,4,-0.618,0.843,-0.613,0.681,-0.388,0.213,-0.480,0.188,-0.453,0.120
112,1888,5,-1.496,2.090,-0.707,0.599,-0.397,0.219,-0.471,0.189,-0.455,0.120
113,1888,6,-0.757,1.440,-0.646,0.577,-0.408,0.227,-0.467,0.195,-0.458,0.120
114,1888,7,-1.616,2.430,-0.641,0.557,-0.418,0.225,-0.457,0.197,-0.461,0.119
115,1888,8,-0.222,0.712,-0.620,0.538,-0.445,0.217,-0.450,0.202,-0.464,0.117
116,1888,9,NaN,NaN,-0.597,0.527,-0.449,0.212,-0.451,0.206,-0.465,0.115
117,1888,10,-0.091,1.029,-0.544,0.516,-0.425,0.216,-0.456,0.210,-0.466,0.113
118,1888,11,-0.882,1.019,-0.370,0.386,-0.457,0.211,-0.454,0.210,-0.468,0.111
119,1888,12,-0.542,0.925,-0.268,0.346,-0.497,0.211,-0.457,0.209,-0.467,0.111
120,1889,1,-0.666,0.921,-0.061,0.388,-0.478,0.209,-0.460,0.213,-0.464,0.112
121,1889,2,0.270,0.923,0.021,0.473,-0.479,0.205,-0.458,0.214,-0.461,0.112
122,1889,3,-0.168,0.808,0.031,0.494,-0.494,0.200,-0.448,0.216,-0.457,0.113
123,1889,4,0.015,0.659,0.043,0.502,-0.492,0.205,-0.447,0.214,-0.454,0.114
124,1889,5,0.597,0.560,0.068,0.507,-0.490,0.204,-0.441,0.215,-0.455,0.115
125,1889,6,0.462,0.699,0.052,0.508,-0.497,0.207,-0.438,0.218,-0.453,0.117
126,1889,7,0.872,1.689,0.020,0.499,-0.490,0.200,-0.429,0.216,-0.447,0.119
127,1889,8,0.759,1.463,-0.081,0.453,-0.494,0.189,-0.429,0.214,-0.443,0.120
128,1889,9,-0.257,0.800,-0.151,0.438,-0.491,0.188,-0.426,0.210,-0.440,0.122
129,1889,10,0.054,1.067,-0.231,0.441,-0.521,0.191,-0.423,0.209,-0.440,0.123
130,1889,11,-0.585,0.969,-0.384,0.402,-0.544,0.204,-0.419,0.210,-0.437,0.124
131,1889,12,-0.729,0.828,-0.462,0.338,-0.565,0.233,-0.427,0.208,-0.433,0.125
132,1890,1,-1.056,0.814,-0.698,0.371,-0.558,0.221,-0.431,0.206,-0.429,0.128
133,1890,2,-0.933,1.058,-0.827,0.465,-0.562,0.223,-0.434,0.209,-0.420,0.129
134,1890,3,-1.014,0.786,-0.821,0.455,-0.575,0.228,-0.430,0.208,-0.414,0.131
135,1890,4,-0.939,0.574,-0.906,0.425,-0.577,0.228,-0.427,0.203,-0.401,0.134
