,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.245,1.433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.762,2.689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.258,0.981,-0.689,0.556,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.295,1.223,-0.660,0.522,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.285,1.157,-0.579,0.494,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.379,2.212,-0.495,0.546,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.182,1.688,-0.478,0.508,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.017,1.075,-0.433,0.528,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.000,2.439,-0.406,0.457,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.348,0.700,-0.389,0.494,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.483,0.743,-0.361,0.424,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.273,2.561,-0.341,0.384,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.044,1.977,-0.349,0.385,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.221,1.052,-0.322,0.472,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.070,1.439,-0.331,0.420,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.493,0.861,-0.311,0.416,-0.563,0.425,NaN,NaN,NaN,NaN
16,1825,5,0.056,1.275,-0.296,0.439,-0.540,0.428,NaN,NaN,NaN,NaN
17,1825,6,-0.145,1.199,-0.309,0.482,-0.505,0.426,NaN,NaN,NaN,NaN
18,1825,7,-0.274,2.035,-0.325,0.574,-0.511,0.410,NaN,NaN,NaN,NaN
19,1825,8,-0.698,2.019,-0.388,0.599,-0.510,0.401,NaN,NaN,NaN,NaN
20,1825,9,-1.106,1.875,-0.484,0.513,-0.506,0.407,NaN,NaN,NaN,NaN
21,1825,10,-1.110,1.015,-0.546,0.482,-0.493,0.423,NaN,NaN,NaN,NaN
22,1825,11,-0.305,2.181,-0.558,0.507,-0.479,0.431,NaN,NaN,NaN,NaN
23,1825,12,-0.424,1.137,-0.591,0.455,-0.478,0.447,NaN,NaN,NaN,NaN
24,1826,1,-0.234,1.144,-0.589,0.476,-0.479,0.451,NaN,NaN,NaN,NaN
25,1826,2,-0.979,1.491,-0.611,0.478,-0.464,0.449,NaN,NaN,NaN,NaN
26,1826,3,-1.081,1.933,-0.607,0.445,-0.458,0.430,NaN,NaN,NaN,NaN
27,1826,4,-0.249,1.497,-0.594,0.465,-0.440,0.430,NaN,NaN,NaN,NaN
28,1826,5,-0.087,1.133,-0.584,0.615,-0.418,0.428,NaN,NaN,NaN,NaN
29,1826,6,-0.541,1.620,-0.499,0.679,-0.407,0.402,NaN,NaN,NaN,NaN
30,1826,7,-0.255,1.665,-0.472,0.945,-0.418,0.389,NaN,NaN,NaN,NaN
31,1826,8,-0.960,1.395,-0.401,1.037,-0.421,0.400,NaN,NaN,NaN,NaN
32,1826,9,-1.056,1.030,-0.297,0.943,-0.423,0.391,NaN,NaN,NaN,NaN
33,1826,10,-0.961,1.145,-0.237,0.989,-0.429,0.386,NaN,NaN,NaN,NaN
34,1826,11,-0.184,1.713,-0.216,1.056,-0.426,0.396,NaN,NaN,NaN,NaN
35,1826,12,0.595,1.820,-0.188,1.044,-0.431,0.381,NaN,NaN,NaN,NaN
36,1827,1,0.086,3.214,-0.164,1.098,-0.431,0.373,NaN,NaN,NaN,NaN
37,1827,2,-0.122,2.658,-0.156,1.181,-0.423,0.374,NaN,NaN,NaN,NaN
38,1827,3,0.165,1.847,-0.164,1.210,-0.423,0.361,NaN,NaN,NaN,NaN
39,1827,4,0.474,2.136,-0.169,1.308,-0.412,0.371,NaN,NaN,NaN,NaN
40,1827,5,0.162,1.680,-0.162,1.267,-0.414,0.362,NaN,NaN,NaN,NaN
