,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1948,2,-0.830,1.597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1948,3,-0.903,1.097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1948,4,-1.108,2.304,-0.574,1.120,NaN,NaN,NaN,NaN,NaN,NaN
3,1948,5,-0.698,1.542,-0.624,1.171,NaN,NaN,NaN,NaN,NaN,NaN
4,1948,6,-0.188,0.915,-0.636,1.156,NaN,NaN,NaN,NaN,NaN,NaN
5,1948,7,-0.384,0.993,-0.694,1.240,NaN,NaN,NaN,NaN,NaN,NaN
6,1948,8,-1.338,2.341,-0.636,1.056,NaN,NaN,NaN,NaN,NaN,NaN
7,1948,9,-0.882,1.754,-0.584,0.986,NaN,NaN,NaN,NaN,NaN,NaN
8,1948,10,-0.980,1.851,-0.503,0.808,NaN,NaN,NaN,NaN,NaN,NaN
9,1948,11,-0.424,1.128,-0.445,0.694,NaN,NaN,NaN,NaN,NaN,NaN
10,1948,12,-0.325,0.817,-0.511,0.754,NaN,NaN,NaN,NaN,NaN,NaN
11,1949,1,-0.269,1.461,-0.596,0.867,NaN,NaN,NaN,NaN,NaN,NaN
12,1949,2,-0.131,1.264,-0.537,0.772,NaN,NaN,NaN,NaN,NaN,NaN
13,1949,3,-0.283,0.765,-0.537,0.760,NaN,NaN,NaN,NaN,NaN,NaN
14,1949,4,-0.129,0.778,-0.486,0.679,-0.238,0.402,NaN,NaN,NaN,NaN
15,1949,5,-0.010,0.841,-0.509,0.708,-0.249,0.394,NaN,NaN,NaN,NaN
16,1949,6,-0.980,1.564,-0.525,0.734,-0.237,0.391,NaN,NaN,NaN,NaN
17,1949,7,-1.405,2.328,-0.552,0.613,-0.236,0.381,NaN,NaN,NaN,NaN
18,1949,8,-0.627,1.235,-0.621,0.660,-0.239,0.375,NaN,NaN,NaN,NaN
19,1949,9,-0.882,1.627,-0.721,0.662,-0.256,0.370,NaN,NaN,NaN,NaN
20,1949,10,-0.369,0.974,-0.779,0.695,-0.261,0.366,NaN,NaN,NaN,NaN
