,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1840,1,-0.222,2.255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1840,2,-1.108,2.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1840,3,-1.519,2.197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1840,4,-0.841,1.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1840,5,-0.637,1.848,-1.039,0.720,NaN,NaN,NaN,NaN,NaN,NaN
5,1840,6,-0.139,1.832,-0.968,0.728,NaN,NaN,NaN,NaN,NaN,NaN
6,1840,7,-0.017,1.856,-1.069,0.705,NaN,NaN,NaN,NaN,NaN,NaN
7,1840,8,-0.778,1.813,-1.056,0.665,NaN,NaN,NaN,NaN,NaN,NaN
8,1840,9,-1.066,1.764,-1.094,0.669,NaN,NaN,NaN,NaN,NaN,NaN
9,1840,10,-1.629,1.867,-1.138,0.651,NaN,NaN,NaN,NaN,NaN,NaN
10,1840,11,-1.903,2.016,-1.166,0.631,NaN,NaN,NaN,NaN,NaN,NaN
11,1840,12,-1.754,2.167,-1.218,0.621,NaN,NaN,NaN,NaN,NaN,NaN
12,1841,1,-1.436,2.124,-1.227,0.604,NaN,NaN,NaN,NaN,NaN,NaN
13,1841,2,-0.953,1.857,-1.173,0.595,NaN,NaN,NaN,NaN,NaN,NaN
14,1841,3,-1.981,1.805,-1.187,0.593,-0.933,0.454,NaN,NaN,NaN,NaN
15,1841,4,-1.360,1.750,-1.075,0.587,-0.936,0.446,NaN,NaN,NaN,NaN
16,1841,5,-0.973,1.614,-0.994,0.591,-0.935,0.453,NaN,NaN,NaN,NaN
17,1841,6,-0.769,1.680,-0.926,0.586,-0.919,0.463,NaN,NaN,NaN,NaN
18,1841,7,-0.126,1.681,-0.867,0.573,-0.926,0.467,NaN,NaN,NaN,NaN
19,1841,8,-0.129,1.665,-0.828,0.604,-0.941,0.472,NaN,NaN,NaN,NaN
20,1841,9,-1.234,1.663,-0.671,0.615,-0.897,0.464,NaN,NaN,NaN,NaN
