,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,8,-0.181,0.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,9,-0.389,0.646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,10,-0.274,0.735,-0.183,0.312,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,11,-0.169,0.759,-0.168,0.313,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,12,-0.396,0.685,-0.170,0.315,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,1,0.362,0.796,-0.198,0.327,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,2,-0.431,0.766,-0.197,0.334,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,3,-0.037,0.711,-0.164,0.342,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,4,0.211,0.730,-0.157,0.343,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,5,-0.233,0.714,-0.193,0.349,NaN,NaN,NaN,NaN,NaN,NaN
10,1881,6,-0.583,0.701,-0.186,0.350,NaN,NaN,NaN,NaN,NaN,NaN
11,1881,7,-0.251,0.696,-0.212,0.342,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,8,NaN,NaN,-0.196,0.345,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,9,NaN,NaN,-0.260,0.324,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,10,-0.184,0.686,-0.330,0.309,NaN,NaN,NaN,NaN,NaN,NaN
15,1881,11,-0.603,0.733,-0.332,0.309,NaN,NaN,NaN,NaN,NaN,NaN
16,1881,12,-0.309,0.781,-0.324,0.303,NaN,NaN,NaN,NaN,NaN,NaN
17,1882,1,0.046,0.816,-0.344,0.295,NaN,NaN,NaN,NaN,NaN,NaN
18,1882,2,-0.238,0.809,-0.361,0.287,-0.495,0.115,NaN,NaN,NaN,NaN
19,1882,3,-0.802,0.771,-0.387,0.288,-0.496,0.114,NaN,NaN,NaN,NaN
20,1882,4,-0.638,0.647,-0.413,0.286,-0.508,0.113,NaN,NaN,NaN,NaN
21,1882,5,-0.253,0.624,-0.431,0.282,-0.515,0.113,NaN,NaN,NaN,NaN
22,1882,6,-0.485,0.639,-0.487,0.277,-0.505,0.113,NaN,NaN,NaN,NaN
23,1882,7,-0.491,0.593,-0.557,0.280,-0.503,0.109,NaN,NaN,NaN,NaN
24,1882,8,-0.374,0.657,-0.619,0.281,-0.487,0.109,NaN,NaN,NaN,NaN
25,1882,9,-0.315,0.623,-0.586,0.285,-0.476,0.106,NaN,NaN,NaN,NaN
26,1882,10,-0.500,0.594,-0.564,0.285,-0.476,0.105,NaN,NaN,NaN,NaN
27,1882,11,-0.812,0.687,-0.574,0.287,-0.474,0.104,NaN,NaN,NaN,NaN
28,1882,12,-0.987,0.848,-0.531,0.287,-0.473,0.105,NaN,NaN,NaN,NaN
29,1883,1,-0.789,0.699,-0.514,0.287,-0.474,0.106,NaN,NaN,NaN,NaN
30,1883,2,-0.990,0.854,-0.547,0.292,NaN,NaN,NaN,NaN,NaN,NaN
31,1883,3,-0.397,0.630,-0.552,0.290,NaN,NaN,NaN,NaN,NaN,NaN
32,1883,4,-0.373,0.614,-0.538,0.285,NaN,NaN,NaN,NaN,NaN,NaN
33,1883,5,-0.379,0.626,-0.537,0.284,NaN,NaN,NaN,NaN,NaN,NaN
34,1883,6,0.034,0.627,-0.504,0.278,NaN,NaN,NaN,NaN,NaN,NaN
35,1883,7,-0.292,0.682,-0.514,0.274,NaN,NaN,NaN,NaN,NaN,NaN
36,1883,8,-0.760,0.665,-0.476,0.278,NaN,NaN,NaN,NaN,NaN,NaN
37,1883,9,-0.387,0.653,-0.547,0.283,NaN,NaN,NaN,NaN,NaN,NaN
