,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1832,2,-0.614,2.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1832,3,-0.989,2.867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1832,4,-1.943,2.878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1832,5,-0.063,2.649,-0.946,0.971,NaN,NaN,NaN,NaN,NaN,NaN
4,1832,6,-0.488,2.653,-1.201,0.999,NaN,NaN,NaN,NaN,NaN,NaN
5,1832,7,1.018,2.914,-1.105,1.040,NaN,NaN,NaN,NaN,NaN,NaN
6,1832,8,-0.956,2.727,-1.077,1.064,NaN,NaN,NaN,NaN,NaN,NaN
7,1832,9,-0.801,2.629,-1.096,1.057,NaN,NaN,NaN,NaN,NaN,NaN
8,1832,10,NaN,NaN,-1.072,1.089,NaN,NaN,NaN,NaN,NaN,NaN
9,1832,11,-3.089,3.011,-1.209,1.064,NaN,NaN,NaN,NaN,NaN,NaN
10,1832,12,-4.088,3.228,-1.146,1.068,NaN,NaN,NaN,NaN,NaN,NaN
11,1833,1,-0.686,3.041,-1.235,1.062,NaN,NaN,NaN,NaN,NaN,NaN
12,1833,2,-0.277,2.855,-1.173,1.068,NaN,NaN,NaN,NaN,NaN,NaN
13,1833,3,-1.217,2.940,-1.250,1.113,NaN,NaN,NaN,NaN,NaN,NaN
14,1833,4,-1.646,2.651,-1.306,1.168,NaN,NaN,NaN,NaN,NaN,NaN
15,1833,5,-1.707,2.621,-0.893,1.111,NaN,NaN,NaN,NaN,NaN,NaN
16,1833,6,0.262,2.712,-0.598,1.034,NaN,NaN,NaN,NaN,NaN,NaN
17,1833,7,-0.047,2.828,-0.791,1.010,NaN,NaN,NaN,NaN,NaN,NaN
18,1833,8,-0.212,2.607,-0.900,1.025,NaN,NaN,NaN,NaN,NaN,NaN
19,1833,9,-1.728,2.874,-0.652,0.989,NaN,NaN,NaN,NaN,NaN,NaN
20,1833,10,-1.235,2.664,-0.704,1.024,NaN,NaN,NaN,NaN,NaN,NaN
21,1833,11,1.870,3.060,-0.628,1.043,NaN,NaN,NaN,NaN,NaN,NaN
22,1833,12,-0.547,3.422,-0.705,1.058,NaN,NaN,NaN,NaN,NaN,NaN
23,1834,1,-3.007,3.175,-0.764,1.066,NaN,NaN,NaN,NaN,NaN,NaN
24,1834,2,-1.581,2.809,-0.778,1.081,NaN,NaN,NaN,NaN,NaN,NaN
25,1834,3,1.755,2.637,-0.678,1.098,NaN,NaN,NaN,NaN,NaN,NaN
26,1834,4,-2.266,2.821,-0.565,1.107,NaN,NaN,NaN,NaN,NaN,NaN
27,1834,5,-0.797,2.622,-0.595,1.045,NaN,NaN,NaN,NaN,NaN,NaN
28,1834,6,-0.667,2.653,-0.544,0.987,NaN,NaN,NaN,NaN,NaN,NaN
29,1834,7,-0.758,2.752,-0.238,1.011,NaN,NaN,NaN,NaN,NaN,NaN
30,1834,8,-0.377,2.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1834,9,-0.525,2.606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1834,10,0.120,2.654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1834,11,1.513,2.636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1834,12,0.062,2.692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1835,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1835,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1835,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1835,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1835,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1835,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1835,7,-1.389,3.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1835,8,-1.662,2.644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1835,9,-2.546,2.702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1835,10,-1.037,2.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1835,11,-1.898,2.854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1835,12,-2.380,3.353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1836,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1836,2,NaN,NaN,NaN,NaN,NaN,NaN,-1.097,0.385,NaN,NaN
49,1836,3,NaN,NaN,NaN,NaN,NaN,NaN,-1.123,0.383,NaN,NaN
50,1836,4,NaN,NaN,NaN,NaN,NaN,NaN,-1.140,0.380,NaN,NaN
51,1836,5,NaN,NaN,NaN,NaN,NaN,NaN,-1.144,0.377,NaN,NaN
52,1836,6,NaN,NaN,NaN,NaN,NaN,NaN,-1.140,0.374,NaN,NaN
53,1836,7,NaN,NaN,NaN,NaN,NaN,NaN,-1.125,0.375,NaN,NaN
54,1836,8,NaN,NaN,NaN,NaN,NaN,NaN,-1.110,0.375,NaN,NaN
55,1836,9,NaN,NaN,NaN,NaN,NaN,NaN,-1.104,0.374,NaN,NaN
56,1836,10,NaN,NaN,NaN,NaN,NaN,NaN,-1.079,0.374,NaN,NaN
57,1836,11,NaN,NaN,NaN,NaN,NaN,NaN,-1.087,0.376,NaN,NaN
58,1836,12,NaN,NaN,NaN,NaN,NaN,NaN,-1.104,0.373,NaN,NaN
59,1837,1,0.321,3.176,NaN,NaN,NaN,NaN,-1.092,0.367,NaN,NaN
60,1837,2,-1.133,3.377,NaN,NaN,NaN,NaN,-1.067,0.366,NaN,NaN
61,1837,3,-0.023,2.713,-0.972,1.092,NaN,NaN,-1.051,0.359,NaN,NaN
62,1837,4,-3.476,2.631,-1.140,1.096,NaN,NaN,-1.039,0.360,NaN,NaN
63,1837,5,-0.886,3.178,-1.117,1.113,NaN,NaN,-1.051,0.360,NaN,NaN
64,1837,6,-0.487,2.646,-1.273,1.129,NaN,NaN,-1.057,0.360,NaN,NaN
65,1837,7,-1.088,2.598,-1.746,1.154,NaN,NaN,-1.072,0.359,NaN,NaN
66,1837,8,-0.672,2.606,-1.686,1.122,NaN,NaN,-1.072,0.361,NaN,NaN
67,1837,9,-1.125,2.635,-1.987,1.203,-1.369,0.498,-1.083,0.363,NaN,NaN
68,1837,10,-2.425,2.634,-1.919,1.219,-1.370,0.491,-1.088,0.361,NaN,NaN
69,1837,11,-1.880,3.096,-1.913,1.155,-1.346,0.490,-1.064,0.354,NaN,NaN
70,1837,12,-2.404,3.124,-1.996,1.142,-1.298,0.491,-1.029,0.346,NaN,NaN
71,1838,1,-5.349,3.237,-1.963,1.080,-1.259,0.494,-1.015,0.337,NaN,NaN
72,1838,2,-0.423,2.609,-1.934,1.036,-1.224,0.492,-0.978,0.327,NaN,NaN
73,1838,3,-3.626,3.143,-2.063,1.061,-1.216,0.492,-0.960,0.321,NaN,NaN
74,1838,4,-2.658,2.638,-1.889,1.018,-1.235,0.492,-0.955,0.322,NaN,NaN
75,1838,5,-0.813,2.478,-1.708,0.952,-1.241,0.494,-0.946,0.324,NaN,NaN
76,1838,6,-1.484,2.313,-1.594,0.935,-1.243,0.500,-0.947,0.324,NaN,NaN
77,1838,7,-0.694,2.484,-1.081,0.905,-1.291,0.494,-0.948,0.325,NaN,NaN
78,1838,8,-0.327,2.387,-0.865,0.959,-1.290,0.485,-0.957,0.325,-0.864,0.265
79,1838,9,-2.668,2.454,-0.871,0.967,-1.374,0.478,-0.943,0.322,-0.860,0.265
80,1838,10,-0.339,2.823,-0.843,1.030,-1.407,0.465,-0.919,0.317,-0.861,0.268
81,1838,11,0.295,3.363,-0.917,1.037,-1.392,0.459,-0.945,0.314,-0.863,0.270
82,1838,12,-1.046,2.679,-0.866,1.014,-1.388,0.452,-0.945,0.314,-0.864,0.273
83,1839,1,0.808,2.648,-0.773,1.027,-1.354,0.450,-0.906,0.317,-0.852,0.274
84,1839,2,2.171,2.897,-0.728,1.027,-1.323,0.448,-0.890,0.312,-0.846,0.274
85,1839,3,-3.702,2.639,-0.633,1.024,-1.324,0.444,-0.899,0.313,-0.841,0.276
86,1839,4,-2.321,2.702,-0.747,1.000,-1.307,0.441,-0.909,0.312,-0.844,0.274
87,1839,5,-1.702,2.386,-1.003,0.995,-1.305,0.432,-0.915,0.311,-0.853,0.272
88,1839,6,-0.868,2.385,-1.476,1.016,-1.348,0.433,-0.908,0.313,-0.852,0.269
89,1839,7,0.428,2.538,-1.538,1.013,-1.360,0.420,-0.900,0.312,-0.848,0.269
90,1839,8,0.209,2.512,-1.959,1.015,-1.302,0.405,-0.906,0.313,-0.846,0.269
91,1839,9,-1.530,2.588,-1.826,1.030,-1.285,0.406,-0.915,0.313,-0.849,0.268
92,1839,10,-1.711,2.956,-1.707,1.009,-1.237,0.409,-0.923,0.313,-0.845,0.268
93,1839,11,-2.766,2.395,-1.579,1.028,-1.246,0.407,-0.961,0.311,-0.849,0.270
94,1839,12,-6.722,2.628,-1.460,1.049,-1.259,0.406,-0.998,0.308,-0.851,0.268
95,1840,1,0.062,2.556,-1.416,1.005,-1.254,0.408,-1.006,0.303,-0.876,0.270
96,1840,2,-2.884,2.674,-1.398,0.969,-1.259,0.410,-1.034,0.299,-0.878,0.275
97,1840,3,-2.103,3.004,-1.438,0.929,-1.275,0.409,-1.034,0.300,-0.869,0.278
98,1840,4,-0.902,2.477,-1.481,0.890,-1.253,0.405,-1.033,0.300,-0.874,0.280
99,1840,5,-0.157,2.563,-1.436,0.908,-1.225,0.396,-1.025,0.302,-0.877,0.280
100,1840,6,0.552,2.347,-1.084,0.926,-1.185,0.391,-1.007,0.302,-0.881,0.283
101,1840,7,0.956,2.325,-1.272,0.948,-1.078,0.392,-0.999,0.306,-0.882,0.285
102,1840,8,0.435,2.642,-1.056,0.967,-1.002,0.400,-0.986,0.305,-0.883,0.285
103,1840,9,-2.015,2.333,-1.157,0.998,-0.926,0.406,-0.972,0.307,-0.881,0.285
104,1840,10,-2.227,2.340,-1.381,0.981,-0.898,0.402,-0.970,0.306,-0.890,0.286
105,1840,11,-2.221,2.769,-1.420,0.947,-0.896,0.402,-0.963,0.312,-0.897,0.286
106,1840,12,-2.507,2.635,-1.498,0.942,-0.868,0.408,-0.975,0.322,-0.902,0.288
107,1841,1,-2.186,3.135,-1.533,0.953,-0.860,0.403,-0.991,0.322,-0.908,0.289
108,1841,2,-0.296,3.002,-1.550,0.955,-0.876,0.408,-0.951,0.323,-0.906,0.288
109,1841,3,-3.320,2.405,-1.513,0.971,-0.833,0.408,-0.958,0.321,-0.913,0.288
110,1841,4,-3.582,2.546,-1.278,0.959,-0.799,0.406,-0.973,0.321,-0.921,0.286
111,1841,5,-0.630,2.338,-1.264,0.984,-0.824,0.409,-0.963,0.321,-0.918,0.285
112,1841,6,-0.389,2.444,-1.311,0.952,-0.816,0.414,-0.954,0.318,-0.911,0.283
113,1841,7,0.547,2.386,-1.164,0.958,-0.801,0.416,-0.942,0.314,-0.908,0.282
114,1841,8,0.228,2.416,-0.945,0.955,-0.833,0.424,-0.936,0.314,-0.900,0.281
115,1841,9,-1.576,2.344,-0.586,0.956,-0.760,0.431,-0.930,0.311,-0.890,0.281
116,1841,10,0.597,2.353,-0.335,0.933,-0.779,0.441,-0.949,0.311,-0.882,0.279
