,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1862,6,-0.274,1.402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1862,7,-0.441,1.177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1862,8,-0.821,1.306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1862,9,-1.311,1.260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1862,10,-0.821,1.150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1862,12,-1.712,1.795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1863,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1863,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1863,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1863,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1863,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1863,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1863,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1863,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1863,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1863,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1863,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1863,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1865,1,0.452,1.243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1865,2,-0.925,1.208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1865,3,-0.655,1.154,-0.267,0.535,NaN,NaN,NaN,NaN,NaN,NaN
34,1865,4,-0.939,1.313,-0.253,0.535,NaN,NaN,NaN,NaN,NaN,NaN
35,1865,5,-0.327,1.208,-0.249,0.513,NaN,NaN,NaN,NaN,NaN,NaN
36,1865,6,-0.078,1.279,-0.236,0.536,NaN,NaN,NaN,NaN,NaN,NaN
37,1865,7,0.145,1.169,-0.305,0.549,NaN,NaN,NaN,NaN,NaN,NaN
38,1865,8,0.186,1.151,-0.261,0.613,NaN,NaN,NaN,NaN,NaN,NaN
39,1865,9,-0.434,1.185,-0.225,0.663,NaN,NaN,NaN,NaN,NaN,NaN
40,1865,10,0.486,1.150,-0.148,0.670,NaN,NaN,NaN,NaN,NaN,NaN
41,1865,11,0.090,1.267,-0.114,0.682,NaN,NaN,NaN,NaN,NaN,NaN
42,1865,12,-0.837,1.370,-0.179,0.652,NaN,NaN,NaN,NaN,NaN,NaN
43,1866,1,-0.373,1.457,-0.138,0.662,NaN,NaN,NaN,NaN,NaN,NaN
44,1866,2,-0.394,1.830,-0.169,0.638,NaN,NaN,NaN,NaN,NaN,NaN
45,1866,3,-0.228,1.796,-0.149,0.632,NaN,NaN,NaN,NaN,NaN,NaN
46,1866,4,-0.007,1.472,-0.205,0.659,NaN,NaN,NaN,NaN,NaN,NaN
47,1866,5,0.078,1.240,-0.212,0.642,NaN,NaN,NaN,NaN,NaN,NaN
48,1866,6,-0.860,1.222,-0.102,0.594,NaN,NaN,NaN,NaN,NaN,NaN
49,1866,7,0.631,1.216,-0.075,0.600,NaN,NaN,NaN,NaN,NaN,NaN
50,1866,8,-0.185,1.166,-0.103,0.597,NaN,NaN,NaN,NaN,NaN,NaN
51,1866,9,-0.195,1.204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1866,10,-0.179,1.209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1866,11,0.004,1.083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1866,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1867,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1867,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1867,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1867,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1867,5,NaN,NaN,NaN,NaN,-0.216,0.379,NaN,NaN,NaN,NaN
60,1867,6,NaN,NaN,NaN,NaN,-0.212,0.383,NaN,NaN,NaN,NaN
61,1867,7,NaN,NaN,NaN,NaN,-0.235,0.387,NaN,NaN,NaN,NaN
62,1867,8,NaN,NaN,NaN,NaN,-0.231,0.398,NaN,NaN,NaN,NaN
63,1867,9,NaN,NaN,NaN,NaN,-0.228,0.391,NaN,NaN,NaN,NaN
64,1867,10,NaN,NaN,NaN,NaN,-0.228,0.391,NaN,NaN,NaN,NaN
65,1867,11,NaN,NaN,NaN,NaN,-0.217,0.397,NaN,NaN,NaN,NaN
66,1867,12,NaN,NaN,NaN,NaN,-0.212,0.394,NaN,NaN,NaN,NaN
67,1868,1,-0.905,1.164,NaN,NaN,-0.206,0.394,NaN,NaN,NaN,NaN
68,1868,2,-1.832,1.627,NaN,NaN,-0.207,0.390,NaN,NaN,NaN,NaN
69,1868,3,-0.975,1.453,NaN,NaN,-0.199,0.382,NaN,NaN,NaN,NaN
70,1868,4,-0.772,1.355,-0.440,0.582,-0.210,0.380,NaN,NaN,NaN,NaN
71,1868,5,NaN,NaN,-0.615,0.556,-0.221,0.384,NaN,NaN,NaN,NaN
72,1868,6,-0.367,1.012,-0.569,0.575,-0.224,0.381,NaN,NaN,NaN,NaN
73,1868,7,0.274,1.035,-0.551,0.606,-0.249,0.381,NaN,NaN,NaN,NaN
74,1868,8,-0.045,1.020,-0.444,0.651,-0.274,0.389,-0.295,0.310,NaN,NaN
75,1868,9,-0.606,1.135,-0.463,0.684,-0.288,0.383,-0.291,0.306,NaN,NaN
76,1868,10,0.131,1.252,-0.456,0.637,-0.281,0.377,-0.289,0.302,NaN,NaN
77,1868,11,-1.549,1.108,-0.444,0.645,-0.279,0.368,-0.291,0.297,NaN,NaN
78,1868,12,-0.379,1.686,-0.372,0.679,-0.273,0.365,-0.284,0.283,NaN,NaN
79,1869,1,-0.684,1.561,-0.356,0.682,-0.281,0.366,-0.277,0.280,NaN,NaN
80,1869,2,-0.547,1.801,-0.338,0.713,-0.279,0.370,-0.283,0.268,NaN,NaN
81,1869,3,-1.211,1.541,-0.248,0.685,-0.278,0.360,-0.302,0.264,NaN,NaN
82,1869,4,-0.690,1.074,-0.302,0.664,-0.266,0.355,-0.299,0.255,NaN,NaN
83,1869,5,0.342,1.064,-0.240,0.696,-0.281,0.358,-0.303,0.251,NaN,NaN
84,1869,6,0.505,1.120,-0.271,0.649,-0.302,0.367,-0.304,0.248,NaN,NaN
85,1869,7,0.455,1.006,-0.293,0.636,-0.319,0.361,-0.306,0.245,NaN,NaN
86,1869,8,0.172,1.063,-0.306,0.589,-0.319,0.357,-0.308,0.243,NaN,NaN
87,1869,9,0.478,1.026,-0.243,0.512,-0.338,0.347,-0.302,0.244,NaN,NaN
88,1869,10,-0.519,1.043,-0.264,0.532,-0.353,0.352,-0.304,0.247,NaN,NaN
89,1869,11,-0.803,1.149,-0.265,0.540,-0.360,0.346,-0.308,0.248,NaN,NaN
90,1869,12,-0.752,1.277,-0.287,0.503,-0.369,0.348,-0.308,0.249,NaN,NaN
91,1870,1,-0.941,1.353,-0.283,0.497,-0.370,0.333,-0.325,0.248,NaN,NaN
92,1870,2,-0.705,1.373,-0.286,0.474,-0.374,0.338,-0.326,0.249,NaN,NaN
93,1870,3,-0.457,1.036,-0.324,0.487,-0.379,0.338,-0.328,0.249,NaN,NaN
94,1870,4,-0.938,1.103,-0.292,0.476,-0.390,0.330,-0.330,0.249,NaN,NaN
95,1870,5,0.327,1.072,-0.275,0.471,-0.415,0.332,-0.330,0.249,NaN,NaN
96,1870,6,0.235,1.336,-0.297,0.457,-0.418,0.325,-0.333,0.251,NaN,NaN
97,1870,7,0.511,1.129,-0.373,0.453,-0.416,0.326,-0.333,0.251,NaN,NaN
98,1870,8,0.129,1.032,-0.473,0.452,-0.402,0.319,-0.336,0.249,-0.337,0.224
99,1870,9,0.025,0.952,-0.524,0.494,-0.389,0.307,-0.337,0.244,-0.337,0.222
100,1870,10,-0.140,1.097,-0.409,0.490,-0.378,0.302,-0.348,0.244,-0.335,0.217
101,1870,11,-0.589,1.315,-0.423,0.480,-0.385,0.301,-0.359,0.246,-0.332,0.218
102,1870,12,-1.017,1.244,-0.485,0.477,-0.387,0.304,-0.361,0.245,-0.331,0.216
103,1871,1,-1.863,1.153,-0.513,0.472,-0.389,0.297,-0.366,0.243,-0.319,0.214
104,1871,2,-1.896,1.554,-0.530,0.466,-0.386,0.294,-0.368,0.244,-0.317,0.212
105,1871,3,-1.067,1.536,-0.543,0.462,-0.384,0.290,-0.369,0.238,-0.312,0.208
106,1871,4,0.434,1.084,-0.487,0.469,-0.392,0.281,-0.366,0.237,-0.305,0.206
107,1871,5,0.160,1.117,-0.514,0.471,-0.371,0.274,-0.366,0.231,-0.303,0.203
108,1871,6,-0.510,1.033,-0.494,0.480,-0.368,0.265,-0.364,0.227,-0.303,0.204
109,1871,7,0.184,1.034,-0.427,0.458,-0.363,0.256,-0.371,0.227,-0.300,0.204
110,1871,8,-0.078,1.042,-0.330,0.462,-0.371,0.238,-0.371,0.227,-0.298,0.202
111,1871,9,-0.134,1.081,-0.248,0.453,-0.384,0.231,-0.369,0.224,-0.294,0.201
112,1871,10,0.534,0.973,-0.316,0.451,-0.376,0.230,-0.368,0.224,-0.294,0.201
113,1871,11,-0.913,1.320,-0.352,0.460,-0.384,0.227,-0.369,0.224,-0.300,0.202
114,1871,12,-0.779,1.183,-0.334,0.471,-0.393,0.225,-0.380,0.226,-0.301,0.204
115,1872,1,-1.053,1.204,-0.344,0.465,-0.398,0.223,-0.387,0.228,-0.298,0.201
116,1872,2,-0.735,1.213,-0.338,0.460,-0.408,0.222,-0.387,0.228,-0.299,0.203
117,1872,3,-0.086,1.195,-0.340,0.454,-0.416,0.223,-0.397,0.226,-0.302,0.201
118,1872,4,-0.380,1.174,-0.427,0.466,-0.407,0.222,-0.397,0.226,-0.305,0.197
119,1872,5,-0.278,1.090,-0.430,0.461,-0.399,0.221,-0.395,0.226,-0.307,0.197
120,1872,6,-0.289,1.076,-0.456,0.494,-0.404,0.222,-0.397,0.222,-0.308,0.195
121,1872,7,0.067,1.194,-0.437,0.498,-0.414,0.222,-0.393,0.218,-0.308,0.193
122,1872,8,-0.015,1.049,-0.456,0.487,-0.421,0.220,-0.392,0.216,-0.306,0.191
123,1872,9,-0.155,1.004,-0.467,0.482,-0.429,0.225,-0.389,0.216,-0.302,0.192
124,1872,10,-0.507,1.047,-0.444,0.465,-0.432,0.227,-0.392,0.215,-0.300,0.191
125,1872,11,-0.946,1.086,-0.443,0.459,-0.442,0.229,-0.399,0.214,-0.301,0.190
126,1872,12,-1.099,1.280,-0.455,0.444,-0.453,0.231,-0.401,0.211,-0.298,0.191
127,1873,1,-0.822,1.199,-0.450,0.444,-0.461,0.230,-0.406,0.212,-0.298,0.191
128,1873,2,-0.964,1.416,-0.436,0.437,-0.465,0.231,-0.399,0.211,-0.298,0.191
129,1873,3,-0.219,1.050,-0.466,0.430,-0.475,0.233,-0.390,0.209,-0.298,0.189
130,1873,4,-0.102,1.109,-0.450,0.419,-0.486,0.235,-0.375,0.207,-0.300,0.188
131,1873,5,-0.262,0.944,-0.396,0.419,-0.497,0.238,-0.370,0.204,-0.303,0.188
132,1873,6,-0.436,1.100,-0.320,0.409,-0.497,0.239,-0.357,0.206,-0.303,0.187
133,1873,7,0.131,1.126,-0.283,0.406,-0.483,0.238,-0.351,0.205,-0.303,0.185
134,1873,8,0.146,0.925,-0.289,0.426,-0.463,0.238,-0.342,0.204,-0.304,0.182
135,1873,9,-0.508,0.987,-0.437,0.405,-0.450,0.237,-0.335,0.201,-0.302,0.180
136,1873,10,-0.319,0.950,-0.446,0.406,-0.451,0.242,-0.334,0.196,-0.302,0.179
137,1873,11,-0.293,1.229,-0.435,0.404,-0.452,0.241,-0.315,0.195,-0.306,0.177
