,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1873,7,0.057,1.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1873,8,-0.098,0.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1873,9,-0.026,0.826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1873,10,-0.454,0.896,-0.285,0.452,NaN,NaN,NaN,NaN,NaN,NaN
4,1873,11,NaN,NaN,-0.299,0.450,NaN,NaN,NaN,NaN,NaN,NaN
5,1873,12,0.108,0.932,-0.309,0.459,NaN,NaN,NaN,NaN,NaN,NaN
6,1874,1,-0.724,0.944,-0.341,0.435,NaN,NaN,NaN,NaN,NaN,NaN
7,1874,2,-0.597,0.981,-0.379,0.437,NaN,NaN,NaN,NaN,NaN,NaN
8,1874,3,-1.309,0.895,-0.375,0.454,NaN,NaN,NaN,NaN,NaN,NaN
9,1874,4,0.046,0.858,-0.350,0.464,NaN,NaN,NaN,NaN,NaN,NaN
10,1874,5,-0.276,1.101,-0.336,0.451,NaN,NaN,NaN,NaN,NaN,NaN
11,1874,6,NaN,NaN,-0.407,0.455,NaN,NaN,NaN,NaN,NaN,NaN
12,1874,7,-0.323,0.840,-0.439,0.454,NaN,NaN,NaN,NaN,NaN,NaN
13,1874,8,-0.559,0.868,-0.464,0.432,NaN,NaN,NaN,NaN,NaN,NaN
14,1874,9,0.025,0.862,-0.411,0.450,NaN,NaN,NaN,NaN,NaN,NaN
15,1874,10,-0.148,1.031,-0.452,0.457,NaN,NaN,NaN,NaN,NaN,NaN
16,1874,11,-0.610,0.979,-0.462,0.462,NaN,NaN,NaN,NaN,NaN,NaN
17,1874,12,-0.752,0.996,-0.524,0.454,NaN,NaN,NaN,NaN,NaN,NaN
18,1875,1,-1.102,0.923,-0.506,0.470,NaN,NaN,NaN,NaN,NaN,NaN
19,1875,2,-0.899,1.176,-0.497,0.481,NaN,NaN,NaN,NaN,NaN,NaN
20,1875,3,-0.670,0.966,-0.528,0.496,-0.389,0.302,NaN,NaN,NaN,NaN
21,1875,4,-0.448,0.936,-0.576,0.469,-0.385,0.302,NaN,NaN,NaN,NaN
22,1875,5,-0.390,0.920,-0.631,0.479,-0.368,0.302,NaN,NaN,NaN,NaN
23,1875,6,-0.411,1.026,-0.629,0.465,-0.357,0.293,NaN,NaN,NaN,NaN
24,1875,7,-0.106,0.928,-0.628,0.442,-0.354,0.295,NaN,NaN,NaN,NaN
25,1875,8,-0.452,0.892,-0.633,0.479,-0.344,0.308,NaN,NaN,NaN,NaN
26,1875,9,-0.347,0.972,-0.593,0.437,-0.323,0.307,NaN,NaN,NaN,NaN
27,1875,10,-0.722,0.751,-0.523,0.454,-0.305,0.318,NaN,NaN,NaN,NaN
28,1875,11,-1.275,1.256,-0.506,0.460,-0.294,0.320,NaN,NaN,NaN,NaN
29,1875,12,-0.722,0.923,-0.472,0.483,-0.278,0.329,NaN,NaN,NaN,NaN
