Country,Anomaly
Afghanistan,
Albania,-0.188
Algeria,
American Samoa,
Andorra,0.053
Angola,
Anguilla,
Antarctica,
Antigua and Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,0.396
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,0.21600000000000003
Belgium,0.45
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,0.063
Botswana,
Brazil,
British Virgin Islands,
Bulgaria,-0.205
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,0.162
Cuba,
Curaçao,
Cyprus,
Czechia,0.5720000000000001
Côte d'Ivoire,
Dem. Rep. Congo,
Denmark,0.669
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,0.282
eSwatini,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,0.303
Fiji,
Finland,-0.113
France,0.249
French Guiana,
French Polynesia,
French Southern and Antarctic Lands,
Gabon,
Gambia,
Georgia,
Germany,0.596
Ghana,
Greece,
Greenland,
Grenada,
Guadeloupe,
Guam,
Guatemala,
Guernsey,0.419
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Heard Island and McDonald Islands,
Honduras,
Hong Kong,
Hungary,0.254
Iceland,
India,
Indonesia,
Iran,
Iraq,
Ireland,0.24
Isle of Man,0.563
Israel,
Italy,-0.043
Jamaica,
Japan,
Jersey,0.419
Jordan,
Kazakhstan,
Kenya,
Kiribati,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,0.39899999999999997
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,0.33299999999999996
Lithuania,0.47600000000000003
Luxembourg,0.434
Macau,
Macedonia,-0.195
Madagascar,
Malawi,
Malaysia,
Mali,
Malta,-0.276
Martinique,
Mauritania,
Mauritius,
Mayotte,
Mexico,
Micronesia,
Moldova,-0.133
Monaco,0.048
Mongolia,
Montenegro,-0.059000000000000004
Montserrat,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,0.524
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
North Korea,
Northern Mariana Islands,
Norway,0.162
Oman,
Pakistan,
Palau,
Palestina,
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,0.5720000000000001
Portugal,-0.29100000000000004
Puerto Rico,
Qatar,
Reunion,
Romania,-0.045
Russia,
Rwanda,
Saint Barthélemy,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,-0.596
Saint Vincent and the Grenadines,
Samoa,
San Marino,0.055
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,0.214
Seychelles,
Sierra Leone,
Singapore,
Sint Maarten,
Slovakia,0.35
Slovenia,0.23399999999999999
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Isla,
South Korea,
Spain,-0.156
Sri Lanka,
Sudan,
Suriname,
Svalbard and Jan Mayen,-0.252
Sweden,0.324
Switzerland,0.22399999999999998
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicas Islands,
Uganda,
Ukraine,-0.147
United Arab Emirates,
United Kingdom,0.429
United States of America,
Uruguay,
Uzbekistan,
Venezuela,
Vietnam,
Virgin Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Åland,0.45
Global Land,-0.551
