,Country,Link,Generalization
0,Afghanistan,http://berkeleyearth.lbl.gov/regions/afghanistan,"Southern Asia, Asia, Northern Hemisphere, Global Land"
1,Åland,http://berkeleyearth.lbl.gov/regions/åland,"Europe, Northern Hemisphere, Global Land"
2,Albania,http://berkeleyearth.lbl.gov/regions/albania,"Europe, Northern Hemisphere, Global Land"
3,Algeria,http://berkeleyearth.lbl.gov/regions/algeria,"Northern Africa, Africa, Northern Hemisphere, Global Land"
4,American Samoa,http://berkeleyearth.lbl.gov/regions/american-samoa,Global Land
5,Andorra,http://berkeleyearth.lbl.gov/regions/andorra,"Europe, Northern Hemisphere, Global Land"
6,Angola,http://berkeleyearth.lbl.gov/regions/angola,"Middle Africa, Africa, Southern Hemisphere, Global Land"
7,Anguilla,http://berkeleyearth.lbl.gov/regions/anguilla,Global Land
8,Antarctica,http://berkeleyearth.lbl.gov/regions/antarctica,"Southern Hemisphere, Global Land"
9,Antigua and Barbuda,http://berkeleyearth.lbl.gov/regions/antigua-and-barbuda,Global Land
10,Argentina,http://berkeleyearth.lbl.gov/regions/argentina,"South America, Southern Hemisphere, Global Land"
11,Armenia,http://berkeleyearth.lbl.gov/regions/armenia,"Asia, Northern Hemisphere, Global Land"
12,Aruba,http://berkeleyearth.lbl.gov/regions/aruba,"Caribbean, South America, Northern Hemisphere, Global Land"
13,Australia,http://berkeleyearth.lbl.gov/regions/australia,"Oceania, Southern Hemisphere, Global Land"
14,Austria,http://berkeleyearth.lbl.gov/regions/austria,"Europe, Northern Hemisphere, Global Land"
15,Azerbaijan,http://berkeleyearth.lbl.gov/regions/azerbaijan,"Asia, Northern Hemisphere, Global Land"
16,Bahamas,http://berkeleyearth.lbl.gov/regions/bahamas,"Caribbean, North America, Northern Hemisphere, Global Land"
17,Bahrain,http://berkeleyearth.lbl.gov/regions/bahrain,"Asia, Northern Hemisphere, Global Land"
18,Bangladesh,http://berkeleyearth.lbl.gov/regions/bangladesh,"Southern Asia, Asia, Northern Hemisphere, Global Land"
19,Barbados,http://berkeleyearth.lbl.gov/regions/barbados,Global Land
20,Belarus,http://berkeleyearth.lbl.gov/regions/belarus,"Europe, Northern Hemisphere, Global Land"
21,Belgium,http://berkeleyearth.lbl.gov/regions/belgium,"Europe, Northern Hemisphere, Global Land"
22,Belize,http://berkeleyearth.lbl.gov/regions/belize,"Central America, North America, Northern Hemisphere, Global Land"
23,Benin,http://berkeleyearth.lbl.gov/regions/benin,"Western Africa, Africa, Northern Hemisphere, Global Land"
24,Bhutan,http://berkeleyearth.lbl.gov/regions/bhutan,"Southern Asia, Asia, Northern Hemisphere, Global Land"
25,Bolivia,http://berkeleyearth.lbl.gov/regions/bolivia,"South America, Southern Hemisphere, Global Land"
26,Bosnia and Herzegovina,http://berkeleyearth.lbl.gov/regions/bosnia-and-herzegovina,"Europe, Northern Hemisphere, Global Land"
27,Botswana,http://berkeleyearth.lbl.gov/regions/botswana,"Southern Africa, Africa, Southern Hemisphere, Global Land"
28,Brazil,http://berkeleyearth.lbl.gov/regions/brazil,"South America, Southern Hemisphere, Global Land"
29,British Virgin Islands,http://berkeleyearth.lbl.gov/regions/british-virgin-islands,Global Land
30,Bulgaria,http://berkeleyearth.lbl.gov/regions/bulgaria,"Europe, Northern Hemisphere, Global Land"
31,Burkina Faso,http://berkeleyearth.lbl.gov/regions/burkina-faso,"Western Africa, Africa, Northern Hemisphere, Global Land"
32,Burma,http://berkeleyearth.lbl.gov/regions/burma,"South-Eastern Asia, Asia, Northern Hemisphere, Global Land"
33,Burundi,http://berkeleyearth.lbl.gov/regions/burundi,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
34,Cambodia,http://berkeleyearth.lbl.gov/regions/cambodia,"South-Eastern Asia, Asia, Northern Hemisphere, Global Land"
35,Cameroon,http://berkeleyearth.lbl.gov/regions/cameroon,"Middle Africa, Africa, Northern Hemisphere, Global Land"
36,Canada,http://berkeleyearth.lbl.gov/regions/canada,"North America, Northern Hemisphere, Global Land"
37,Cape Verde,http://berkeleyearth.lbl.gov/regions/cape-verde,Global Land
38,Cayman Islands,http://berkeleyearth.lbl.gov/regions/cayman-islands,Global Land
39,Central African Republic,http://berkeleyearth.lbl.gov/regions/central-african-republic,"Middle Africa, Africa, Northern Hemisphere, Global Land"
40,Chad,http://berkeleyearth.lbl.gov/regions/chad,"Middle Africa, Africa, Northern Hemisphere, Global Land"
41,Chile,http://berkeleyearth.lbl.gov/regions/chile,"South America, Southern Hemisphere, Global Land"
42,China,http://berkeleyearth.lbl.gov/regions/china,"Eastern Asia, Asia, Northern Hemisphere, Global Land"
43,Colombia,http://berkeleyearth.lbl.gov/regions/colombia,"South America, Global Land"
44,Comoros,http://berkeleyearth.lbl.gov/regions/comoros,Global Land
45,Congo,http://berkeleyearth.lbl.gov/regions/congo,"Middle Africa, Africa, Global Land"
46,Congo (Democratic Republic of the),http://berkeleyearth.lbl.gov/regions/congo-(democratic-republic-of-the),"Middle Africa, Africa, Global Land"
47,Costa Rica,http://berkeleyearth.lbl.gov/regions/costa-rica,"Central America, North America, Northern Hemisphere, Global Land"
48,Côte d'Ivoire,http://berkeleyearth.lbl.gov/regions/côte-d'ivoire,"Western Africa, Africa, Northern Hemisphere, Global Land"
49,Croatia,http://berkeleyearth.lbl.gov/regions/croatia,"Europe, Northern Hemisphere, Global Land"
50,Cuba,http://berkeleyearth.lbl.gov/regions/cuba,"Caribbean, North America, Northern Hemisphere, Global Land"
51,Curaçao,http://berkeleyearth.lbl.gov/regions/curaçao,"Caribbean, South America, Northern Hemisphere, Global Land"
52,Cyprus,http://berkeleyearth.lbl.gov/regions/cyprus,"Asia, Northern Hemisphere, Global Land"
53,Czech Republic,http://berkeleyearth.lbl.gov/regions/czech-republic,"Europe, Northern Hemisphere, Global Land"
54,Denmark (Europe),http://berkeleyearth.lbl.gov/regions/denmark-(europe),"Europe, Northern Hemisphere, Global Land"
55,Djibouti,http://berkeleyearth.lbl.gov/regions/djibouti,"Eastern Africa, Africa, Northern Hemisphere, Global Land"
56,Dominica,http://berkeleyearth.lbl.gov/regions/dominica,"Caribbean, North America, Northern Hemisphere, Global Land"
57,Dominican Republic,http://berkeleyearth.lbl.gov/regions/dominican-republic,"Caribbean, North America, Northern Hemisphere, Global Land"
58,Ecuador,http://berkeleyearth.lbl.gov/regions/ecuador,"South America, Global Land"
59,Egypt,http://berkeleyearth.lbl.gov/regions/egypt,"Northern Africa, Africa, Northern Hemisphere, Global Land"
60,El Salvador,http://berkeleyearth.lbl.gov/regions/el-salvador,"Central America, North America, Northern Hemisphere, Global Land"
61,Equatorial Guinea,http://berkeleyearth.lbl.gov/regions/equatorial-guinea,"Middle Africa, Africa, Northern Hemisphere, Global Land"
62,Eritrea,http://berkeleyearth.lbl.gov/regions/eritrea,"Eastern Africa, Africa, Northern Hemisphere, Global Land"
63,Estonia,http://berkeleyearth.lbl.gov/regions/estonia,"Europe, Northern Hemisphere, Global Land"
64,Ethiopia,http://berkeleyearth.lbl.gov/regions/ethiopia,"Eastern Africa, Africa, Northern Hemisphere, Global Land"
65,Falkland Islands (Islas Malvinas),http://berkeleyearth.lbl.gov/regions/falkland-islands-(islas-malvinas),"South America, Southern Hemisphere, Global Land"
66,Faroe Islands,http://berkeleyearth.lbl.gov/regions/faroe-islands,Global Land
67,Federated States of Micronesia,http://berkeleyearth.lbl.gov/regions/federated-states-of-micronesia,Global Land
68,Fiji,http://berkeleyearth.lbl.gov/regions/fiji,"Melanesia, Oceania, Southern Hemisphere, Global Land"
69,Finland,http://berkeleyearth.lbl.gov/regions/finland,"Europe, Northern Hemisphere, Global Land"
70,France (Europe),http://berkeleyearth.lbl.gov/regions/france-(europe),"Europe, Northern Hemisphere, Global Land"
71,French Guiana,http://berkeleyearth.lbl.gov/regions/french-guiana,"South America, Northern Hemisphere, Global Land"
72,French Polynesia,http://berkeleyearth.lbl.gov/regions/french-polynesia,Global Land
73,French Southern and Antarctic Lands,http://berkeleyearth.lbl.gov/regions/french-southern-and-antarctic-lands,"Southern Hemisphere, Global Land"
74,Gabon,http://berkeleyearth.lbl.gov/regions/gabon,"Middle Africa, Africa, Global Land"
75,Gambia,http://berkeleyearth.lbl.gov/regions/gambia,"Western Africa, Africa, Northern Hemisphere, Global Land"
76,Georgia,http://berkeleyearth.lbl.gov/regions/georgia,"Asia, Northern Hemisphere, Global Land"
77,Germany,http://berkeleyearth.lbl.gov/regions/germany,"Europe, Northern Hemisphere, Global Land"
78,Ghana,http://berkeleyearth.lbl.gov/regions/ghana,"Western Africa, Africa, Northern Hemisphere, Global Land"
79,Greece,http://berkeleyearth.lbl.gov/regions/greece,"Europe, Northern Hemisphere, Global Land"
80,Greenland,http://berkeleyearth.lbl.gov/regions/greenland,"North America, Northern Hemisphere, Global Land"
81,Grenada,http://berkeleyearth.lbl.gov/regions/grenada,Global Land
82,Guadeloupe,http://berkeleyearth.lbl.gov/regions/guadeloupe,"Caribbean, North America, Northern Hemisphere, Global Land"
83,Guam,http://berkeleyearth.lbl.gov/regions/guam,Global Land
84,Guatemala,http://berkeleyearth.lbl.gov/regions/guatemala,"Central America, North America, Northern Hemisphere, Global Land"
85,Guernsey,http://berkeleyearth.lbl.gov/regions/guernsey,"Europe, Northern Hemisphere, Global Land"
86,Guinea,http://berkeleyearth.lbl.gov/regions/guinea,"Western Africa, Africa, Northern Hemisphere, Global Land"
87,Guinea-Bissau,http://berkeleyearth.lbl.gov/regions/guinea-bissau,"Western Africa, Africa, Northern Hemisphere, Global Land"
88,Guyana,http://berkeleyearth.lbl.gov/regions/guyana,"South America, Northern Hemisphere, Global Land"
89,Haiti,http://berkeleyearth.lbl.gov/regions/haiti,"Caribbean, North America, Northern Hemisphere, Global Land"
90,Heard Island and McDonald Islands,http://berkeleyearth.lbl.gov/regions/heard-island-and-mcdonald-islands,Global Land
91,Honduras,http://berkeleyearth.lbl.gov/regions/honduras,"Central America, North America, Northern Hemisphere, Global Land"
92,Hong Kong,http://berkeleyearth.lbl.gov/regions/hong-kong,"Eastern Asia, Asia, Northern Hemisphere, Global Land"
93,Hungary,http://berkeleyearth.lbl.gov/regions/hungary,"Europe, Northern Hemisphere, Global Land"
94,Iceland,http://berkeleyearth.lbl.gov/regions/iceland,"Europe, Northern Hemisphere, Global Land"
95,India,http://berkeleyearth.lbl.gov/regions/india,"Southern Asia, Asia, Northern Hemisphere, Global Land"
96,Indonesia,http://berkeleyearth.lbl.gov/regions/indonesia,"South-Eastern Asia, Asia, Global Land"
97,Iran,http://berkeleyearth.lbl.gov/regions/iran,"Southern Asia, Asia, Northern Hemisphere, Global Land"
98,Iraq,http://berkeleyearth.lbl.gov/regions/iraq,"Asia, Northern Hemisphere, Global Land"
99,Ireland,http://berkeleyearth.lbl.gov/regions/ireland,"Europe, Northern Hemisphere, Global Land"
100,Isle of Man,http://berkeleyearth.lbl.gov/regions/isle-of-man,"Europe, Northern Hemisphere, Global Land"
101,Israel,http://berkeleyearth.lbl.gov/regions/israel,"Asia, Northern Hemisphere, Global Land"
102,Italy,http://berkeleyearth.lbl.gov/regions/italy,"Europe, Northern Hemisphere, Global Land"
103,Jamaica,http://berkeleyearth.lbl.gov/regions/jamaica,"Caribbean, North America, Northern Hemisphere, Global Land"
104,Japan,http://berkeleyearth.lbl.gov/regions/japan,"Eastern Asia, Asia, Northern Hemisphere, Global Land"
105,Jersey,http://berkeleyearth.lbl.gov/regions/jersey,"Europe, Northern Hemisphere, Global Land"
106,Jordan,http://berkeleyearth.lbl.gov/regions/jordan,"Asia, Northern Hemisphere, Global Land"
107,Kazakhstan,http://berkeleyearth.lbl.gov/regions/kazakhstan,"Central Asia, Asia, Northern Hemisphere, Global Land"
108,Kenya,http://berkeleyearth.lbl.gov/regions/kenya,"Eastern Africa, Africa, Global Land"
109,Kiribati,http://berkeleyearth.lbl.gov/regions/kiribati,Global Land
110,Kuwait,http://berkeleyearth.lbl.gov/regions/kuwait,"Asia, Northern Hemisphere, Global Land"
111,Kyrgyzstan,http://berkeleyearth.lbl.gov/regions/kyrgyzstan,"Asia, Northern Hemisphere, Global Land"
112,Laos,http://berkeleyearth.lbl.gov/regions/laos,"South-Eastern Asia, Asia, Northern Hemisphere, Global Land"
113,Latvia,http://berkeleyearth.lbl.gov/regions/latvia,"Europe, Northern Hemisphere, Global Land"
114,Lebanon,http://berkeleyearth.lbl.gov/regions/lebanon,"Asia, Northern Hemisphere, Global Land"
115,Lesotho,http://berkeleyearth.lbl.gov/regions/lesotho,"Southern Africa, Africa, Southern Hemisphere, Global Land"
116,Liberia,http://berkeleyearth.lbl.gov/regions/liberia,"Western Africa, Africa, Northern Hemisphere, Global Land"
117,Libya,http://berkeleyearth.lbl.gov/regions/libya,"Northern Africa, Africa, Northern Hemisphere, Global Land"
118,Liechtenstein,http://berkeleyearth.lbl.gov/regions/liechtenstein,"Europe, Northern Hemisphere, Global Land"
119,Lithuania,http://berkeleyearth.lbl.gov/regions/lithuania,"Europe, Northern Hemisphere, Global Land"
120,Luxembourg,http://berkeleyearth.lbl.gov/regions/luxembourg,"Europe, Northern Hemisphere, Global Land"
121,Macau,http://berkeleyearth.lbl.gov/regions/macau,"Eastern Asia, Asia, Northern Hemisphere, Global Land"
122,Macedonia,http://berkeleyearth.lbl.gov/regions/macedonia,"Europe, Northern Hemisphere, Global Land"
123,Madagascar,http://berkeleyearth.lbl.gov/regions/madagascar,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
124,Malawi,http://berkeleyearth.lbl.gov/regions/malawi,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
125,Malaysia,http://berkeleyearth.lbl.gov/regions/malaysia,"South-Eastern Asia, Asia, Northern Hemisphere, Global Land"
126,Mali,http://berkeleyearth.lbl.gov/regions/mali,"Western Africa, Africa, Northern Hemisphere, Global Land"
127,Malta,http://berkeleyearth.lbl.gov/regions/malta,Global Land
