,Region,Link
0,Northern Africa,http://berkeleyearth.lbl.gov/regions/northern-africa
1,Africa,http://berkeleyearth.lbl.gov/regions/africa
2,Global Land,http://berkeleyearth.lbl.gov/regions/global-land
3,Southern Asia,http://berkeleyearth.lbl.gov/regions/southern-asia
4,Eastern Africa,http://berkeleyearth.lbl.gov/regions/eastern-africa
5,Western Africa,http://berkeleyearth.lbl.gov/regions/western-africa
6,Oceania,http://berkeleyearth.lbl.gov/regions/oceania
7,South America,http://berkeleyearth.lbl.gov/regions/south-america
8,Central America,http://berkeleyearth.lbl.gov/regions/central-america
9,Eastern Asia,http://berkeleyearth.lbl.gov/regions/eastern-asia
10,Southern Hemisphere,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
11,Asia,http://berkeleyearth.lbl.gov/regions/asia
12,Southern Africa,http://berkeleyearth.lbl.gov/regions/southern-africa
13,South-Eastern Asia,http://berkeleyearth.lbl.gov/regions/south-eastern-asia
14,North America,http://berkeleyearth.lbl.gov/regions/north-america
15,Middle Africa,http://berkeleyearth.lbl.gov/regions/middle-africa
16,Northern Hemisphere,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
17,Melanesia,http://berkeleyearth.lbl.gov/regions/melanesia
18,Caribbean,http://berkeleyearth.lbl.gov/regions/caribbean
19,Europe,http://berkeleyearth.lbl.gov/regions/europe
20,Central Asia,http://berkeleyearth.lbl.gov/regions/central-asia
21,Polynesia,http://berkeleyearth.lbl.gov/regions/polynesia
