,Temp,Map
0,Afghanistan,Afghanistan
1,Albania,Akrotiri
2,Algeria,Albania
3,American Samoa,Algeria
4,Andorra,American Samoa
5,Angola,Andorra
6,Anguilla,Angola
7,Antarctica,Anguilla
8,Antigua and Barbuda,Antarctica
9,Argentina,Antigua and Barbuda
10,Armenia,Argentina
11,Aruba,Armenia
12,Australia,Aruba
13,Austria,Ashmore and Cartier Is.
14,Azerbaijan,Australia
15,Bahamas,Austria
16,Bahrain,Azerbaijan
17,Bangladesh,Bahamas
18,Barbados,Bahrain
19,Belarus,Baikonur
20,Belgium,Bajo Nuevo Bank
21,Belize,Bangladesh
22,Benin,Barbados
23,Bhutan,Belarus
24,Bolivia,Belgium
25,Bosnia and Herzegovina,Belize
26,Botswana,Benin
27,Brazil,Bermuda
28,British Virgin Islands,Bhutan
29,Bulgaria,Bolivia
30,Burkina Faso,Bosnia and Herzegovina
31,Burundi,Botswana
32,Cambodia,Br. Indian Ocean Ter.
33,Cameroon,Brazil
34,Canada,British Virgin Islands
35,Cape Verde,Brunei
36,Cayman Islands,Bulgaria
37,Central African Republic,Burkina Faso
38,Chad,Burundi
39,Chile,Cambodia
40,China,Cameroon
41,Colombia,Canada
42,Comoros,Cape Verde
43,Congo,Cayman Islands
44,Costa Rica,Central African Republic
45,Croatia,Chad
46,Cuba,Chile
47,Curaçao,China
48,Cyprus,Clipperton I.
49,Czechia,Colombia
50,Côte d'Ivoire,Comoros
51,Dem. Rep. Congo,Congo
52,Denmark,Cook Is.
53,Djibouti,Coral Sea Is.
54,Dominica,Costa Rica
55,Dominican Republic,Croatia
56,Ecuador,Cuba
57,Egypt,Curaçao
58,El Salvador,Cyprus
59,Equatorial Guinea,Cyprus U.N. Buffer Zone
60,Eritrea,Czechia
61,Estonia,Côte d'Ivoire
62,Ethiopia,Dem. Rep. Congo
63,Falkland Islands (Islas Malvinas),Denmark
64,Faroe Islands,Dhekelia
65,Fiji,Djibouti
66,Finland,Dominica
67,France,Dominican Republic
68,French Guiana,Ecuador
69,French Polynesia,Egypt
70,French Southern and Antarctic Lands,El Salvador
71,Gabon,Equatorial Guinea
72,Gambia,Eritrea
73,Georgia,Estonia
74,Germany,Ethiopia
75,Ghana,Falkland Islands (Islas Malvinas)
76,Greece,Faroe Islands
77,Greenland,Fiji
78,Grenada,Finland
79,Guadeloupe,France
80,Guam,French Guiana
81,Guatemala,French Polynesia
82,Guernsey,French Southern and Antarctic Lands
83,Guinea,Gabon
84,Guinea-Bissau,Gambia
85,Guyana,Georgia
86,Haiti,Germany
87,Heard Island and McDonald Islands,Ghana
