,Country,Link,Generalization
0,Afghanistan,http://berkeleyearth.lbl.gov/regions/afghanistan,"['Southern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
1,Åland,http://berkeleyearth.lbl.gov/regions/åland,"['Europe', 'Northern Hemisphere', 'Global Land']"
2,Albania,http://berkeleyearth.lbl.gov/regions/albania,"['Europe', 'Northern Hemisphere', 'Global Land']"
3,Algeria,http://berkeleyearth.lbl.gov/regions/algeria,"['Northern Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
4,American Samoa,http://berkeleyearth.lbl.gov/regions/american-samoa,[]
5,Andorra,http://berkeleyearth.lbl.gov/regions/andorra,"['Europe', 'Northern Hemisphere', 'Global Land']"
6,Angola,http://berkeleyearth.lbl.gov/regions/angola,"['Middle Africa', 'Africa', 'Southern Hemisphere', 'Global Land']"
7,Anguilla,http://berkeleyearth.lbl.gov/regions/anguilla,[]
8,Antarctica,http://berkeleyearth.lbl.gov/regions/antarctica,"['Southern Hemisphere', 'Global Land']"
9,Antigua and Barbuda,http://berkeleyearth.lbl.gov/regions/antigua-and-barbuda,[]
10,Argentina,http://berkeleyearth.lbl.gov/regions/argentina,"['South America', 'Southern Hemisphere', 'Global Land']"
11,Armenia,http://berkeleyearth.lbl.gov/regions/armenia,"['Asia', 'Northern Hemisphere', 'Global Land']"
12,Aruba,http://berkeleyearth.lbl.gov/regions/aruba,"['Caribbean', 'South America', 'Northern Hemisphere', 'Global Land']"
13,Australia,http://berkeleyearth.lbl.gov/regions/australia,"['Oceania', 'Southern Hemisphere', 'Global Land']"
14,Austria,http://berkeleyearth.lbl.gov/regions/austria,"['Europe', 'Northern Hemisphere', 'Global Land']"
15,Azerbaijan,http://berkeleyearth.lbl.gov/regions/azerbaijan,"['Asia', 'Northern Hemisphere', 'Global Land']"
16,Bahamas,http://berkeleyearth.lbl.gov/regions/bahamas,"['Caribbean', 'North America', 'Northern Hemisphere', 'Global Land']"
17,Bahrain,http://berkeleyearth.lbl.gov/regions/bahrain,"['Asia', 'Northern Hemisphere', 'Global Land']"
18,Baker Island,http://berkeleyearth.lbl.gov/regions/baker-island,"['South-Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
19,Bangladesh,http://berkeleyearth.lbl.gov/regions/bangladesh,"['Southern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
20,Barbados,http://berkeleyearth.lbl.gov/regions/barbados,[]
21,Belarus,http://berkeleyearth.lbl.gov/regions/belarus,"['Europe', 'Northern Hemisphere', 'Global Land']"
22,Belgium,http://berkeleyearth.lbl.gov/regions/belgium,"['Europe', 'Northern Hemisphere', 'Global Land']"
23,Belize,http://berkeleyearth.lbl.gov/regions/belize,"['Central America', 'North America', 'Northern Hemisphere', 'Global Land']"
24,Benin,http://berkeleyearth.lbl.gov/regions/benin,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
25,Bhutan,http://berkeleyearth.lbl.gov/regions/bhutan,"['Southern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
26,Bolivia,http://berkeleyearth.lbl.gov/regions/bolivia,"['South America', 'Southern Hemisphere', 'Global Land']"
27,"Bonaire, Saint Eustatius and Saba","http://berkeleyearth.lbl.gov/regions/bonaire,-saint-eustatius-and-saba","['Caribbean', 'South America', 'Northern Hemisphere', 'Global Land']"
28,Bosnia and Herzegovina,http://berkeleyearth.lbl.gov/regions/bosnia-and-herzegovina,"['Europe', 'Northern Hemisphere', 'Global Land']"
29,Botswana,http://berkeleyearth.lbl.gov/regions/botswana,"['Southern Africa', 'Africa', 'Southern Hemisphere', 'Global Land']"
30,Brazil,http://berkeleyearth.lbl.gov/regions/brazil,"['South America', 'Southern Hemisphere', 'Global Land']"
31,British Virgin Islands,http://berkeleyearth.lbl.gov/regions/british-virgin-islands,[]
32,Bulgaria,http://berkeleyearth.lbl.gov/regions/bulgaria,"['Europe', 'Northern Hemisphere', 'Global Land']"
33,Burkina Faso,http://berkeleyearth.lbl.gov/regions/burkina-faso,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
34,Burma,http://berkeleyearth.lbl.gov/regions/burma,"['South-Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
35,Burundi,http://berkeleyearth.lbl.gov/regions/burundi,"['Eastern Africa', 'Africa', 'Southern Hemisphere', 'Global Land']"
36,Cambodia,http://berkeleyearth.lbl.gov/regions/cambodia,"['South-Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
37,Cameroon,http://berkeleyearth.lbl.gov/regions/cameroon,"['Middle Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
38,Canada,http://berkeleyearth.lbl.gov/regions/canada,"['North America', 'Northern Hemisphere', 'Global Land']"
39,Cape Verde,http://berkeleyearth.lbl.gov/regions/cape-verde,[]
40,Cayman Islands,http://berkeleyearth.lbl.gov/regions/cayman-islands,[]
41,Central African Republic,http://berkeleyearth.lbl.gov/regions/central-african-republic,"['Middle Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
42,Chad,http://berkeleyearth.lbl.gov/regions/chad,"['Middle Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
43,Chile,http://berkeleyearth.lbl.gov/regions/chile,"['South America', 'Southern Hemisphere', 'Global Land']"
44,China,http://berkeleyearth.lbl.gov/regions/china,"['Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
45,Christmas Island,http://berkeleyearth.lbl.gov/regions/christmas-island,[]
46,Colombia,http://berkeleyearth.lbl.gov/regions/colombia,"['South America', 'Global Land']"
47,Comoros,http://berkeleyearth.lbl.gov/regions/comoros,[]
48,Congo,http://berkeleyearth.lbl.gov/regions/congo,"['Middle Africa', 'Africa', 'Global Land']"
49,Congo (Democratic Republic of the),http://berkeleyearth.lbl.gov/regions/congo-(democratic-republic-of-the),"['Middle Africa', 'Africa', 'Global Land']"
50,Costa Rica,http://berkeleyearth.lbl.gov/regions/costa-rica,"['Central America', 'North America', 'Northern Hemisphere', 'Global Land']"
51,Côte d'Ivoire,http://berkeleyearth.lbl.gov/regions/côte-d'ivoire,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
52,Croatia,http://berkeleyearth.lbl.gov/regions/croatia,"['Europe', 'Northern Hemisphere', 'Global Land']"
53,Cuba,http://berkeleyearth.lbl.gov/regions/cuba,"['Caribbean', 'North America', 'Northern Hemisphere', 'Global Land']"
54,Curaçao,http://berkeleyearth.lbl.gov/regions/curaçao,"['Caribbean', 'South America', 'Northern Hemisphere', 'Global Land']"
55,Cyprus,http://berkeleyearth.lbl.gov/regions/cyprus,"['Asia', 'Northern Hemisphere', 'Global Land']"
56,Czech Republic,http://berkeleyearth.lbl.gov/regions/czech-republic,"['Europe', 'Northern Hemisphere', 'Global Land']"
57,Denmark,http://berkeleyearth.lbl.gov/regions/denmark,"['North America', 'Northern Hemisphere', 'Global Land']"
58,Denmark (Europe),http://berkeleyearth.lbl.gov/regions/denmark-(europe),"['Europe', 'Northern Hemisphere', 'Global Land']"
59,Djibouti,http://berkeleyearth.lbl.gov/regions/djibouti,"['Eastern Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
60,Dominica,http://berkeleyearth.lbl.gov/regions/dominica,"['Caribbean', 'North America', 'Northern Hemisphere', 'Global Land']"
61,Dominican Republic,http://berkeleyearth.lbl.gov/regions/dominican-republic,"['Caribbean', 'North America', 'Northern Hemisphere', 'Global Land']"
62,Ecuador,http://berkeleyearth.lbl.gov/regions/ecuador,"['South America', 'Global Land']"
63,Egypt,http://berkeleyearth.lbl.gov/regions/egypt,"['Northern Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
64,El Salvador,http://berkeleyearth.lbl.gov/regions/el-salvador,"['Central America', 'North America', 'Northern Hemisphere', 'Global Land']"
65,Equatorial Guinea,http://berkeleyearth.lbl.gov/regions/equatorial-guinea,"['Middle Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
66,Eritrea,http://berkeleyearth.lbl.gov/regions/eritrea,"['Eastern Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
67,Estonia,http://berkeleyearth.lbl.gov/regions/estonia,"['Europe', 'Northern Hemisphere', 'Global Land']"
68,Ethiopia,http://berkeleyearth.lbl.gov/regions/ethiopia,"['Eastern Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
69,Falkland Islands (Islas Malvinas),http://berkeleyearth.lbl.gov/regions/falkland-islands-(islas-malvinas),"['South America', 'Southern Hemisphere', 'Global Land']"
70,Faroe Islands,http://berkeleyearth.lbl.gov/regions/faroe-islands,[]
71,Federated States of Micronesia,http://berkeleyearth.lbl.gov/regions/federated-states-of-micronesia,[]
72,Fiji,http://berkeleyearth.lbl.gov/regions/fiji,"['Melanesia', 'Oceania', 'Southern Hemisphere', 'Global Land']"
73,Finland,http://berkeleyearth.lbl.gov/regions/finland,"['Europe', 'Northern Hemisphere', 'Global Land']"
74,France,http://berkeleyearth.lbl.gov/regions/france,"['Northern Hemisphere', 'Global Land']"
75,France (Europe),http://berkeleyearth.lbl.gov/regions/france-(europe),"['Europe', 'Northern Hemisphere', 'Global Land']"
76,French Guiana,http://berkeleyearth.lbl.gov/regions/french-guiana,"['South America', 'Northern Hemisphere', 'Global Land']"
77,French Polynesia,http://berkeleyearth.lbl.gov/regions/french-polynesia,[]
78,French Southern and Antarctic Lands,http://berkeleyearth.lbl.gov/regions/french-southern-and-antarctic-lands,"['Southern Hemisphere', 'Global Land']"
79,Gabon,http://berkeleyearth.lbl.gov/regions/gabon,"['Middle Africa', 'Africa', 'Global Land']"
80,Gambia,http://berkeleyearth.lbl.gov/regions/gambia,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
81,Gaza Strip,http://berkeleyearth.lbl.gov/regions/gaza-strip,"['Asia', 'Northern Hemisphere', 'Global Land']"
82,Georgia,http://berkeleyearth.lbl.gov/regions/georgia,"['Asia', 'Northern Hemisphere', 'Global Land']"
83,Germany,http://berkeleyearth.lbl.gov/regions/germany,"['Europe', 'Northern Hemisphere', 'Global Land']"
84,Ghana,http://berkeleyearth.lbl.gov/regions/ghana,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
85,Greece,http://berkeleyearth.lbl.gov/regions/greece,"['Europe', 'Northern Hemisphere', 'Global Land']"
86,Greenland,http://berkeleyearth.lbl.gov/regions/greenland,"['North America', 'Northern Hemisphere', 'Global Land']"
87,Grenada,http://berkeleyearth.lbl.gov/regions/grenada,[]
88,Guadeloupe,http://berkeleyearth.lbl.gov/regions/guadeloupe,"['Caribbean', 'North America', 'Northern Hemisphere', 'Global Land']"
89,Guam,http://berkeleyearth.lbl.gov/regions/guam,[]
90,Guatemala,http://berkeleyearth.lbl.gov/regions/guatemala,"['Central America', 'North America', 'Northern Hemisphere', 'Global Land']"
91,Guernsey,http://berkeleyearth.lbl.gov/regions/guernsey,"['Europe', 'Northern Hemisphere', 'Global Land']"
92,Guinea,http://berkeleyearth.lbl.gov/regions/guinea,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
93,Guinea-Bissau,http://berkeleyearth.lbl.gov/regions/guinea-bissau,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
94,Guyana,http://berkeleyearth.lbl.gov/regions/guyana,"['South America', 'Northern Hemisphere', 'Global Land']"
95,Haiti,http://berkeleyearth.lbl.gov/regions/haiti,"['Caribbean', 'North America', 'Northern Hemisphere', 'Global Land']"
96,Heard Island and McDonald Islands,http://berkeleyearth.lbl.gov/regions/heard-island-and-mcdonald-islands,[]
97,Honduras,http://berkeleyearth.lbl.gov/regions/honduras,"['Central America', 'North America', 'Northern Hemisphere', 'Global Land']"
98,Hong Kong,http://berkeleyearth.lbl.gov/regions/hong-kong,"['Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
99,Hungary,http://berkeleyearth.lbl.gov/regions/hungary,"['Europe', 'Northern Hemisphere', 'Global Land']"
100,Iceland,http://berkeleyearth.lbl.gov/regions/iceland,"['Europe', 'Northern Hemisphere', 'Global Land']"
101,India,http://berkeleyearth.lbl.gov/regions/india,"['Southern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
102,Indonesia,http://berkeleyearth.lbl.gov/regions/indonesia,"['South-Eastern Asia', 'Asia', 'Global Land']"
103,Iran,http://berkeleyearth.lbl.gov/regions/iran,"['Southern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
104,Iraq,http://berkeleyearth.lbl.gov/regions/iraq,"['Asia', 'Northern Hemisphere', 'Global Land']"
105,Ireland,http://berkeleyearth.lbl.gov/regions/ireland,"['Europe', 'Northern Hemisphere', 'Global Land']"
106,Isle of Man,http://berkeleyearth.lbl.gov/regions/isle-of-man,"['Europe', 'Northern Hemisphere', 'Global Land']"
107,Israel,http://berkeleyearth.lbl.gov/regions/israel,"['Asia', 'Northern Hemisphere', 'Global Land']"
108,Italy,http://berkeleyearth.lbl.gov/regions/italy,"['Europe', 'Northern Hemisphere', 'Global Land']"
109,Jamaica,http://berkeleyearth.lbl.gov/regions/jamaica,"['Caribbean', 'North America', 'Northern Hemisphere', 'Global Land']"
110,Japan,http://berkeleyearth.lbl.gov/regions/japan,"['Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
111,Jersey,http://berkeleyearth.lbl.gov/regions/jersey,"['Europe', 'Northern Hemisphere', 'Global Land']"
112,Jordan,http://berkeleyearth.lbl.gov/regions/jordan,"['Asia', 'Northern Hemisphere', 'Global Land']"
113,Kazakhstan,http://berkeleyearth.lbl.gov/regions/kazakhstan,"['Central Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
114,Kenya,http://berkeleyearth.lbl.gov/regions/kenya,"['Eastern Africa', 'Africa', 'Global Land']"
115,Kingman Reef,http://berkeleyearth.lbl.gov/regions/kingman-reef,[]
116,Kiribati,http://berkeleyearth.lbl.gov/regions/kiribati,[]
