Region,Link
Central Asia,http://berkeleyearth.lbl.gov/regions/central-asia
Melanesia,http://berkeleyearth.lbl.gov/regions/melanesia
South America,http://berkeleyearth.lbl.gov/regions/south-america
Eastern Africa,http://berkeleyearth.lbl.gov/regions/eastern-africa
Southern Hemisphere,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
Western Africa,http://berkeleyearth.lbl.gov/regions/western-africa
Central America,http://berkeleyearth.lbl.gov/regions/central-america
Northern Hemisphere,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Global Land,http://berkeleyearth.lbl.gov/regions/global-land
Middle Africa,http://berkeleyearth.lbl.gov/regions/middle-africa
Oceania,http://berkeleyearth.lbl.gov/regions/oceania
Southern Asia,http://berkeleyearth.lbl.gov/regions/southern-asia
Eastern Asia,http://berkeleyearth.lbl.gov/regions/eastern-asia
North America,http://berkeleyearth.lbl.gov/regions/north-america
South-Eastern Asia,http://berkeleyearth.lbl.gov/regions/south-eastern-asia
Europe,http://berkeleyearth.lbl.gov/regions/europe
Caribbean,http://berkeleyearth.lbl.gov/regions/caribbean
Asia,http://berkeleyearth.lbl.gov/regions/asia
Africa,http://berkeleyearth.lbl.gov/regions/africa
Northern Africa,http://berkeleyearth.lbl.gov/regions/northern-africa
Southern Africa,http://berkeleyearth.lbl.gov/regions/southern-africa
Polynesia,http://berkeleyearth.lbl.gov/regions/polynesia
