,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1808,10,-1.260,2.474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1808,11,-1.926,2.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1808,12,-2.767,2.933,-1.184,1.312,NaN,NaN,NaN,NaN,NaN,NaN
3,1809,1,-2.225,2.455,-1.338,1.412,NaN,NaN,NaN,NaN,NaN,NaN
4,1809,2,-2.547,2.261,-1.362,1.463,NaN,NaN,NaN,NaN,NaN,NaN
5,1809,3,-1.959,2.836,-1.549,1.539,NaN,NaN,NaN,NaN,NaN,NaN
6,1809,4,-0.035,3.043,-1.501,1.565,NaN,NaN,NaN,NaN,NaN,NaN
7,1809,5,-2.242,2.892,-1.608,1.575,NaN,NaN,NaN,NaN,NaN,NaN
8,1809,6,-0.250,2.487,-1.553,1.645,NaN,NaN,NaN,NaN,NaN,NaN
9,1809,7,-1.644,2.892,-1.507,1.717,NaN,NaN,NaN,NaN,NaN,NaN
10,1809,8,-1.001,2.459,-1.328,1.857,NaN,NaN,NaN,NaN,NaN,NaN
11,1809,9,-0.728,2.150,-1.134,1.747,NaN,NaN,NaN,NaN,NaN,NaN
12,1809,10,-0.688,3.077,-1.238,1.761,NaN,NaN,NaN,NaN,NaN,NaN
13,1809,11,-3.206,2.862,-1.215,1.871,NaN,NaN,NaN,NaN,NaN,NaN
14,1809,12,-2.113,3.699,-1.311,1.968,-1.372,1.159,NaN,NaN,NaN,NaN
15,1810,1,-1.667,2.733,-1.297,1.953,-1.364,1.142,NaN,NaN,NaN,NaN
16,1810,2,-0.403,2.645,-1.360,1.957,-1.346,1.134,NaN,NaN,NaN,NaN
17,1810,3,0.364,2.057,-1.485,2.132,-1.400,1.135,NaN,NaN,NaN,NaN
18,1810,4,-1.280,3.436,-1.676,2.047,-1.424,1.149,NaN,NaN,NaN,NaN
19,1810,5,-1.962,3.902,-1.604,1.943,-1.445,1.178,NaN,NaN,NaN,NaN
20,1810,6,-1.406,3.195,-1.520,1.699,-1.491,1.188,NaN,NaN,NaN,NaN
21,1810,7,-1.478,2.307,-1.508,1.651,-1.543,1.239,NaN,NaN,NaN,NaN
22,1810,8,-1.751,2.651,-1.736,1.678,-1.556,1.216,NaN,NaN,NaN,NaN
23,1810,9,-2.231,3.312,-1.978,1.783,-1.600,1.184,NaN,NaN,NaN,NaN
24,1810,10,-2.978,2.207,-2.063,1.658,-1.598,1.153,NaN,NaN,NaN,NaN
25,1810,11,-2.347,2.443,-2.067,1.544,-1.554,1.131,NaN,NaN,NaN,NaN
26,1810,12,-1.096,2.381,-2.088,1.511,-1.556,1.131,NaN,NaN,NaN,NaN
27,1811,1,-1.532,2.562,-2.154,1.609,-1.563,1.125,NaN,NaN,NaN,NaN
28,1811,2,-3.135,3.202,-2.014,1.560,-1.568,1.125,NaN,NaN,NaN,NaN
29,1811,3,-2.543,5.150,-1.946,1.494,-1.591,1.139,NaN,NaN,NaN,NaN
30,1811,4,-2.294,2.355,-1.872,1.512,-1.575,1.113,NaN,NaN,NaN,NaN
31,1811,5,-2.019,2.670,-1.924,1.544,-1.527,1.106,NaN,NaN,NaN,NaN
32,1811,6,-1.655,2.750,-1.872,1.586,-1.499,1.086,NaN,NaN,NaN,NaN
33,1811,7,-2.266,3.404,-1.873,1.596,-1.461,1.073,NaN,NaN,NaN,NaN
34,1811,8,-0.077,2.501,-1.889,1.587,-1.446,1.107,NaN,NaN,NaN,NaN
35,1811,9,-1.406,2.964,-1.925,1.550,-1.447,1.111,NaN,NaN,NaN,NaN
36,1811,10,-2.096,3.641,-1.836,1.577,-1.463,1.088,NaN,NaN,NaN,NaN
37,1811,11,-2.967,2.318,-1.827,1.442,-1.457,1.051,NaN,NaN,NaN,NaN
38,1811,12,-0.475,2.393,-1.797,1.411,-1.467,1.032,NaN,NaN,NaN,NaN
39,1812,1,-1.548,4.955,-1.579,1.338,-1.475,0.985,NaN,NaN,NaN,NaN
40,1812,2,-3.319,3.458,-1.482,1.350,-1.477,0.960,NaN,NaN,NaN,NaN
41,1812,3,-2.976,2.643,-1.509,1.276,-1.487,0.957,NaN,NaN,NaN,NaN
42,1812,4,-1.224,3.645,-1.463,1.167,-1.506,0.916,NaN,NaN,NaN,NaN
43,1812,5,-1.921,2.228,-1.303,1.283,-1.464,0.895,NaN,NaN,NaN,NaN
44,1812,6,-1.285,2.136,-1.434,1.306,-1.392,0.857,NaN,NaN,NaN,NaN
45,1812,7,0.341,2.215,-1.697,1.007,-1.370,0.857,NaN,NaN,NaN,NaN
46,1812,8,1.087,2.282,-1.622,0.996,-1.390,0.842,-1.347,0.685,NaN,NaN
47,1812,9,-1.722,2.944,-1.720,1.037,-1.435,0.849,-1.386,0.688,NaN,NaN
48,1812,10,-1.545,2.238,-1.682,1.131,-1.442,0.811,-1.408,0.695,NaN,NaN
49,1812,11,-1.053,3.426,-1.484,1.203,-1.431,0.748,-1.424,0.709,NaN,NaN
50,1812,12,-2.039,2.546,-1.398,1.197,-1.442,0.718,-1.448,0.714,NaN,NaN
51,1813,1,-4.702,3.194,-1.447,1.198,-1.416,0.721,-1.455,0.740,NaN,NaN
52,1813,2,-2.418,2.344,-1.624,1.143,-1.403,0.704,-1.468,0.734,NaN,NaN
53,1813,3,-4.158,2.553,-1.468,1.105,-1.376,0.679,-1.452,0.721,NaN,NaN
54,1813,4,-0.769,2.516,-1.363,1.101,-1.360,0.665,-1.430,0.701,NaN,NaN
55,1813,5,0.457,4.200,-1.195,1.187,-1.346,0.678,-1.410,0.687,NaN,NaN
56,1813,6,-0.249,2.289,-1.119,1.169,-1.371,0.669,-1.410,0.687,NaN,NaN
57,1813,7,-0.251,2.086,-0.718,1.162,-1.349,0.684,-1.421,0.687,NaN,NaN
58,1813,8,-1.040,2.151,-0.655,1.162,-1.337,0.654,-1.420,0.682,NaN,NaN
59,1813,9,0.155,2.683,-0.477,1.249,-1.315,0.629,-1.443,0.686,NaN,NaN
60,1813,10,-0.294,2.314,-0.498,1.221,-1.295,0.619,-1.452,0.681,NaN,NaN
61,1813,11,0.967,2.601,-0.694,1.157,-1.272,0.605,-1.446,0.679,NaN,NaN
62,1813,12,-1.127,3.177,-0.743,1.091,-1.272,0.594,-1.433,0.665,NaN,NaN
63,1814,1,0.108,2.765,-0.896,0.988,-1.269,0.581,-1.435,0.670,NaN,NaN
64,1814,2,-1.656,2.822,-0.902,0.921,-1.289,0.580,-1.420,0.676,NaN,NaN
65,1814,3,-2.025,3.211,-1.026,0.942,-1.291,0.573,-1.410,0.659,NaN,NaN
66,1814,4,-1.016,2.216,-1.155,0.910,-1.319,0.551,-1.419,0.645,NaN,NaN
67,1814,5,-1.896,3.248,-1.295,0.956,-1.293,0.548,-1.415,0.630,NaN,NaN
68,1814,6,-0.846,1.930,-1.014,1.090,-1.337,0.553,-1.431,0.621,NaN,NaN
69,1814,7,-2.080,2.995,-1.052,1.053,-1.343,0.545,-1.433,0.616,NaN,NaN
70,1814,8,-1.112,2.300,-1.049,1.226,-1.294,0.568,-1.440,0.609,NaN,NaN
71,1814,9,-1.330,2.217,-1.076,1.117,NaN,NaN,-1.446,0.615,NaN,NaN
72,1814,10,-1.845,2.548,-1.133,1.107,NaN,NaN,-1.437,0.598,NaN,NaN
73,1814,11,-0.710,3.760,-1.085,1.206,NaN,NaN,-1.410,0.593,NaN,NaN
74,1814,12,2.238,4.584,-1.186,1.206,NaN,NaN,-1.402,0.572,NaN,NaN
75,1815,1,-0.351,2.254,-1.002,1.283,NaN,NaN,-1.395,0.565,NaN,NaN
76,1815,2,-1.620,4.139,-0.993,1.398,NaN,NaN,-1.402,0.560,NaN,NaN
77,1815,3,-2.347,3.063,-0.935,1.331,NaN,NaN,-1.407,0.555,NaN,NaN
78,1815,4,-1.696,2.221,-0.947,1.187,NaN,NaN,-1.396,0.546,NaN,NaN
79,1815,5,-1.315,2.849,-1.012,1.036,NaN,NaN,-1.375,0.530,NaN,NaN
80,1815,6,-2.059,2.099,-1.418,0.861,NaN,NaN,-1.365,0.517,NaN,NaN
81,1815,7,0.123,3.164,-1.403,0.897,NaN,NaN,-1.361,0.513,NaN,NaN
82,1815,8,-1.000,2.424,-1.472,0.875,NaN,NaN,-1.360,0.502,NaN,NaN
83,1815,9,-0.632,2.161,NaN,NaN,NaN,NaN,-1.347,0.490,NaN,NaN
84,1815,10,-1.997,2.719,NaN,NaN,NaN,NaN,-1.349,0.493,NaN,NaN
85,1815,11,-1.483,2.262,NaN,NaN,NaN,NaN,-1.337,0.488,NaN,NaN
86,1815,12,NaN,NaN,NaN,NaN,NaN,NaN,-1.344,0.489,-1.071,0.515
87,1816,1,NaN,NaN,NaN,NaN,NaN,NaN,-1.331,0.498,-1.071,0.513
88,1816,2,NaN,NaN,NaN,NaN,NaN,NaN,-1.304,0.503,-1.081,0.506
89,1816,3,NaN,NaN,NaN,NaN,NaN,NaN,-1.275,0.493,-1.085,0.509
90,1816,4,NaN,NaN,NaN,NaN,NaN,NaN,-1.261,0.491,-1.088,0.505
91,1816,5,NaN,NaN,NaN,NaN,NaN,NaN,-1.240,0.481,-1.091,0.506
92,1816,6,NaN,NaN,NaN,NaN,NaN,NaN,-1.242,0.470,-1.092,0.506
93,1816,7,NaN,NaN,NaN,NaN,NaN,NaN,-1.241,0.470,-1.091,0.506
94,1816,8,NaN,NaN,NaN,NaN,NaN,NaN,-1.255,0.471,-1.096,0.506
95,1816,9,NaN,NaN,NaN,NaN,NaN,NaN,-1.259,0.470,-1.100,0.502
96,1816,10,NaN,NaN,NaN,NaN,NaN,NaN,-1.253,0.465,-1.101,0.508
97,1816,11,NaN,NaN,NaN,NaN,NaN,NaN,-1.241,0.461,-1.093,0.510
98,1816,12,NaN,NaN,NaN,NaN,NaN,NaN,-1.241,0.462,-1.088,0.512
99,1817,1,NaN,NaN,NaN,NaN,NaN,NaN,-1.228,0.449,-1.076,0.515
100,1817,2,NaN,NaN,NaN,NaN,NaN,NaN,-1.209,0.451,-1.071,0.514
101,1817,3,NaN,NaN,NaN,NaN,NaN,NaN,-1.181,0.456,-1.064,0.519
102,1817,4,NaN,NaN,NaN,NaN,NaN,NaN,-1.178,0.463,-1.057,0.517
103,1817,5,-2.378,2.071,NaN,NaN,NaN,NaN,-1.174,0.461,-1.049,0.515
104,1817,6,-2.449,2.129,NaN,NaN,NaN,NaN,-1.165,0.456,-1.047,0.517
105,1817,7,-2.127,2.091,-1.820,0.993,NaN,NaN,-1.171,0.456,-1.044,0.514
106,1817,8,-0.351,2.160,-2.054,0.955,NaN,NaN,-1.186,0.452,-1.043,0.512
107,1817,9,-3.206,2.070,-1.951,0.956,NaN,NaN,-1.183,0.451,-1.055,0.513
108,1817,10,-2.767,2.435,-1.711,0.895,NaN,NaN,-1.186,0.450,-1.055,0.514
109,1817,11,-1.646,2.631,-1.496,0.912,NaN,NaN,-1.193,0.448,-1.053,0.517
110,1817,12,-2.179,2.457,NaN,NaN,NaN,NaN,-1.202,0.449,-1.060,0.517
111,1818,1,-2.464,2.854,NaN,NaN,NaN,NaN,-1.168,0.449,-1.065,0.522
112,1818,2,-3.191,2.163,NaN,NaN,NaN,NaN,-1.148,0.447,-1.067,0.517
113,1818,3,NaN,NaN,NaN,NaN,NaN,NaN,-1.112,0.450,-1.057,0.510
114,1818,4,NaN,NaN,NaN,NaN,NaN,NaN,-1.111,0.448,-1.051,0.501
115,1818,5,NaN,NaN,NaN,NaN,NaN,NaN,-1.118,0.447,-1.042,0.493
116,1818,6,NaN,NaN,NaN,NaN,NaN,NaN,-1.111,0.443,-1.038,0.490
117,1818,7,NaN,NaN,NaN,NaN,NaN,NaN,-1.109,0.442,-1.036,0.490
118,1818,8,NaN,NaN,NaN,NaN,NaN,NaN,-1.109,0.440,-1.033,0.489
119,1818,9,NaN,NaN,NaN,NaN,NaN,NaN,-1.130,0.441,-1.048,0.490
120,1818,10,NaN,NaN,NaN,NaN,NaN,NaN,-1.146,0.443,-1.049,0.489
121,1818,11,NaN,NaN,NaN,NaN,NaN,NaN,-1.171,0.441,-1.042,0.488
122,1818,12,NaN,NaN,NaN,NaN,NaN,NaN,-1.170,0.437,-1.036,0.493
