,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.381,1.937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-1.336,2.185,-0.654,0.801,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,NaN,NaN,-0.637,0.816,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.385,1.825,-0.575,0.815,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.655,1.844,-0.783,0.817,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.060,1.893,-0.755,0.824,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.582,1.937,-0.807,0.830,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.620,1.850,-0.964,0.799,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,NaN,NaN,-1.014,0.771,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.761,1.810,-1.180,0.762,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.915,1.863,-1.126,0.739,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.891,1.970,-1.190,0.740,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-2.008,1.979,-1.120,0.709,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.216,1.957,-1.086,0.707,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.973,1.852,-1.071,0.694,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.615,1.805,-1.120,0.699,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.996,1.850,-1.095,0.712,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.712,1.898,-1.075,0.731,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.421,1.906,-1.063,0.745,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,1.023,1.809,-0.683,0.736,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.158,1.784,-0.735,0.739,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.346,1.845,-0.697,0.719,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.617,1.880,-0.672,0.699,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.649,2.151,-0.491,0.683,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.869,2.096,-0.534,0.688,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.346,1.939,-0.719,0.702,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.350,1.781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.159,1.832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.698,1.803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.467,1.767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.897,1.846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-1.194,1.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.374,1.817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.671,1.857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.553,2.024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-1.474,1.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.593,1.822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,0.944,1.759,-0.349,0.765,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.211,1.881,-0.344,0.765,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.196,1.702,-0.444,0.759,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,0.911,1.865,-0.531,0.760,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.631,1.896,-0.499,0.766,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-0.741,1.771,-0.615,0.760,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.675,1.738,-0.914,0.746,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.316,1.743,-0.806,0.770,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.866,1.755,-0.756,0.787,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-2.602,2.231,-0.748,0.775,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-1.084,1.845,-0.781,0.774,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-2.986,1.801,-0.735,0.782,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-2.643,1.701,-0.752,0.786,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,1.507,1.880,-0.648,0.789,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.796,1.767,-0.480,0.812,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,0.997,1.796,-0.300,0.782,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,0.236,1.948,-0.443,0.780,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,-0.181,1.822,-0.516,0.802,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-0.886,1.760,-0.365,0.794,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,0.938,1.882,-0.281,0.826,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,0.150,2.327,-0.318,0.793,NaN,NaN,NaN,NaN,NaN,NaN
