,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.463,0.656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.905,2.314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.227,1.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.104,2.042,-0.700,0.491,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.377,1.499,-0.590,0.442,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,NaN,NaN,-0.419,0.455,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,0.286,1.243,-0.387,0.542,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-0.757,2.043,-0.344,0.468,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.013,1.745,-0.313,0.498,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.290,0.750,-0.266,0.637,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.467,1.628,-0.234,0.708,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,0.072,2.465,-0.213,0.736,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.082,2.119,-0.231,0.892,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.380,1.486,-0.213,0.881,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.140,1.612,-0.231,0.961,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.668,1.884,-0.215,1.014,NaN,NaN,NaN,NaN,NaN,NaN
16,1825,5,0.003,1.429,-0.184,1.096,NaN,NaN,NaN,NaN,NaN,NaN
17,1825,6,0.269,0.774,-0.230,1.046,NaN,NaN,NaN,NaN,NaN,NaN
18,1825,7,0.065,2.624,-0.300,1.055,-0.480,0.405,NaN,NaN,NaN,NaN
19,1825,8,-0.541,2.085,-0.364,0.971,-0.469,0.400,NaN,NaN,NaN,NaN
20,1825,9,-1.231,1.211,-0.442,0.867,-0.463,0.379,NaN,NaN,NaN,NaN
21,1825,10,-1.098,1.290,-0.502,0.749,-0.447,0.365,NaN,NaN,NaN,NaN
22,1825,11,-0.097,2.721,-0.489,0.766,-0.434,0.364,NaN,NaN,NaN,NaN
23,1825,12,-0.472,1.425,-0.555,0.761,-0.436,0.365,NaN,NaN,NaN,NaN
24,1826,1,NaN,NaN,-0.560,0.651,-0.433,0.367,NaN,NaN,NaN,NaN
25,1826,2,-1.154,1.404,-0.598,0.572,-0.422,0.366,NaN,NaN,NaN,NaN
