,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1883,1,-1.200,0.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1883,2,-1.227,0.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1883,3,-0.415,0.745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1883,4,-0.381,1.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1883,5,-0.339,0.853,-0.691,0.538,NaN,NaN,NaN,NaN,NaN,NaN
5,1883,6,-0.008,0.793,-0.613,0.530,NaN,NaN,NaN,NaN,NaN,NaN
6,1883,7,-0.323,0.739,-0.582,0.510,NaN,NaN,NaN,NaN,NaN,NaN
7,1883,8,-0.447,0.841,-0.553,0.495,NaN,NaN,NaN,NaN,NaN,NaN
8,1883,9,-0.637,0.704,-0.620,0.519,NaN,NaN,NaN,NaN,NaN,NaN
9,1883,10,-0.376,0.724,-0.691,0.497,NaN,NaN,NaN,NaN,NaN,NaN
10,1883,11,-1.296,0.768,-0.765,0.491,NaN,NaN,NaN,NaN,NaN,NaN
11,1883,12,-0.711,0.836,-0.814,0.499,NaN,NaN,NaN,NaN,NaN,NaN
12,1884,1,-0.825,0.765,-0.833,0.503,NaN,NaN,NaN,NaN,NaN,NaN
13,1884,2,-0.876,0.733,-0.837,0.494,NaN,NaN,NaN,NaN,NaN,NaN
14,1884,3,-1.222,1.068,-0.833,0.508,NaN,NaN,NaN,NaN,NaN,NaN
15,1884,4,-1.235,0.723,-0.860,0.506,NaN,NaN,NaN,NaN,NaN,NaN
16,1884,5,-1.227,0.744,-0.841,0.504,NaN,NaN,NaN,NaN,NaN,NaN
17,1884,6,-0.595,0.900,-0.868,0.498,NaN,NaN,NaN,NaN,NaN,NaN
18,1884,7,-0.545,0.778,-0.948,0.502,NaN,NaN,NaN,NaN,NaN,NaN
19,1884,8,-0.496,0.728,-0.955,0.510,NaN,NaN,NaN,NaN,NaN,NaN
20,1884,9,-0.592,0.841,-0.911,0.497,NaN,NaN,NaN,NaN,NaN,NaN
21,1884,10,-0.704,0.736,-0.912,0.499,NaN,NaN,NaN,NaN,NaN,NaN
22,1884,11,-1.062,0.762,-0.884,0.494,-0.757,0.315,NaN,NaN,NaN,NaN
23,1884,12,-1.040,0.931,-0.873,0.498,-0.756,0.315,NaN,NaN,NaN,NaN
24,1885,1,-1.782,0.755,-0.845,0.496,-0.752,0.315,NaN,NaN,NaN,NaN
25,1885,2,-0.963,0.901,-0.842,0.493,-0.761,0.315,NaN,NaN,NaN,NaN
26,1885,3,-0.696,0.772,-0.826,0.489,-0.763,0.313,NaN,NaN,NaN,NaN
27,1885,4,-1.247,0.824,-0.818,0.492,-0.759,0.312,NaN,NaN,NaN,NaN
28,1885,5,-0.885,0.723,-0.789,0.495,-0.752,0.311,NaN,NaN,NaN,NaN
29,1885,6,-0.460,0.826,-0.756,0.496,-0.738,0.314,NaN,NaN,NaN,NaN
30,1885,7,-0.212,0.736,-0.725,0.498,-0.736,0.312,NaN,NaN,NaN,NaN
31,1885,8,-0.462,0.712,-0.748,0.498,-0.739,0.307,NaN,NaN,NaN,NaN
32,1885,9,-0.403,0.789,-0.772,0.500,-0.751,0.308,NaN,NaN,NaN,NaN
33,1885,10,-0.599,0.717,-0.704,0.507,-0.752,0.306,NaN,NaN,NaN,NaN
34,1885,11,-0.714,0.829,-0.687,0.507,-0.760,0.305,NaN,NaN,NaN,NaN
35,1885,12,-0.653,1.210,-0.694,0.501,-0.766,0.306,NaN,NaN,NaN,NaN
36,1886,1,-1.403,0.825,-0.686,0.496,-0.761,0.308,NaN,NaN,NaN,NaN
37,1886,2,-1.244,1.036,-0.692,0.497,-0.760,0.306,NaN,NaN,NaN,NaN
38,1886,3,-0.982,0.821,-0.679,0.500,-0.753,0.307,-0.632,0.243,NaN,NaN
39,1886,4,-0.429,0.776,-0.670,0.509,-0.747,0.309,-0.634,0.249,NaN,NaN
40,1886,5,-0.686,0.723,-0.685,0.508,-0.731,0.310,-0.635,0.252,NaN,NaN
41,1886,6,-0.543,0.746,-0.676,0.524,-0.726,0.314,-0.631,0.256,NaN,NaN
42,1886,7,-0.116,0.778,-0.705,0.536,-0.729,0.318,-0.631,0.258,NaN,NaN
43,1886,8,-0.538,0.715,-0.696,0.523,-0.717,0.316,-0.629,0.261,NaN,NaN
44,1886,9,-0.236,0.798,-0.690,0.512,-0.701,0.311,-0.627,0.263,NaN,NaN
45,1886,10,-0.492,0.904,-0.694,0.514,-0.680,0.311,-0.626,0.265,NaN,NaN
46,1886,11,-0.903,0.803,-0.697,0.519,-0.661,0.312,-0.624,0.268,NaN,NaN
