,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1849,7,-0.237,1.860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1849,8,-0.425,2.010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1849,9,-0.895,0.992,-0.455,0.626,NaN,NaN,NaN,NaN,NaN,NaN
3,1849,10,-1.290,1.017,-0.450,0.641,NaN,NaN,NaN,NaN,NaN,NaN
4,1849,11,-0.235,1.541,-0.507,0.637,NaN,NaN,NaN,NaN,NaN,NaN
5,1849,12,-0.545,1.516,-0.516,0.697,NaN,NaN,NaN,NaN,NaN,NaN
6,1850,1,0.679,1.986,-0.514,0.688,NaN,NaN,NaN,NaN,NaN,NaN
7,1850,2,0.249,1.859,-0.450,0.704,NaN,NaN,NaN,NaN,NaN,NaN
8,1850,3,0.092,1.265,-0.383,0.685,NaN,NaN,NaN,NaN,NaN,NaN
9,1850,4,-0.660,1.411,-0.311,0.724,NaN,NaN,NaN,NaN,NaN,NaN
10,1850,5,-1.855,1.181,-0.379,0.777,NaN,NaN,NaN,NaN,NaN,NaN
11,1850,6,-1.066,1.646,-0.527,0.815,NaN,NaN,NaN,NaN,NaN,NaN
12,1850,7,-0.219,1.827,-0.608,0.695,NaN,NaN,NaN,NaN,NaN,NaN
13,1850,8,0.350,1.767,-0.712,0.592,NaN,NaN,NaN,NaN,NaN,NaN
14,1850,9,-0.098,0.792,-0.789,0.669,-0.679,0.435,NaN,NaN,NaN,NaN
15,1850,10,-0.421,1.443,-0.763,0.649,-0.668,0.434,NaN,NaN,NaN,NaN
16,1850,11,-1.054,2.294,-0.610,0.706,-0.659,0.443,NaN,NaN,NaN,NaN
17,1850,12,-2.316,1.837,-0.529,0.683,-0.657,0.450,NaN,NaN,NaN,NaN
18,1851,1,-0.297,1.448,-0.561,0.606,-0.654,0.445,NaN,NaN,NaN,NaN
19,1851,2,-0.995,1.436,-0.594,0.585,-0.658,0.446,NaN,NaN,NaN,NaN
20,1851,3,-0.832,1.545,-0.660,0.590,-0.652,0.447,NaN,NaN,NaN,NaN
21,1851,4,-0.359,1.315,-0.662,0.527,-0.658,0.448,NaN,NaN,NaN,NaN
22,1851,5,-0.017,1.338,-0.713,0.498,-0.633,0.443,NaN,NaN,NaN,NaN
23,1851,6,-0.084,1.281,-0.597,0.471,-0.617,0.441,NaN,NaN,NaN,NaN
24,1851,7,-0.606,0.983,-0.789,0.521,-0.640,0.432,NaN,NaN,NaN,NaN
25,1851,8,-0.045,0.793,-0.639,0.567,-0.644,0.431,NaN,NaN,NaN,NaN
26,1851,9,-0.891,0.924,-0.632,0.610,-0.646,0.436,NaN,NaN,NaN,NaN
27,1851,10,-0.455,1.399,-0.640,0.604,-0.647,0.432,NaN,NaN,NaN,NaN
28,1851,11,-1.664,1.282,-0.641,0.598,-0.639,0.430,NaN,NaN,NaN,NaN
29,1851,12,-0.925,1.251,-0.689,0.600,-0.639,0.436,-0.735,0.363,NaN,NaN
30,1852,1,-2.600,1.368,-0.678,0.588,-0.652,0.423,-0.743,0.366,NaN,NaN
31,1852,2,0.806,1.844,-0.717,0.588,-0.665,0.413,-0.743,0.366,NaN,NaN
32,1852,3,-0.742,1.288,-0.709,0.561,-0.670,0.409,-0.738,0.369,NaN,NaN
33,1852,4,-0.458,1.236,-0.767,0.521,-0.647,0.401,-0.753,0.371,NaN,NaN
34,1852,5,-0.031,1.277,-0.722,0.483,-0.660,0.395,-0.754,0.372,NaN,NaN
35,1852,6,-0.651,1.124,-0.612,0.477,-0.677,0.414,-0.752,0.368,NaN,NaN
36,1852,7,-0.474,0.948,-0.543,0.488,-0.696,0.419,-0.753,0.365,NaN,NaN
37,1852,8,-0.512,1.070,-0.748,0.462,-0.722,0.410,-0.749,0.362,NaN,NaN
38,1852,9,-0.806,0.893,-0.799,0.450,-0.748,0.413,-0.754,0.359,NaN,NaN
39,1852,10,-1.147,1.041,-0.773,0.456,-0.740,0.404,-0.757,0.359,NaN,NaN
40,1852,11,-1.120,1.123,-0.779,0.475,-0.698,0.408,-0.754,0.359,NaN,NaN
41,1852,12,0.393,1.039,-0.799,0.515,-0.691,0.392,-0.745,0.353,NaN,NaN
42,1853,1,-1.776,1.093,-0.753,0.587,-0.710,0.381,-0.738,0.349,NaN,NaN
43,1853,2,-1.656,2.057,-0.791,0.621,-0.736,0.373,-0.756,0.348,NaN,NaN
44,1853,3,-1.353,1.253,-0.805,0.588,-0.759,0.371,-0.761,0.343,NaN,NaN
45,1853,4,-0.139,1.025,-0.789,0.598,-0.780,0.353,-0.756,0.341,NaN,NaN
46,1853,5,-0.104,1.033,-0.724,0.610,-0.774,0.340,-0.748,0.343,NaN,NaN
47,1853,6,-0.893,1.327,-0.816,0.670,-0.748,0.333,-0.744,0.343,NaN,NaN
48,1853,7,0.076,1.540,-0.772,0.705,-0.786,0.344,-0.748,0.339,NaN,NaN
49,1853,8,-0.965,1.318,-0.712,0.645,-0.794,0.356,-0.751,0.335,NaN,NaN
50,1853,9,-0.971,0.828,-0.557,0.630,-0.793,0.349,-0.747,0.334,NaN,NaN
51,1853,10,-0.964,1.038,-0.607,0.620,-0.786,0.342,-0.739,0.329,NaN,NaN
52,1853,11,-0.341,1.639,-0.659,0.601,-0.792,0.337,-0.738,0.324,NaN,NaN
53,1853,12,-0.702,1.147,-0.665,0.604,-0.783,0.337,-0.736,0.320,NaN,NaN
54,1854,1,-1.251,1.611,-0.753,0.563,-0.776,0.332,-0.747,0.313,NaN,NaN
55,1854,2,-0.942,1.183,-0.773,0.529,-0.770,0.331,-0.736,0.307,NaN,NaN
56,1854,3,0.518,0.850,-0.794,0.522,-0.781,0.332,-0.744,0.304,NaN,NaN
57,1854,4,-0.750,1.190,-0.705,0.481,-0.800,0.328,-0.743,0.298,NaN,NaN
58,1854,5,-0.723,0.860,-0.760,0.505,-0.799,0.330,-0.730,0.296,NaN,NaN
59,1854,6,-0.963,1.152,-0.831,0.484,-0.813,0.327,-0.722,0.294,-0.739,0.348
60,1854,7,-0.984,1.464,-0.766,0.551,-0.792,0.329,-0.726,0.288,-0.738,0.348
61,1854,8,-1.202,1.293,-0.799,0.565,-0.806,0.327,-0.725,0.282,-0.733,0.348
62,1854,9,-1.222,0.790,-0.962,0.570,-0.810,0.336,-0.729,0.280,-0.727,0.345
63,1854,10,0.098,1.141,-0.914,0.556,-0.836,0.350,-0.726,0.275,-0.729,0.344
64,1854,11,-0.991,1.139,-0.801,0.557,-0.854,0.359,-0.727,0.271,-0.729,0.344
65,1854,12,-1.560,2.643,-0.774,0.549,-0.849,0.364,-0.743,0.275,-0.723,0.344
66,1855,1,-0.474,1.493,-0.805,0.507,-0.852,0.370,-0.758,0.275,-0.727,0.346
67,1855,2,-1.330,1.813,-0.804,0.531,-0.853,0.379,-0.771,0.269,-0.725,0.346
68,1855,3,-1.442,1.105,-0.826,0.535,-0.866,0.385,-0.782,0.270,-0.723,0.346
69,1855,4,-0.179,1.354,-0.974,0.515,-0.865,0.398,-0.780,0.267,-0.725,0.347
70,1855,5,0.636,1.169,-0.953,0.483,-0.857,0.406,-0.765,0.263,-0.720,0.346
71,1855,6,-0.642,1.174,-0.885,0.514,-0.881,0.401,-0.754,0.257,-0.716,0.346
72,1855,7,-1.348,1.272,-1.060,0.576,-0.856,0.399,-0.753,0.256,-0.714,0.344
73,1855,8,-1.191,0.921,-1.072,0.639,-0.846,0.413,-0.763,0.255,-0.711,0.343
