,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1889,4,0.217,0.653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1889,5,0.248,0.655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1889,6,0.025,0.638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1889,7,0.118,0.640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1889,8,-0.466,0.644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1889,9,NaN,NaN,-0.268,0.295,NaN,NaN,NaN,NaN,NaN,NaN
6,1889,10,NaN,NaN,-0.325,0.295,NaN,NaN,NaN,NaN,NaN,NaN
7,1889,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1889,12,-0.381,0.626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1890,1,-0.454,0.737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1890,2,-0.414,0.775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1890,3,-0.765,0.795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1890,4,-0.472,0.664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1890,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1890,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1890,7,-0.739,0.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1890,8,-0.829,0.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1890,9,-0.245,0.847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1890,10,-0.568,0.831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1890,11,-0.893,0.932,-0.696,0.394,NaN,NaN,NaN,NaN,NaN,NaN
20,1890,12,NaN,NaN,-0.676,0.386,-0.399,0.157,NaN,NaN,NaN,NaN
21,1891,1,-1.017,0.670,-0.636,0.407,-0.405,0.162,NaN,NaN,NaN,NaN
22,1891,2,-0.871,0.756,-0.603,0.430,-0.411,0.165,NaN,NaN,NaN,NaN
23,1891,3,-0.770,0.759,-0.591,0.406,-0.411,0.170,NaN,NaN,NaN,NaN
24,1891,4,-0.426,0.628,-0.586,0.381,-0.414,0.173,NaN,NaN,NaN,NaN
25,1891,5,-0.540,0.676,-0.561,0.359,-0.421,0.175,NaN,NaN,NaN,NaN
26,1891,6,-0.380,0.648,-0.503,0.328,-0.423,0.176,NaN,NaN,NaN,NaN
27,1891,7,-0.252,0.643,-0.511,0.298,-0.432,0.178,NaN,NaN,NaN,NaN
28,1891,8,-0.432,0.693,-0.487,0.293,-0.446,0.180,NaN,NaN,NaN,NaN
29,1891,9,-0.108,0.601,-0.451,0.269,-0.450,0.182,NaN,NaN,NaN,NaN
30,1891,10,-0.501,0.632,-0.423,0.262,-0.467,0.185,NaN,NaN,NaN,NaN
31,1891,11,-0.599,0.632,-0.376,0.267,-0.474,0.187,NaN,NaN,NaN,NaN
