,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1841,1,-2.510,2.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1841,2,-0.347,1.849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1841,3,-2.891,1.291,-1.394,0.634,NaN,NaN,NaN,NaN,NaN,NaN
3,1841,4,-1.769,1.455,-1.302,0.633,NaN,NaN,NaN,NaN,NaN,NaN
4,1841,5,-0.663,1.090,-1.312,0.654,NaN,NaN,NaN,NaN,NaN,NaN
5,1841,6,-0.971,1.563,-1.387,0.655,NaN,NaN,NaN,NaN,NaN,NaN
6,1841,7,-0.064,1.455,-1.226,0.581,NaN,NaN,NaN,NaN,NaN,NaN
7,1841,8,-0.743,1.351,-1.181,0.542,NaN,NaN,NaN,NaN,NaN,NaN
8,1841,9,-1.130,1.177,-0.869,0.566,NaN,NaN,NaN,NaN,NaN,NaN
9,1841,10,-0.961,1.392,-0.666,0.539,NaN,NaN,NaN,NaN,NaN,NaN
10,1841,11,-2.154,1.359,-0.670,0.528,NaN,NaN,NaN,NaN,NaN,NaN
11,1841,12,-2.446,1.625,-0.655,0.522,NaN,NaN,NaN,NaN,NaN,NaN
12,1842,1,-0.577,2.014,-0.753,0.510,NaN,NaN,NaN,NaN,NaN,NaN
13,1842,2,0.200,1.390,-0.785,0.520,NaN,NaN,NaN,NaN,NaN,NaN
14,1842,3,0.848,1.300,-0.745,0.509,-0.803,0.377,NaN,NaN,NaN,NaN
15,1842,4,0.668,1.356,-0.749,0.481,-0.778,0.368,NaN,NaN,NaN,NaN
16,1842,5,-0.708,1.123,-0.693,0.479,-0.742,0.371,NaN,NaN,NaN,NaN
17,1842,6,-0.798,1.552,-0.449,0.496,-0.720,0.371,NaN,NaN,NaN,NaN
18,1842,7,-1.239,1.179,-0.382,0.524,-0.708,0.376,NaN,NaN,NaN,NaN
19,1842,8,-1.123,1.210,-0.276,0.560,-0.716,0.381,NaN,NaN,NaN,NaN
20,1842,9,-0.650,1.231,-0.351,0.583,-0.695,0.380,NaN,NaN,NaN,NaN
21,1842,10,-1.011,1.256,-0.381,0.584,-0.702,0.373,NaN,NaN,NaN,NaN
