,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1823,10,-1.987,1.641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1823,11,-1.523,2.328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1823,12,-1.543,1.912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,1,1.252,1.948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,2,-1.536,2.512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,3,-0.254,1.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,4,0.142,1.520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1824,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1824,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1824,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1825,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1825,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1825,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1825,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1825,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1825,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1825,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1825,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1825,10,-1.730,1.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1825,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1825,12,-0.922,1.802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1826,1,-0.291,1.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1826,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1826,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1826,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1826,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1826,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1826,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1826,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1826,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1826,10,-1.039,1.452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1826,11,0.945,1.792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1826,12,1.353,1.853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1827,1,1.629,2.062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1827,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1827,3,0.196,1.912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1827,4,1.302,1.950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1827,5,0.766,1.600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1827,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1827,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1827,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1827,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1827,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1827,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1827,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1828,1,-0.599,1.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1828,2,-0.182,1.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1828,3,1.039,1.435,-0.075,0.676,NaN,NaN,NaN,NaN,NaN,NaN
54,1828,4,0.627,1.520,-0.081,0.662,NaN,NaN,NaN,NaN,NaN,NaN
55,1828,5,0.422,1.870,-0.087,0.665,NaN,NaN,NaN,NaN,NaN,NaN
56,1828,6,0.753,1.648,-0.084,0.706,NaN,NaN,NaN,NaN,NaN,NaN
57,1828,7,0.213,1.415,-0.021,0.748,NaN,NaN,NaN,NaN,NaN,NaN
58,1828,8,-0.085,1.325,-0.198,0.751,NaN,NaN,NaN,NaN,NaN,NaN
59,1828,9,-1.895,1.227,-0.282,0.740,NaN,NaN,NaN,NaN,NaN,NaN
60,1828,10,-0.712,1.371,-0.368,0.741,NaN,NaN,NaN,NaN,NaN,NaN
61,1828,11,-0.279,1.370,-0.323,0.763,NaN,NaN,NaN,NaN,NaN,NaN
62,1828,12,-0.309,2.398,-0.387,0.770,NaN,NaN,NaN,NaN,NaN,NaN
63,1829,1,0.151,1.887,-0.436,0.697,NaN,NaN,NaN,NaN,NaN,NaN
