region,portion-continent,continent,hemisphere
Afghanistan,http://berkeleyearth.lbl.gov/regions/southern-asia,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Åland,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Albania,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Algeria,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
American Samoa,NaN,NaN,NaN
Andorra,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Angola,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
Anguilla,NaN,NaN,NaN
Antarctica,NaN,NaN,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
Antigua and Barbuda,NaN,NaN,NaN
Argentina,NaN,http://berkeleyearth.lbl.gov/regions/south-america,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
Armenia,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Aruba,NaN,http://berkeleyearth.lbl.gov/regions/south-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Australia,NaN,http://berkeleyearth.lbl.gov/regions/oceania,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
Austria,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Azerbaijan,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Bahamas,NaN,http://berkeleyearth.lbl.gov/regions/north-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Bahrain,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Baker Island,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Bangladesh,http://berkeleyearth.lbl.gov/regions/southern-asia,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Barbados,NaN,NaN,NaN
Belarus,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Belgium,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Belize,http://berkeleyearth.lbl.gov/regions/central-america,http://berkeleyearth.lbl.gov/regions/north-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Benin,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Bhutan,http://berkeleyearth.lbl.gov/regions/southern-asia,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Bolivia,NaN,http://berkeleyearth.lbl.gov/regions/south-america,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
"Bonaire, Saint Eustatius and Saba",NaN,http://berkeleyearth.lbl.gov/regions/south-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Bosnia and Herzegovina,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Botswana,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
