Regions Not In Countries,Country Not In Region
Antigua and Barb.,Antigua and Barbuda
Ashmore and Cartier Is.,Baker Island
Bermuda,Bonaire
Bosnia and Herz.,Saint Eustatius and Saba
Br. Indian Ocean Ter.,Bosnia and Herzegovina
British Virgin Is.,British Virgin Islands
Brunei,Burma
Cabo Verde,Cape Verde
Cayman Is.,Cayman Islands
Central African Rep.,Central African Republic
Cook Is.,Christmas Island
Czechia,Congo (Democratic Republic of the)
Dem. Rep. Congo,Czech Republic
Dominican Rep.,Denmark (Europe)
Eq. Guinea,Dominican Republic
Faeroe Is.,Equatorial Guinea
Falkland Is.,Falkland Islands (Islas Malvinas)
Fr. Polynesia,Faroe Islands
Fr. S. Antarctic Lands,Federated States of Micronesia
Heard I. and McDonald Is.,France (Europe)
Indian Ocean Ter.,French Guiana
Kosovo,French Polynesia
Macao,French Southern and Antarctic Lands
Maldives,Gaza Strip
Marshall Is.,Guadeloupe
Micronesia,Heard Island and McDonald Islands
Myanmar,Kingman Reef
N. Cyprus,Macau
N. Mariana Is.,Martinique
Nauru,Mayotte
Norfolk Island,Netherlands (Europe)
Palestine,Northern Mariana Islands
Pitcairn Is.,Palestina
S. Geo. and the Is.,Palmyra Atoll
S. Sudan,Reunion
Saint Helena,Saint Barthélemy
Siachen Glacier,Saint Kitts and Nevis
Solomon Is.,Saint Martin
Somaliland,Saint Pierre and Miquelon
St-Barthélemy,Saint Vincent and the Grenadines
St-Martin,Sao Tome and Principe
St. Kitts and Nevis,Solomon Islands
St. Pierre and Miquelon,South Georgia and the South Sandwich Isla
St. Vin. and Gren.,Svalbard and Jan Mayen
São Tomé and Principe,Swaziland
Turks and Caicos Is.,Turks and Caicas Islands
U.S. Virgin Is.,United Kingdom (Europe)
United States of America,United States
Vanuatu,Virgin Islands
Vatican,Western Sahara
W. Sahara,NaN
Wallis and Futuna Is.,NaN
eSwatini,NaN
